feature	n_Not significant	n_Significant	median_scaled_Not significant	median_scaled_Significant	mean_scaled_Not significant	mean_scaled_Significant	sd_scaled_Not significant	sd_scaled_Significant
H3K4me1	537623	155	0.433741666666667	0.68949	1.60992074351551	1.41426715131863	2.94209890542602	1.70558288046449
H3K4me3	882276	149	0.160692	0.150583333333333	4.2495038148477	0.321087441064963	9.66038969652054	0.449013920128296
H3K27ac	513197	100	0.6379	0.248933257575758	7.05917781287356	0.787856828580895	15.7931721688735	1.10953137398755
ATAC	1090701	352	0.37517	0.551635	1.45623168394827	0.975596182724224	2.80459574016404	1.12681822807256
DNase	327421	46	0.0024378	0.0038852425	0.00759258525840453	0.0150168002173913	0.0261159948239393	0.0243444818515254
EP300	645162	187	0.152955714285714	0.557653333333333	1.62633556012799	1.11942013720105	6.12631092551184	1.29826705113493
POLR2A	1709099	661	0.42182	2.301745	1.78628068629831	2.76481253649473	4.10202929365125	2.29388583079029
CTCF	601323	322	0.1319975	19.252375	3.73910084807818	18.9731572110429	12.5566265369771	17.4997549126973
H3K9me3	634048	147	0.1045125	0.17918	0.24808310652643	0.373700452819873	0.421968447520656	0.554800057450889
H3K27me3	427309	31	0.0853955555555556	0.012928	0.470133120955747	0.0366135845665819	1.08462251546786	0.0586861504428656
