samp	perturbation_type	readout	coding_gene_body	N_cgb	template_gene_body	N_tgb	coding_promoter	N_cp	template_promoter	N_tp
A_Bassik_gscan	CRISPRa	growth	0.3931287715940381	101	-0.11857018282875462	77	-0.38656167364971067	35	-0.5324320166875134	28
D_Bassik_gscan	CRISPRd	growth	-0.3365665358049821	101	-0.040699053995930976	77	0.00681056554902922	36	-0.1935520202396124	28
I_Bassik_gscan	CRISPRi	growth	1.4705547105268097	100	-0.043780429312726674	77	1.795059183748045	34	1.8097158729814184	27
K_Bassik_gscan	CRISPRk	growth	2.2861256126481733	97	1.453065778127577	74	0.11702142900319955	36	0.02872322082428263	28
CAPRIN1_HCRFF	CRISPRi	HCRFF	0.6825726548737242	444	0.037699007723714054	509	0.5287863971087484	61	0.4542251886685169	58
CAT_HCRFF	CRISPRi	HCRFF	0.4382885463764318	473	0.1677317885547651	596	3.7770856658395315	45	3.23276456167634	44
CD164_HCRFF	CRISPRi	HCRFF	0.42984002713742625	353	-0.1430129566513489	440	0.33734501897685953	101	0.10368127109433098	100
ERP29_HCRFF	CRISPRi	HCRFF	0.5512226053649641	181	0.07349513781360381	166	0.47547156593155	73	0.854372626415764	47
FADS1_HCRFF	CRISPRi	HCRFF	0.49432016882261537	520	-0.19882821638890058	702	1.773892170502504	90	1.6682474483946872	69
FADS2_HCRFF	CRISPRi	HCRFF	0.3455566801023501	2128	0.010064007349407857	1937	1.6446295889322888	107	1.0866267254064894	126
FADS3_HCRFF	CRISPRi	HCRFF	0.22698500980456646	827	-0.18775554662818514	848	1.253352299387212	121	1.3152216461510489	125
FEN1_HCRFF	CRISPRi	HCRFF	0.7213989485582043	75	0.027287396039416753	100	0.7432893082339064	62	0.7803949316231379	74
GATA1_HCRFF	CRISPRi	HCRFF	0.8666003518970091	13	0.05583791513194397	5	4.150245212354994	28	4.204437019392312	26
HBE1_HCRFF	CRISPRi	HCRFF	0	0	0	0	2.3423529176343374	55	1.510690891058668	70
HBG1_HCRFF	CRISPRi	HCRFF	0	0	0	0	0.4838340533970331	53	1.288846640775796	42
HBG2_HCRFF	CRISPRi	HCRFF	0	0	0	0	0	0	0	0
HBS1L_HCRFF	CRISPRi	HCRFF	0.884377748652058	147	0.09387341324462888	174	2.1315137956482744	67	1.3119421653607188	49
HDAC6_HCRFF	CRISPRi	HCRFF	0.4864371956520152	126	0.1898228210808814	135	0.9762582744472094	107	1.1223864657760256	114
LMO2_HCRFF	CRISPRi	HCRFF	0.5768078813245698	262	0.11552061652061965	241	0.9080655110057624	60	0.7967366844621514	42
MEF2C_HCRFF	CRISPRi	HCRFF	0.18658295240807296	2016	0.01645533897744989	2006	1.0124126097813546	59	1.080884574485316	64
MYB_HCRFF	CRISPRi	HCRFF	0.6793127238694031	349	0.11729476996515173	326	0.5150843954741195	115	0.5237370670903023	134
MYC_HCRFF	CRISPRi	HCRFF	0.026098413967379788	170	-0.080616106459783	132	0.7069023653948718	92	0.6375338782328267	110
NMU_HCRFF	CRISPRi	HCRFF	0.9152002845621333	674	0.03869668102676803	803	3.933018491131962	98	4.10786850958454	136
PVT1_HCRFF	CRISPRi	HCRFF	0.11988448695176109	5655	0.03795678467709674	6013	0.16645055370643316	30	0.24720575767109507	35
