chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr10	80697363	80697863	chr10:80697363-80697863:.	-0.01214189	.	chr10:80697363-80697863:.	chr10	81107219	81107220	+	-0.043167821308044065	0.01888404130804406	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.514781015437576	0.962326717494333	0.9998485214355209	1.0	1	TRUE	NA
chr10	80712776	80713276	chr10:80712776-80713276:.	0.01367762	.	chr10:80712776-80713276:.	chr10	81107219	81107220	+	-0.01777023567222505	0.04512547567222505	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.434350840665746	0.962326717494333	0.9999208698458659	1.0	1	TRUE	NA
chr10	80724680	80725180	chr10:80724680-80725180:.	0.03804479	.	chr10:80724680-80725180:.	chr10	81107219	81107220	+	-0.006577769917234182	0.08266734991723418	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.09518990325008904	0.962326717494333	0.987452606307091	1.0	1	TRUE	NA
chr10	80733239	80733739	chr10:80733239-80733739:.	0.00910158	.	chr10:80733239-80733739:.	chr10	81107219	81107220	+	-0.025091798658113	0.043294958658112996	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6487012676392243	0.962326717494333	0.9993867676377399	1.0	1	TRUE	NA
chr10	80734328	80734828	chr10:80734328-80734828:.	0.01666972	.	chr10:80734328-80734828:.	chr10	81107219	81107220	+	-0.015370620397935547	0.048710060397935545	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3945781830400802	0.962326717494333	0.999726107618216	1.0	1	TRUE	NA
chr10	80741069	80741569	chr10:80741069-80741569:.	0.00352267	.	chr10:80741069-80741569:.	chr10	81107219	81107220	+	-0.016331196440510874	0.02337653644051087	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8453971866806843	0.962326717494333	0.999999990749761	1.0	1	TRUE	NA
chr10	80752094	80752594	chr10:80752094-80752594:.	-0.00100398	.	chr10:80752094-80752594:.	chr10	81107219	81107220	+	-0.028072828754051638	0.026064868754051635	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9477460096535096	0.962326717494333	0.9999857161843411	1.0	1	TRUE	NA
chr10	80767068	80767568	chr10:80767068-80767568:.	0.00183587	.	chr10:80767068-80767568:.	chr10	81107219	81107220	+	-0.043237880786690296	0.0469096207866903	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9426455190429956	0.962326717494333	0.986011050941937	1.0	1	TRUE	NA
chr10	80782275	80782775	chr10:80782275-80782775:.	0.00231098	.	chr10:80782275-80782775:.	chr10	81107219	81107220	+	-0.03270480585609462	0.03732676585609462	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.91621021146947	0.962326717494333	0.9990100660763729	1.0	1	TRUE	NA
chr10	80812021	80812521	chr10:80812021-80812521:.	-0.00827532	.	chr10:80812021-80812521:.	chr10	81107219	81107220	+	-0.0407306895609834	0.024180049560983404	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6393237832675291	0.962326717494333	0.999823803533918	1.0	1	TRUE	NA
