chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr10	80697463	80697963	chr10:80697463-80697963:.	0.01483296	.	chr10:80697463-80697963:.	chr10	81107219	81107220	+	-0.013277630818656051	0.04294355081865605	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5933137566098451	0.842292388268395	0.9999961365035179	1.0	1.0	TRUE	NA
chr10	80708321	80708821	chr10:80708321-80708821:.	0.01956391	.	chr10:80708321-80708821:.	chr10	81107219	81107220	+	-0.00433805569034568	0.043465875690345684	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3982285971278	0.7059506949083729	0.9999999072450819	1.0	1.0	TRUE	NA
chr10	80712820	80713320	chr10:80712820-80713320:.	0.02037342	.	chr10:80712820-80713320:.	chr10	81107219	81107220	+	-0.006158215588147286	0.04690505558814728	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3734759119691724	0.7059506949083729	0.999998945050334	1.0	1.0	TRUE	NA
chr10	80724835	80725335	chr10:80724835-80725335:.	0.00129636	.	chr10:80724835-80725335:.	chr10	81107219	81107220	+	-0.024026841813758127	0.026619561813758127	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7743353366819186	0.8798010138397769	0.999999057836518	1.0	1.0	TRUE	NA
chr10	80733236	80733736	chr10:80733236-80733736:.	-0.03474094	.	chr10:80733236-80733736:.	chr10	81107219	81107220	+	-0.06220438999413218	-0.007277490005867818	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.02248346210656647	0.134900772639399	0.9999924832605509	1.0	1.0	TRUE	NA
chr10	80734306	80734806	chr10:80734306-80734806:.	0.0092301	.	chr10:80734306-80734806:.	chr10	81107219	81107220	+	-0.03163137331626531	0.050091573316265306	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8695680470248087	0.9314612156467099	0.9984171810901709	1.0	1.0	TRUE	NA
chr10	80741069	80741569	chr10:80741069-80741569:.	-0.00068992	.	chr10:80741069-80741569:.	chr10	81107219	81107220	+	-0.02664220545743386	0.02526236545743386	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.667605103389171	0.867886634405922	0.99999926542577	1.0	1.0	TRUE	NA
chr10	80752065	80752565	chr10:80752065-80752565:.	0.02281623	.	chr10:80752065-80752565:.	chr10	81107219	81107220	+	-0.007375557427260648	0.05300801742726065	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.31704326367465524	0.695451345051849	0.9999824429622599	1.0	1.0	TRUE	NA
chr10	80767140	80767640	chr10:80767140-80767640:.	-0.0299235	.	chr10:80767140-80767640:.	chr10	81107219	81107220	+	-0.10326870785591016	0.04342170785591017	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.07501063908431846	0.30419096171827803	0.9423151041517759	0.9999999857305379	1.0	TRUE	NA
chr10	80782813	80783313	chr10:80782813-80783313:.	0.02033839	.	chr10:80782813-80783313:.	chr10	81107219	81107220	+	-0.014670533795105623	0.05534731379510563	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4636470068280708	0.7861840550562941	0.999548358789062	1.0	1.0	TRUE	NA
chr10	80812043	80812543	chr10:80812043-80812543:.	0.02589226	.	chr10:80812043-80812543:.	chr10	81107219	81107220	+	0.00031288927585357285	0.05147163072414643	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.2332738013385644	0.541639368869627	0.99999925577431	1.0	1.0	TRUE	NA
chr10	80826955	80827474	chr10:80826955-80827474:.	-0.00075303	.	chr10:80826955-80827474:.	chr10	81107219	81107220	+	-0.028441124054620945	0.02693506405462094	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6549270988676605	0.867886634405922	0.999997998833116	1.0	1.0	TRUE	NA
chr10	80827805	80828305	chr10:80827805-80828305:.	0.01521898	.	chr10:80827805-80828305:.	chr10	81107219	81107220	+	-0.008388716415912476	0.038826676415912476	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5260701957516236	0.80457794644366	0.999999982628112	1.0	1.0	TRUE	NA
chr10	80828361	80829357	chr10:80828361-80829357:.	0.00565008	.	chr10:80828361-80829357:.	chr10	81107219	81107220	+	-0.012734866032179383	0.024035026032179385	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9660072814513776	0.9660072814513778	0.999999999998732	1.0	1.0	TRUE	NA
chr10	80838595	80839095	chr10:80838595-80839095:.	0.0206092	.	chr10:80838595-80839095:.	chr10	81107219	81107220	+	-0.015552606247669978	0.05677100624766998	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3886990942687485	0.7059506949083729	0.999758922349659	1.0	1.0	TRUE	NA
chr10	80841056	80841556	chr10:80841056-80841556:.	0.0145344	.	chr10:80841056-80841556:.	chr10	81107219	81107220	+	-0.009289415439004283	0.03835821543900428	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6353541832329224	0.867886634405922	0.99999964720313	1.0	1.0	TRUE	NA
chr10	80844777	80845277	chr10:80844777-80845277:.	-0.00475717	.	chr10:80844777-80845277:.	chr10	81107219	81107220	+	-0.030122694023489972	0.02060835402348997	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4965988473225578	0.80457794644366	0.999999530194865	1.0	1.0	TRUE	NA
chr10	80858325	80858825	chr10:80858325-80858825:.	0.00763873	.	chr10:80858325-80858825:.	chr10	81107219	81107220	+	-0.033272911033231406	0.04855037103323141	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9414116255661884	0.9536377505735409	0.9977999162371991	1.0	1.0	TRUE	NA
chr10	80861310	80861810	chr10:80861310-80861810:.	0.02735003	.	chr10:80861310-80861810:.	chr10	81107219	81107220	+	0.0035358498261505375	0.051164210173849464	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.20715561648067632	0.5270507542833479	0.9999998161373241	1.0	1.0	TRUE	NA
chr10	80876704	80877204	chr10:80876704-80877204:.	-0.00227014	.	chr10:80876704-80877204:.	chr10	81107219	81107220	+	-0.03998160692419346	0.03544132692419347	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6641069552258285	0.867886634405922	0.998934308469848	1.0	1.0	TRUE	NA
chr10	80884402	80884902	chr10:80884402-80884902:.	-0.00982062	.	chr10:80884402-80884902:.	chr10	81107219	81107220	+	-0.03967821149957389	0.020036971499573883	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3259731714105009	0.695451345051849	0.999987507926053	1.0	1.0	TRUE	NA
chr10	80886729	80887229	chr10:80886729-80887229:.	0.02734816	.	chr10:80886729-80887229:.	chr10	81107219	81107220	+	-0.004374027680957734	0.05907034768095773	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.23225730968555885	0.541639368869627	0.999934503735712	1.0	1.0	TRUE	NA
chr10	80892060	80892822	chr10:80892060-80892822:.	0.03358089	.	chr10:80892060-80892822:.	chr10	81107219	81107220	+	0.007811744815452427	0.05935003518454758	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.06571150876509076	0.284749871315393	0.9999997379017259	1.0	1.0	TRUE	NA
chr10	80896985	80897769	chr10:80896985-80897769:.	0.00149823	.	chr10:80896985-80897769:.	chr10	81107219	81107220	+	-0.02385546564056291	0.02685192564056291	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7140083252493281	0.877251776510214	0.9999999630221659	1.0	1.0	TRUE	NA
chr10	80902627	80903127	chr10:80902627-80903127:.	-0.01592668	.	chr10:80902627-80903127:.	chr10	81107219	81107220	+	-0.05038134970706482	0.018527989707064825	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.2360992120713758	0.541639368869627	0.9997039203119041	1.0	1.0	TRUE	NA
chr10	80909615	80910115	chr10:80909615-80910115:.	0.0113082	.	chr10:80909615-80910115:.	chr10	81107219	81107220	+	-0.01699939780353915	0.03961579780353915	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7535367823869791	0.877251776510214	0.999995334221511	1.0	1.0	TRUE	NA
chr10	80915252	80915752	chr10:80915252-80915752:.	0.02541463	.	chr10:80915252-80915752:.	chr10	81107219	81107220	+	0.00047298678216421003	0.05035627321783579	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.20946888952286927	0.5270507542833479	0.9999998290428319	1.0	1.0	TRUE	NA
chr10	80938354	80938854	chr10:80938354-80938854:.	0.00058504	.	chr10:80938354-80938854:.	chr10	81107219	81107220	+	-0.03059795509276462	0.031768035092764615	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7472169300547149	0.877251776510214	0.9999547951925529	1.0	1.0	TRUE	NA
chr10	80953702	80954202	chr10:80953702-80954202:.	0.02095228	.	chr10:80953702-80954202:.	chr10	81107219	81107220	+	-0.0029287524336092316	0.04483331243360923	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3978645640846968	0.7059506949083729	0.999999662063445	1.0	1.0	TRUE	NA
chr10	80955119	80955619	chr10:80955119-80955619:.	0.008969	.	chr10:80955119-80955619:.	chr10	81107219	81107220	+	-0.013527913520620308	0.03146591352062031	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8509905261226508	0.9314612156467099	0.999999992836821	1.0	1.0	TRUE	NA
chr10	80956575	80957075	chr10:80956575-80957075:.	0.03352068	.	chr10:80956575-80957075:.	chr10	81107219	81107220	+	0.011168399033120665	0.055872960966879326	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.06450152427684827	0.284749871315393	0.999999993681182	1.0	1.0	TRUE	NA
chr10	80962216	80962716	chr10:80962216-80962716:.	0.0172545	.	chr10:80962216-80962716:.	chr10	81107219	81107220	+	-0.010272043720466532	0.044781043720466526	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4956735801526534	0.80457794644366	0.9999973080372779	1.0	1.0	TRUE	NA
chr10	80966016	80966516	chr10:80966016-80966516:.	-0.00213968	.	chr10:80966016-80966516:.	chr10	81107219	81107220	+	-0.03770511404443058	0.033425754044430586	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6296707234489438	0.867886634405922	0.9997498893992389	1.0	1.0	TRUE	NA
chr10	80967098	80967714	chr10:80967098-80967714:.	0.00468603	.	chr10:80967098-80967714:.	chr10	81107219	81107220	+	-0.017622991047436563	0.026995051047436564	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9182734168154948	0.9536377505735409	0.9999999936325941	1.0	1.0	TRUE	NA
chr10	80988658	80989158	chr10:80988658-80989158:.	0.00763913	.	chr10:80988658-80989158:.	chr10	81107219	81107220	+	-0.017223692795156665	0.03250195279515666	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9355791690999092	0.9536377505735409	0.9999990140934191	1.0	1.0	TRUE	NA
chr10	80990148	80990648	chr10:80990148-80990648:.	0.03813991	.	chr10:80990148-80990648:.	chr10	81107219	81107220	+	0.012992030258089985	0.06328778974191002	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.04104026105551037	0.213409357488654	0.999999736572967	1.0	1.0	TRUE	NA
chr10	81001987	81002487	chr10:81001987-81002487:.	-0.00876602	.	chr10:81001987-81002487:.	chr10	81107219	81107220	+	-0.038975772810804755	0.021443732810804757	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3338295353953525	0.695451345051849	0.9999903283629901	1.0	1.0	TRUE	NA
chr10	81002489	81002989	chr10:81002489-81002989:.	-0.05239086	.	chr10:81002489-81002989:.	chr10	81107219	81107220	+	-0.08786397117604061	-0.01691774882395939	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	0.0007370721127797058	0.00821308925668815	0.9997580772421241	1.0	1.0	TRUE	NA
chr10	81003385	81003885	chr10:81003385-81003885:.	-0.15519035	.	chr10:81003385-81003885:.	chr10	81107219	81107220	+	-0.18611528706631317	-0.12426541293368684	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	1.9685388006314366e-25	7.677301322462598e-24	0.9999886868360419	1.0	1.0	TRUE	NA
chr10	81004487	81004987	chr10:81004487-81004987:.	-0.0437464	.	chr10:81004487-81004987:.	chr10	81107219	81107220	+	-0.07597273829579776	-0.01152006170420223	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	0.003900940684235336	0.0338081525967062	0.99993295636922	1.0	1.0	TRUE	NA
chr10	81007111	81007970	chr10:81007111-81007970:.	0.01240785	.	chr10:81007111-81007970:.	chr10	81107219	81107220	+	-0.017283600616015776	0.04209930061601577	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6808996741768353	0.8706585997671009	0.9999943871401671	1.0	1.0	TRUE	NA
chr10	81009611	81010393	chr10:81009611-81010393:.	-0.005769	.	chr10:81009611-81010393:.	chr10	81107219	81107220	+	-0.02668454091770293	0.015146540917702931	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3749654367912467	0.7059506949083729	0.9999999997723471	1.0	1.0	TRUE	NA
chr10	81021150	81021650	chr10:81021150-81021650:.	0.02117702	.	chr10:81021150-81021650:.	chr10	81107219	81107220	+	-0.009134210047839243	0.051488250047839246	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4231679441353511	0.733491103167942	0.99994423199717	1.0	1.0	TRUE	NA
chr10	81021732	81022232	chr10:81021732-81022232:.	-0.03094406	.	chr10:81021732-81022232:.	chr10	81107219	81107220	+	-0.15133431788947077	0.08944619788947078	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.51400496623946	0.80457794644366	0.41031529604701206	0.9863727899913379	0.999999999814187	TRUE	NA
chr10	81025830	81026739	chr10:81025830-81026739:.	0.01036779	.	chr10:81025830-81026739:.	chr10	81107219	81107220	+	-0.010793623695941541	0.03152920369594154	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7356019624530664	0.877251776510214	0.999999999907101	1.0	1.0	TRUE	NA
chr10	81030563	81031063	chr10:81030563-81031063:.	-0.02281668	.	chr10:81030563-81031063:.	chr10	81107219	81107220	+	-0.050685460890525905	0.005052100890525903	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.07881063181839237	0.30419096171827803	0.9999959194916109	1.0	1.0	TRUE	NA
chr10	81042160	81042660	chr10:81042160-81042660:.	0.00041558	.	chr10:81042160-81042660:.	chr10	81107219	81107220	+	-0.03834312088399095	0.03917428088399095	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7518868108908561	0.877251776510214	0.9990686039860242	1.0	1.0	TRUE	NA
chr10	81045987	81046487	chr10:81045987-81046487:.	0.04260394	.	chr10:81045987-81046487:.	chr10	81107219	81107220	+	0.018676364518748514	0.06653151548125148	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.0189030975882237	0.12287013432345402	0.9999999272675459	1.0	1.0	TRUE	NA
chr10	81052175	81053101	chr10:81052175-81053101:.	-0.02092687	.	chr10:81052175-81053101:.	chr10	81107219	81107220	+	-0.04927710048894769	0.007423360488947695	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.09340043870326648	0.32009130410883	0.9999954437487321	1.0	1.0	TRUE	NA
chr10	81055378	81055878	chr10:81055378-81055878:.	-0.02264889	.	chr10:81055378-81055878:.	chr10	81107219	81107220	+	-0.059000967124482176	0.01370318712448217	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.14200532565804902	0.42601597697414706	0.99922881210899	1.0	1.0	TRUE	NA
chr10	81058429	81058929	chr10:81058429-81058929:.	0.01526408	.	chr10:81058429-81058929:.	chr10	81107219	81107220	+	-0.012295728585900556	0.042823888585900555	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.593924119932843	0.842292388268395	0.999995505333264	1.0	1.0	TRUE	NA
chr10	81076368	81076868	chr10:81076368-81076868:.	0.09236596	.	chr10:81076368-81076868:.	chr10	81107219	81107220	+	0.06328451975944861	0.12144740024055138	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	2.364833313412889e-07	3.6891399689241097e-06	0.999990930800662	1.0	1.0	TRUE	NA
chr10	81077051	81077551	chr10:81077051-81077551:.	0.12240783	.	chr10:81077051-81077551:.	chr10	81107219	81107220	+	0.09730046581014094	0.14751519418985906	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	8.542619838937974e-12	1.6658108685929e-10	0.999999382947745	1.0	1.0	TRUE	NA
chr10	81077572	81078072	chr10:81077572-81078072:.	0.09941186	.	chr10:81077572-81078072:.	chr10	81107219	81107220	+	0.06619278469606088	0.13263093530393913	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	4.663558304019251e-07	6.062625795225029e-06	0.999834046126003	1.0	1.0	TRUE	NA
chr10	81088302	81088802	chr10:81088302-81088802:.	0.04531026	.	chr10:81088302-81088802:.	chr10	81107219	81107220	+	0.02192086066325611	0.06869965933674388	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.014458970040090406	0.102527242102459	0.999999938025885	1.0	1.0	TRUE	NA
chr10	81091335	81091835	chr10:81091335-81091835:.	0.02925909	.	chr10:81091335-81091835:.	chr10	81107219	81107220	+	-0.0003227414388192115	0.058840921438819214	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.16205009280235544	0.45142525852084703	0.999988306153347	1.0	1.0	TRUE	NA
chr10	81095643	81096143	chr10:81095643-81096143:.	0.03010397	.	chr10:81095643-81096143:.	chr10	81107219	81107220	+	-0.004709776471829331	0.06491771647182934	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.19468293124764127	0.523629953010897	0.9996983110518779	1.0	1.0	TRUE	NA
chr10	81106969	81107501	chr10:81106969-81107501:.	0.65446126	.	chr10:81106969-81107501:.	chr10	81107219	81107220	+	0.5846585376583998	0.7242639823416003	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	1.2544940290251347e-164	9.785053426396047e-163	0.9575058544461841	0.999999998141731	1.0	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr10	81113479	81113979	chr10:81113479-81113979:.	0.19889322	.	chr10:81113479-81113979:.	chr10	81107219	81107220	+	0.12621615160004473	0.2715702883999553	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	1.9177499797722865e-19	4.9861499474079495e-18	0.9402036171710371	0.999999987122925	1.0	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
