chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr10	80712806	80713306	chr10:80712806-80713306:.	0.0033047	.	chr10:80712806-80713306:.	chr10	81107219	81107220	+	-0.02465113661359493	0.03126053661359493	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9867825771401189	0.9867825771401191	0.9999827940072671	1.0	1.0	TRUE	NA
chr10	80732915	80733704	chr10:80732915-80733704:.	0.0168044	.	chr10:80732915-80733704:.	chr10	81107219	81107220	+	-0.010762283449124454	0.04437108344912445	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.41273663251314296	0.8137061873411949	0.999993263822862	1.0	1.0	TRUE	NA
chr10	80734232	80734732	chr10:80734232-80734732:.	-0.011171200000000001	.	chr10:80734232-80734732:.	chr10	81107219	81107220	+	-0.046851400843086775	0.024509000843086777	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.489398298505508	0.867306264516184	0.9989088698648441	1.0	1.0	TRUE	NA
chr10	80740923	80741574	chr10:80740923-80741574:.	0.009578	.	chr10:80740923-80741574:.	chr10	81107219	81107220	+	-0.019930755494946925	0.039086755494946925	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7178033291363861	0.954873072058558	0.9999575843069631	1.0	1.0	TRUE	NA
chr10	80750877	80751377	chr10:80750877-80751377:.	-0.050466500000000004	.	chr10:80750877-80751377:.	chr10	81107219	81107220	+	-0.1461847098628703	0.0452517098628703	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.34345130814034786	0.783068982559993	0.38141446032114795	0.997024281277734	0.9999999999999979	TRUE	NA
chr10	80752029	80752529	chr10:80752029-80752529:.	-0.021393000000000002	.	chr10:80752029-80752529:.	chr10	81107219	81107220	+	-0.04713751174301967	0.004351511743019659	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.16731238200090942	0.501937146002728	0.999996585060537	1.0	1.0	TRUE	NA
chr10	80782241	80782741	chr10:80782241-80782741:.	0.0079645	.	chr10:80782241-80782741:.	chr10	81107219	81107220	+	-0.029891207281996776	0.045820207281996775	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8217487277069393	0.9781082747300529	0.997016116609926	1.0	1.0	TRUE	NA
chr10	80782948	80783448	chr10:80782948-80783448:.	-0.051874300000000005	.	chr10:80782948-80783448:.	chr10	81107219	81107220	+	-0.09626859397330756	-0.007480006026692458	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	0.011636864599192944	0.0473786630109998	0.991682603250934	1.0	1.0	TRUE	NA
chr10	80826955	80827894	chr10:80826955-80827894:.	0.006344	.	chr10:80826955-80827894:.	chr10	81107219	81107220	+	-0.017827405899623498	0.030515405899623496	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8186317984477417	0.9781082747300529	0.999999906637929	1.0	1.0	TRUE	NA
chr10	80828462	80829041	chr10:80828462-80829041:.	0.0305941	.	chr10:80828462-80829041:.	chr10	81107219	81107220	+	0.007558718910462624	0.05362948108953737	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.13557511306138412	0.45457537908817003	0.9999992435024591	1.0	1.0	TRUE	NA
