chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	48812505	48813005	chr19:48812505-48813005:.	0.027798492999999997	.	chr19:48812505-48813005:.	chr19	49468565	49468566	+	0.0024054285705159446	0.053191557429484046	FTL	ENSG00000087086	NA	NA	False	0.09365448721008393	0.5037965518887271	0.9999994821160841	1.0	1	TRUE	NA
chr19	48824385	48824925	chr19:48824385-48824925:.	-0.013017342	.	chr19:48824385-48824925:.	chr19	49468565	49468566	+	-0.027010102120554047	0.0009754181205540498	FTL	ENSG00000087086	NA	NA	False	0.1738773115530051	0.641528758284235	1.0	1.0	1	TRUE	NA
chr19	48824985	48825585	chr19:48824985-48825585:.	0.001225682	.	chr19:48824985-48825585:.	chr19	49468565	49468566	+	-0.012775643958957231	0.015227007958957232	FTL	ENSG00000087086	NA	NA	False	0.8502928025316532	0.9623372389639542	1.0	1.0	1	TRUE	NA
chr19	48828425	48829005	chr19:48828425-48829005:.	0.008279029	.	chr19:48828425-48829005:.	chr19	49468565	49468566	+	-0.009609531606318077	0.026167589606318077	FTL	ENSG00000087086	NA	NA	False	0.4265426290290283	0.8344169353698281	1.0	1.0	1	TRUE	NA
chr19	48829105	48829625	chr19:48829105-48829625:.	-0.0032347659999999996	.	chr19:48829105-48829625:.	chr19	49468565	49468566	+	-0.02292743054490566	0.01645789854490566	FTL	ENSG00000087086	NA	NA	False	0.7462028346263526	0.9474673934658829	0.999999999999996	1.0	1	TRUE	NA
chr19	48835885	48836625	chr19:48835885-48836625:.	0.001923496	.	chr19:48835885-48836625:.	chr19	49468565	49468566	+	-0.01311189890822076	0.01695889090822076	FTL	ENSG00000087086	NA	NA	False	0.7952460664276981	0.9474673934658829	1.0	1.0	1	TRUE	NA
chr19	48837085	48837585	chr19:48837085-48837585:.	6.9226e-05	.	chr19:48837085-48837585:.	chr19	49468565	49468566	+	-0.014949268845951444	0.015087720845951445	FTL	ENSG00000087086	NA	NA	False	0.9682514631069599	0.9749145249129849	1.0	1.0	1	TRUE	NA
chr19	48842585	48843105	chr19:48842585-48843105:.	-0.0013932810000000001	.	chr19:48842585-48843105:.	chr19	49468565	49468566	+	-0.020487457186756746	0.017700895186756747	FTL	ENSG00000087086	NA	NA	False	0.9190526223690091	0.972826095543582	0.9999999999999829	1.0	1	TRUE	NA
chr19	48848065	48848565	chr19:48848065-48848565:.	0.013790883	.	chr19:48848065-48848565:.	chr19	49468565	49468566	+	-0.0069132363089160626	0.03449500230891606	FTL	ENSG00000087086	NA	NA	False	0.18176477235082214	0.641528758284235	0.9999999999995391	1.0	1	TRUE	NA
chr19	48854445	48854985	chr19:48854445-48854985:.	0.005032868	.	chr19:48854445-48854985:.	chr19	49468565	49468566	+	-0.011413479694819748	0.021479215694819746	FTL	ENSG00000087086	NA	NA	False	0.5886488816422684	0.9474673934658829	1.0	1.0	1	TRUE	NA
chr19	48857765	48858285	chr19:48857765-48858285:.	0.0074772680000000005	.	chr19:48857765-48858285:.	chr19	49468565	49468566	+	-0.025568708005492907	0.04052324400549291	FTL	ENSG00000087086	NA	NA	False	0.6324677825736691	0.9474673934658829	0.9999412405360909	1.0	1	TRUE	NA
chr19	48866225	48866745	chr19:48866225-48866745:.	-0.00246728	.	chr19:48866225-48866745:.	chr19	49468565	49468566	+	-0.015547173187355818	0.010612613187355817	FTL	ENSG00000087086	NA	NA	False	0.7968823028355282	0.9474673934658829	1.0	1.0	1	TRUE	NA
chr19	48867065	48867585	chr19:48867065-48867585:.	-0.001897786	.	chr19:48867065-48867585:.	chr19	49468565	49468566	+	-0.01831678833951364	0.014521216339513641	FTL	ENSG00000087086	NA	NA	False	0.8570424696959267	0.9623372389639542	1.0	1.0	1	TRUE	NA
chr19	48882305	48882825	chr19:48882305-48882825:.	0.012735666000000001	.	chr19:48882305-48882825:.	chr19	49468565	49468566	+	-0.006925735499787993	0.032397067499788	FTL	ENSG00000087086	NA	NA	False	0.3491066311634872	0.7670511895986479	0.9999999999951279	1.0	1	TRUE	NA
chr19	48888265	48888845	chr19:48888265-48888845:.	0.010370751999999999	.	chr19:48888265-48888845:.	chr19	49468565	49468566	+	-0.009862360372856855	0.03060386437285685	FTL	ENSG00000087086	NA	NA	False	0.3148409180343883	0.7118142494690519	0.999999999999841	1.0	1	TRUE	NA
chr19	48893765	48894265	chr19:48893765-48894265:.	0.002813795	.	chr19:48893765-48894265:.	chr19	49468565	49468566	+	-0.013072054957897022	0.018699644957897023	FTL	ENSG00000087086	NA	NA	False	0.7351160675875867	0.9474673934658829	1.0	1.0	1	TRUE	NA
chr19	48894605	48895125	chr19:48894605-48895125:.	-0.017090199	.	chr19:48894605-48895125:.	chr19	49468565	49468566	+	-0.03432432997377668	0.00014393197377667727	FTL	ENSG00000087086	NA	NA	False	0.058874802315388726	0.41409076741130896	1.0	1.0	1	TRUE	NA
chr19	48901785	48902565	chr19:48901785-48902565:.	0.000348389	.	chr19:48901785-48902565:.	chr19	49468565	49468566	+	-0.01237548416412699	0.01307226216412699	FTL	ENSG00000087086	NA	NA	False	0.9365681687254588	0.9728272286833539	1.0	1.0	1	TRUE	NA
chr19	48902785	48903825	chr19:48902785-48903825:.	-0.006911779	.	chr19:48902785-48903825:.	chr19	49468565	49468566	+	-0.018358293693653396	0.004534735693653395	FTL	ENSG00000087086	NA	NA	False	0.3799181711715127	0.8118799274350129	1.0	1.0	1	TRUE	NA
chr19	48906765	48907285	chr19:48906765-48907285:.	-0.00042976	.	chr19:48906765-48907285:.	chr19	49468565	49468566	+	-0.028508149469671885	0.027648629469671882	FTL	ENSG00000087086	NA	NA	False	0.989090361196748	0.9890903611967479	0.999999828415232	1.0	1	TRUE	NA
chr19	48918625	48919125	chr19:48918625-48919125:.	0.013629711000000001	.	chr19:48918625-48919125:.	chr19	49468565	49468566	+	-0.004203290125802417	0.03146271212580242	FTL	ENSG00000087086	NA	NA	False	0.21410211791278952	0.657105768442849	1.0	1.0	1	TRUE	NA
chr19	48921865	48922365	chr19:48921865-48922365:.	0.012494287	.	chr19:48921865-48922365:.	chr19	49468565	49468566	+	-0.005346300440780091	0.03033487444078009	FTL	ENSG00000087086	NA	NA	False	0.20611485182079756	0.657105768442849	1.0	1.0	1	TRUE	NA
chr19	48926705	48927225	chr19:48926705-48927225:.	0.001260321	.	chr19:48926705-48927225:.	chr19	49468565	49468566	+	-0.02427968265791417	0.026800324657914168	FTL	ENSG00000087086	NA	NA	False	0.9075881525058715	0.972826095543582	0.99999997210525	1.0	1	TRUE	NA
