chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	0.002850153	.	chr19:12313025-12313565:.	chr19	12917427	12917428	+	-0.012726162806589633	0.018426468806589633	RNASEH2A	ENSG00000104889	NA	NA	False	0.7618216923073164	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	-0.005844893	.	chr19:12404485-12405065:.	chr19	12917427	12917428	+	-0.021942085981332446	0.010252299981332445	RNASEH2A	ENSG00000104889	NA	NA	False	0.4889700590362038	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	0.005866151	.	chr19:12405465-12405965:.	chr19	12917427	12917428	+	-0.005310635149711572	0.01704293714971157	RNASEH2A	ENSG00000104889	NA	NA	False	0.4325186054086467	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	0.013051376000000002	.	chr19:12441885-12442945:.	chr19	12917427	12917428	+	-0.00411841613235195	0.030221168132351955	RNASEH2A	ENSG00000104889	NA	NA	False	0.16700343774179682	0.74509226069417	1.0	1	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	-0.00239213	.	chr19:12444345-12444845:.	chr19	12917427	12917428	+	-0.015331550826502532	0.010547290826502534	RNASEH2A	ENSG00000104889	NA	NA	False	0.7367997875376335	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	-0.0030496990000000003	.	chr19:12476305-12476805:.	chr19	12917427	12917428	+	-0.020436462562455394	0.014337064562455395	RNASEH2A	ENSG00000104889	NA	NA	False	0.6576702899283338	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	-0.0060088680000000005	.	chr19:12511905-12512405:.	chr19	12917427	12917428	+	-0.017766764747483288	0.005749028747483289	RNASEH2A	ENSG00000104889	NA	NA	False	0.4570656287414705	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	-0.013555079	.	chr19:12522625-12523145:.	chr19	12917427	12917428	+	-0.02790009060075267	0.00078993260075267	RNASEH2A	ENSG00000104889	NA	NA	False	0.13482083883009258	0.665761455615097	1.0	1	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	0.011661635	.	chr19:12551685-12552205:.	chr19	12917427	12917428	+	-0.0022562048045952614	0.025579474804595263	RNASEH2A	ENSG00000104889	NA	NA	False	0.19372693027418228	0.7986437273194941	1.0	1	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	0.0033256759999999996	.	chr19:12595405-12595925:.	chr19	12917427	12917428	+	-0.010321019502065997	0.016972371502065996	RNASEH2A	ENSG00000104889	NA	NA	False	0.6734093416757574	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	0.000449768	.	chr19:12605985-12606485:.	chr19	12917427	12917428	+	-0.0123759834583174	0.0132755194583174	RNASEH2A	ENSG00000104889	NA	NA	False	0.9829683023928196	0.986609274776967	1.0	1	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	0.02302636	.	chr19:12632705-12633245:.	chr19	12917427	12917428	+	-0.0021356695835621983	0.0481883895835622	RNASEH2A	ENSG00000104889	NA	NA	False	0.05451614721926421	0.486451775187281	0.99999999345891	1	1	TRUE	NA
chr19	12654525	12655045	chr19:12654525-12655045:.	0.019020039	.	chr19:12654525-12655045:.	chr19	12917427	12917428	+	0.0009076717944490401	0.03713240620555096	RNASEH2A	ENSG00000104889	NA	NA	False	0.1533491258314654	0.711539943857999	0.9999999999999699	1	1	TRUE	NA
chr19	12655125	12655625	chr19:12655125-12655625:.	-0.011138132	.	chr19:12655125-12655625:.	chr19	12917427	12917428	+	-0.029837553971357407	0.007561289971357405	RNASEH2A	ENSG00000104889	NA	NA	False	0.2618857438003088	0.9449579608126158	0.999999999999999	1	1	TRUE	NA
chr19	12662165	12662665	chr19:12662165-12662665:.	-0.001228338	.	chr19:12662165-12662665:.	chr19	12917427	12917428	+	-0.013872295874991284	0.011415619874991283	RNASEH2A	ENSG00000104889	NA	NA	False	0.8296474577776243	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12674785	12675285	chr19:12674785-12675285:.	-0.0016640079999999998	.	chr19:12674785-12675285:.	chr19	12917427	12917428	+	-0.016135423059807634	0.012807407059807636	RNASEH2A	ENSG00000104889	NA	NA	False	0.8230027140129244	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12721385	12721885	chr19:12721385-12721885:.	-0.012673128	.	chr19:12721385-12721885:.	chr19	12917427	12917428	+	-0.0247386012006353	-0.0006076547993647003	RNASEH2A	ENSG00000104889	NA	NA	False	0.08623930344210838	0.532124454116257	1.0	1	1	TRUE	NA
chr19	12750825	12751345	chr19:12750825-12751345:.	0.000438782	.	chr19:12750825-12751345:.	chr19	12917427	12917428	+	-0.00929763880857486	0.010175202808574861	RNASEH2A	ENSG00000104889	NA	NA	False	0.983312720103116	0.986609274776967	1.0	1	1	TRUE	NA
chr19	12758305	12758885	chr19:12758305-12758885:.	0.007053556999999999	.	chr19:12758305-12758885:.	chr19	12917427	12917428	+	-0.003711003481668684	0.017818117481668682	RNASEH2A	ENSG00000104889	NA	NA	False	0.30869351679492185	0.955633926661186	1.0	1	1	TRUE	NA
chr19	12777325	12777845	chr19:12777325-12777845:.	0.006944341	.	chr19:12777325-12777845:.	chr19	12917427	12917428	+	-0.00466293898135493	0.01855162098135493	RNASEH2A	ENSG00000104889	NA	NA	False	0.3191882178804482	0.955633926661186	1.0	1	1	TRUE	NA
chr19	12780145	12780725	chr19:12780145-12780725:.	0.00017214599999999997	.	chr19:12780145-12780725:.	chr19	12917427	12917428	+	-0.013022361677961761	0.01336665367796176	RNASEH2A	ENSG00000104889	NA	NA	False	0.9866092747769668	0.986609274776967	1.0	1	1	TRUE	NA
chr19	12782725	12783305	chr19:12782725-12783305:.	0.000790605	.	chr19:12782725-12783305:.	chr19	12917427	12917428	+	-0.021607884783442218	0.023189094783442218	RNASEH2A	ENSG00000104889	NA	NA	False	0.969275324771644	0.986609274776967	0.999999999642352	1	1	TRUE	NA
chr19	12787065	12787585	chr19:12787065-12787585:.	-0.012414721	.	chr19:12787065-12787585:.	chr19	12917427	12917428	+	-0.025215552850572604	0.00038611085057260394	RNASEH2A	ENSG00000104889	NA	NA	False	0.0808082711367985	0.532124454116257	1.0	1	1	TRUE	NA
chr19	12791925	12792425	chr19:12791925-12792425:.	0.008156829	.	chr19:12791925-12792425:.	chr19	12917427	12917428	+	-0.006135981735600524	0.022449639735600525	RNASEH2A	ENSG00000104889	NA	NA	False	0.2889068542210573	0.955633926661186	1.0	1	1	TRUE	NA
chr19	12792485	12792985	chr19:12792485-12792985:.	0.006000885	.	chr19:12792485-12792985:.	chr19	12917427	12917428	+	-0.007928510392547428	0.01993028039254743	RNASEH2A	ENSG00000104889	NA	NA	False	0.5067609449727598	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12807205	12807765	chr19:12807205-12807765:.	0.002020545	.	chr19:12807205-12807765:.	chr19	12917427	12917428	+	-0.015258018360039005	0.019299108360039004	RNASEH2A	ENSG00000104889	NA	NA	False	0.8462600657896011	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12813805	12814305	chr19:12813805-12814305:.	-0.002219583	.	chr19:12813805-12814305:.	chr19	12917427	12917428	+	-0.014160029006666928	0.009720863006666927	RNASEH2A	ENSG00000104889	NA	NA	False	0.7391353606900277	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12827685	12828205	chr19:12827685-12828205:.	0.004465322	.	chr19:12827685-12828205:.	chr19	12917427	12917428	+	-0.00951696637843922	0.01844761037843922	RNASEH2A	ENSG00000104889	NA	NA	False	0.6874901811027696	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12832705	12833225	chr19:12832705-12833225:.	-0.002144034	.	chr19:12832705-12833225:.	chr19	12917427	12917428	+	-0.014682239834357673	0.010394171834357674	RNASEH2A	ENSG00000104889	NA	NA	False	0.7276784904797465	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12833305	12833805	chr19:12833305-12833805:.	0.005966248	.	chr19:12833305-12833805:.	chr19	12917427	12917428	+	-0.009548664886025996	0.021481160886025995	RNASEH2A	ENSG00000104889	NA	NA	False	0.459871534808261	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12834545	12835045	chr19:12834545-12835045:.	-0.002475582	.	chr19:12834545-12835045:.	chr19	12917427	12917428	+	-0.018390229898708553	0.013439065898708552	RNASEH2A	ENSG00000104889	NA	NA	False	0.7202321327453542	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12845325	12845825	chr19:12845325-12845825:.	0.005638071	.	chr19:12845325-12845825:.	chr19	12917427	12917428	+	-0.007499375245213186	0.018775517245213185	RNASEH2A	ENSG00000104889	NA	NA	False	0.4734217977700619	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12847665	12848165	chr19:12847665-12848165:.	0.015356076000000001	.	chr19:12847665-12848165:.	chr19	12917427	12917428	+	-0.00017202156394302733	0.030884173563943032	RNASEH2A	ENSG00000104889	NA	NA	False	0.062260271666637564	0.515870822380711	1.0	1	1	TRUE	NA
chr19	12868285	12868805	chr19:12868285-12868805:.	-0.011155025	.	chr19:12868285-12868805:.	chr19	12917427	12917428	+	-0.02606256183548082	0.0037525118354808217	RNASEH2A	ENSG00000104889	NA	NA	False	0.09174559553728563	0.532124454116257	1.0	1	1	TRUE	NA
chr19	12871305	12871845	chr19:12871305-12871845:.	-0.004026491	.	chr19:12871305-12871845:.	chr19	12917427	12917428	+	-0.020097479033968843	0.012044497033968843	RNASEH2A	ENSG00000104889	NA	NA	False	0.6700446736690152	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12876785	12877345	chr19:12876785-12877345:.	0.001897391	.	chr19:12876785-12877345:.	chr19	12917427	12917428	+	-0.010025710370282206	0.013820492370282206	RNASEH2A	ENSG00000104889	NA	NA	False	0.809780850334637	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12886305	12886825	chr19:12886305-12886825:.	0.017290634	.	chr19:12886305-12886825:.	chr19	12917427	12917428	+	0.0034578499556491143	0.031123418044350884	RNASEH2A	ENSG00000104889	NA	NA	False	0.038271569721176436	0.43615816596138596	1.0	1	1	TRUE	NA
chr19	12888325	12888845	chr19:12888325-12888845:.	0.021488893999999998	.	chr19:12888325-12888845:.	chr19	12917427	12917428	+	0.008314567026240822	0.03466322097375917	RNASEH2A	ENSG00000104889	NA	NA	False	0.004782806160063623	0.138701378641845	1.0	1	1	TRUE	NA
chr19	12889945	12890545	chr19:12889945-12890545:.	0.018184636	.	chr19:12889945-12890545:.	chr19	12917427	12917428	+	0.005290317656089479	0.031078954343910524	RNASEH2A	ENSG00000104889	NA	NA	False	0.019152483681423933	0.3702813511741961	1.0	1	1	TRUE	NA
chr19	12893105	12893985	chr19:12893105-12893985:.	0.00478384	.	chr19:12893105-12893985:.	chr19	12917427	12917428	+	-0.006165342401088744	0.015733022401088745	RNASEH2A	ENSG00000104889	NA	NA	False	0.4202147735536661	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12895265	12895785	chr19:12895265-12895785:.	0.012524232	.	chr19:12895265-12895785:.	chr19	12917427	12917428	+	-0.009203186733393438	0.03425165073339344	RNASEH2A	ENSG00000104889	NA	NA	False	0.2500918632823094	0.9449579608126158	0.999999999994355	1	1	TRUE	NA
chr19	12900645	12901165	chr19:12900645-12901165:.	0.010736445	.	chr19:12900645-12901165:.	chr19	12917427	12917428	+	0.0009330157201032745	0.020539874279896727	RNASEH2A	ENSG00000104889	NA	NA	False	0.08050378651214089	0.532124454116257	1.0	1	1	TRUE	NA
chr19	12902005	12902545	chr19:12902005-12902545:.	0.0007968319999999999	.	chr19:12902005-12902545:.	chr19	12917427	12917428	+	-0.010817813284013298	0.012411477284013296	RNASEH2A	ENSG00000104889	NA	NA	False	0.9400033055100344	0.986609274776967	1.0	1	1	TRUE	NA
chr19	12904165	12904665	chr19:12904165-12904665:.	0.008762743	.	chr19:12904165-12904665:.	chr19	12917427	12917428	+	-0.0036847683184832083	0.02121025431848321	RNASEH2A	ENSG00000104889	NA	NA	False	0.19966093182987346	0.7986437273194941	1.0	1	1	TRUE	NA
chr19	12906845	12907745	chr19:12906845-12907745:.	0.007307153	.	chr19:12906845-12907745:.	chr19	12917427	12917428	+	-0.0040379739560387935	0.018652279956038794	RNASEH2A	ENSG00000104889	NA	NA	False	0.2688242474725545	0.9449579608126158	1.0	1	1	TRUE	NA
chr19	12912425	12912945	chr19:12912425-12912945:.	0.038146413	.	chr19:12912425-12912945:.	chr19	12917427	12917428	+	0.024847107007104123	0.05144571899289587	RNASEH2A	ENSG00000104889	NA	NA	True	3.021771206881436e-08	1.16841819999416e-06	1.0	1	1	TRUE	NA
chr19	12916645	12917605	chr19:12916645-12917605:.	0.166712521	.	chr19:12916645-12917605:.	chr19	12917427	12917428	+	0.1470881962899044	0.1863368457100956	RNASEH2A	ENSG00000104889	NA	NA	True	3.2981396839424883e-112	3.825842033373289e-110	1.0	1	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr19	12935945	12936745	chr19:12935945-12936745:.	0.013632671	.	chr19:12935945-12936745:.	chr19	12917427	12917428	+	0.0021843636899522133	0.02508097831004779	RNASEH2A	ENSG00000104889	NA	NA	False	0.0324563933292306	0.4183268473545279	1.0	1	1	TRUE	NA
chr19	12939125	12939705	chr19:12939125-12939705:.	0.008186746	.	chr19:12939125-12939705:.	chr19	12917427	12917428	+	-0.0045203454274760566	0.020893837427476056	RNASEH2A	ENSG00000104889	NA	NA	False	0.3197814389004477	0.955633926661186	1.0	1	1	TRUE	NA
chr19	12941285	12941805	chr19:12941285-12941805:.	0.007517806	.	chr19:12941285-12941805:.	chr19	12917427	12917428	+	-0.004404225482531261	0.01943983748253126	RNASEH2A	ENSG00000104889	NA	NA	False	0.3512681559484043	0.955633926661186	1.0	1	1	TRUE	NA
chr19	12943165	12943725	chr19:12943165-12943725:.	-0.001260321	.	chr19:12943165-12943725:.	chr19	12917427	12917428	+	-0.013286362712480262	0.010765720712480262	RNASEH2A	ENSG00000104889	NA	NA	False	0.818721489616966	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12946045	12946545	chr19:12946045-12946545:.	0.00470116	.	chr19:12946045-12946545:.	chr19	12917427	12917428	+	-0.009540357406047247	0.01894267740604725	RNASEH2A	ENSG00000104889	NA	NA	False	0.5456330974314199	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12947025	12947525	chr19:12947025-12947525:.	0.004469145999999999	.	chr19:12947025-12947525:.	chr19	12917427	12917428	+	-0.010062228051667454	0.019000520051667455	RNASEH2A	ENSG00000104889	NA	NA	False	0.5758888033703897	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12948705	12949465	chr19:12948705-12949465:.	0.018206949	.	chr19:12948705-12949465:.	chr19	12917427	12917428	+	0.005586198002066091	0.03082769999793391	RNASEH2A	ENSG00000104889	NA	NA	False	0.027223056156196208	0.4183268473545279	1.0	1	1	TRUE	NA
chr19	12951265	12951825	chr19:12951265-12951825:.	-0.001684282	.	chr19:12951265-12951825:.	chr19	12917427	12917428	+	-0.013662189518808283	0.010293625518808282	RNASEH2A	ENSG00000104889	NA	NA	False	0.7694397992478327	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12951925	12952425	chr19:12951925-12952425:.	-0.003942953	.	chr19:12951925-12952425:.	chr19	12917427	12917428	+	-0.018934456564506374	0.011048550564506376	RNASEH2A	ENSG00000104889	NA	NA	False	0.5459669374161567	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12958325	12958825	chr19:12958325-12958825:.	-0.007304793	.	chr19:12958325-12958825:.	chr19	12917427	12917428	+	-0.020541061524111264	0.005931475524111263	RNASEH2A	ENSG00000104889	NA	NA	False	0.28717737757929074	0.955633926661186	1.0	1	1	TRUE	NA
chr19	12977965	12978745	chr19:12977965-12978745:.	-0.00078493	.	chr19:12977965-12978745:.	chr19	12917427	12917428	+	-0.011627523273538711	0.010057663273538712	RNASEH2A	ENSG00000104889	NA	NA	False	0.855176219400167	0.9725533475531309	1.0	1	1	TRUE	NA
chr19	12983025	12983525	chr19:12983025-12983525:.	0.0029209220000000003	.	chr19:12983025-12983525:.	chr19	12917427	12917428	+	-0.014311251034829532	0.02015309503482953	RNASEH2A	ENSG00000104889	NA	NA	False	0.8059911507351089	0.9719422537781559	1.0	1	1	TRUE	NA
chr19	12983645	12984185	chr19:12983645-12984185:.	0.026503425	.	chr19:12983645-12984185:.	chr19	12917427	12917428	+	0.008930952975813367	0.044075897024186635	RNASEH2A	ENSG00000104889	NA	NA	False	0.007077963430252561	0.16420875158185902	1.0	1	1	TRUE	NA
chr19	12992145	12992645	chr19:12992145-12992645:.	-0.000488163	.	chr19:12992145-12992645:.	chr19	12917427	12917428	+	-0.01263437137801892	0.01165804537801892	RNASEH2A	ENSG00000104889	NA	NA	False	0.9145149651945792	0.986609274776967	1.0	1	1	TRUE	NA
chr19	12995825	12996325	chr19:12995825-12996325:.	0.01507582	.	chr19:12995825-12996325:.	chr19	12917427	12917428	+	-0.0016962982559927953	0.031847938255992796	RNASEH2A	ENSG00000104889	NA	NA	False	0.04614042365383289	0.446024095320385	1.0	1	1	TRUE	NA
chr19	12996905	12998745	chr19:12996905-12998745:.	0.04775126	.	chr19:12996905-12998745:.	chr19	12917427	12917428	+	0.03920355263835846	0.056298967361641535	RNASEH2A	ENSG00000104889	NA	NA	True	3.9734380615436715e-25	2.30459407569533e-23	1.0	1	1	TRUE	NA
chr19	13001505	13002005	chr19:13001505-13002005:.	0.00193209	.	chr19:13001505-13002005:.	chr19	12917427	12917428	+	-0.014960395267836789	0.01882457526783679	RNASEH2A	ENSG00000104889	NA	NA	False	0.8331445996686511	0.9719422537781559	1.0	1	1	TRUE	NA
