chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chrX	46696085	46696605	chrX:46696085-46696605:.	0.00968527	.	chrX:46696085-46696605:.	chrX	49028183	49028184	+	-0.007783055019689997	0.027153595019689995	PLP2	ENSG00000102007	NA	NA	False	0.4305492202725877	0.823477634890289	1.0	1.0	1	TRUE	NA
chrX	46696685	46697185	chrX:46696685-46697185:.	0.0356625	.	chrX:46696685-46697185:.	chrX	49028183	49028184	+	0.005598348739414685	0.06572665126058531	PLP2	ENSG00000102007	NA	NA	False	0.021140020263197917	0.14873514256607098	0.9999969921404008	1.0	1	TRUE	NA
chrX	46771525	46772025	chrX:46771525-46772025:.	-0.01437642	.	chrX:46771525-46772025:.	chrX	49028183	49028184	+	-0.038224739980002254	0.009471899980002252	PLP2	ENSG00000102007	NA	NA	False	0.21642746990654546	0.654805525908712	0.9999999993751819	1.0	1	TRUE	NA
chrX	46773165	46773765	chrX:46773165-46773765:.	-0.03271834	.	chrX:46773165-46773765:.	chrX	49028183	49028184	+	-0.06461020508285772	-0.0008264749171422794	PLP2	ENSG00000102007	NA	NA	False	0.033503737525681324	0.200007160380582	0.999982809570573	1.0	1	TRUE	NA
chrX	46837945	46838445	chrX:46837945-46838445:.	-0.00840449	.	chrX:46837945-46838445:.	chrX	49028183	49028184	+	-0.04719665931824114	0.030387679318241136	PLP2	ENSG00000102007	NA	NA	False	0.6099938298925836	0.8583484606345642	0.9990771393576209	1.0	1	TRUE	NA
chrX	46936185	46936705	chrX:46936185-46936705:.	-0.01090387	.	chrX:46936185-46936705:.	chrX	49028183	49028184	+	-0.06183671172294415	0.040028971722944146	PLP2	ENSG00000102007	NA	NA	False	0.511488415891028	0.8396934827544379	0.99192767857295	1.0	1	TRUE	NA
chrX	46988405	46988905	chrX:46988405-46988905:.	0.00640953	.	chrX:46988405-46988905:.	chrX	49028183	49028184	+	-0.019634923655011034	0.03245398365501104	PLP2	ENSG00000102007	NA	NA	False	0.7276260207537087	0.918861064669747	0.999999910120434	1.0	1	TRUE	NA
chrX	47003725	47004825	chrX:47003725-47004825:.	-0.01784628	.	chrX:47003725-47004825:.	chrX	49028183	49028184	+	-0.03403742869775603	-0.00165513130224397	PLP2	ENSG00000102007	NA	NA	False	0.02006047953083503	0.148384219910765	1.0	1.0	1	TRUE	NA
chrX	47049905	47050425	chrX:47049905-47050425:.	-0.0049003	.	chrX:47049905-47050425:.	chrX	49028183	49028184	+	-0.02509132805336985	0.01529072805336985	PLP2	ENSG00000102007	NA	NA	False	0.5732308741093375	0.856328581152363	0.999999999999967	1.0	1	TRUE	NA
chrX	47050785	47051285	chrX:47050785-47051285:.	-0.02267279	.	chrX:47050785-47051285:.	chrX	49028183	49028184	+	-0.058012511188605745	0.012666931188605738	PLP2	ENSG00000102007	NA	NA	False	0.10029366983533884	0.4460990283189111	0.9999519887304491	1.0	1	TRUE	NA
chrX	47052845	47053345	chrX:47052845-47053345:.	-0.02116106	.	chrX:47052845-47053345:.	chrX	49028183	49028184	+	-0.04874915337048562	0.00642703337048562	PLP2	ENSG00000102007	NA	NA	False	0.10750777412139584	0.45439967617834703	0.9999998072697759	1.0	1	TRUE	NA
chrX	47056545	47057085	chrX:47056545-47057085:.	0.01557553	.	chrX:47056545-47057085:.	chrX	49028183	49028184	+	-0.009604044440893123	0.04075510444089313	PLP2	ENSG00000102007	NA	NA	False	0.2657439479669816	0.6976248822207161	0.9999999943971359	1.0	1	TRUE	NA
chrX	47077165	47077665	chrX:47077165-47077665:.	0.00521199	.	chrX:47077165-47077665:.	chrX	49028183	49028184	+	-0.022739248195538783	0.03316322819553878	PLP2	ENSG00000102007	NA	NA	False	0.7766016029446752	0.945580128404283	0.99999968862984	1.0	1	TRUE	NA
chrX	47077845	47078345	chrX:47077845-47078345:.	0.02172447	.	chrX:47077845-47078345:.	chrX	49028183	49028184	+	-0.003978659110385609	0.047427599110385604	PLP2	ENSG00000102007	NA	NA	False	0.12055928172484966	0.49479538541240403	0.999999985680146	1.0	1	TRUE	NA
chrX	47092125	47093285	chrX:47092125-47093285:.	0.00758978	.	chrX:47092125-47093285:.	chrX	49028183	49028184	+	-0.009523404010863316	0.024702964010863318	PLP2	ENSG00000102007	NA	NA	False	0.4433758914340754	0.8305385081154271	1.0	1.0	1	TRUE	NA
