chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chrX	46696085	46696605	chrX:46696085-46696605:.	0.037146494	.	chrX:46696085-46696605:.	chrX	48380163	48380164	+	0.01158893110927818	0.06270405689072182	EBP	ENSG00000147155	NA	NA	False	0.052422230094839116	0.7043830355329879	0.999994058287485	1.0	1	TRUE	NA
chrX	46696685	46697185	chrX:46696685-46697185:.	-0.013800433999999999	.	chrX:46696685-46697185:.	chrX	48380163	48380164	+	-0.04906281178007375	0.021461943780073753	EBP	ENSG00000147155	NA	NA	False	0.44999863918964705	0.925326170344373	0.9961717841976421	1.0	1	TRUE	NA
chrX	46771525	46772025	chrX:46771525-46772025:.	-0.006746033	.	chrX:46771525-46772025:.	chrX	48380163	48380164	+	-0.03015456362306948	0.016662497623069476	EBP	ENSG00000147155	NA	NA	False	0.6361091037885649	0.9443850854779279	0.999992824906389	1.0	1	TRUE	NA
chrX	46773165	46773765	chrX:46773165-46773765:.	-0.032469937000000004	.	chrX:46773165-46773765:.	chrX	48380163	48380164	+	-0.1055482925895727	0.04060841858957269	EBP	ENSG00000147155	NA	NA	False	0.1591357290551084	0.83865998916261	0.8637471773074029	0.9999998407785881	1	TRUE	NA
chrX	46988405	46988905	chrX:46988405-46988905:.	-0.011798194	.	chrX:46988405-46988905:.	chrX	48380163	48380164	+	-0.06250939612351125	0.03891300812351125	EBP	ENSG00000147155	NA	NA	False	0.5847524537830685	0.9441929497737109	0.924555199254575	0.9999999999997191	1	TRUE	NA
chrX	47003725	47004825	chrX:47003725-47004825:.	0.004023505	.	chrX:47003725-47004825:.	chrX	48380163	48380164	+	-0.020507605099086442	0.028554615099086442	EBP	ENSG00000147155	NA	NA	False	0.9154534559700868	0.9794900406250909	0.999999984501885	1.0	1	TRUE	NA
chrX	47049905	47050425	chrX:47049905-47050425:.	-0.009210125	.	chrX:47049905-47050425:.	chrX	48380163	48380164	+	-0.05114328703323893	0.03272303703323893	EBP	ENSG00000147155	NA	NA	False	0.5145325788161228	0.9441929497737109	0.995855789020617	1.0	1	TRUE	NA
chrX	47050785	47051285	chrX:47050785-47051285:.	0.019113919	.	chrX:47050785-47051285:.	chrX	48380163	48380164	+	-0.01998925735281607	0.05821709535281607	EBP	ENSG00000147155	NA	NA	False	0.4599887320787058	0.925326170344373	0.9909799618913729	1.0	1	TRUE	NA
chrX	47052845	47053345	chrX:47052845-47053345:.	0.024662568	.	chrX:47052845-47053345:.	chrX	48380163	48380164	+	-0.02308937803804646	0.07241451403804645	EBP	ENSG00000147155	NA	NA	False	0.3401906858047897	0.915084917950982	0.96875202311023	0.999999999999999	1	TRUE	NA
chrX	47056545	47057085	chrX:47056545-47057085:.	-0.027854892000000003	.	chrX:47056545-47057085:.	chrX	48380163	48380164	+	-0.060433896791597885	0.004724112791597877	EBP	ENSG00000147155	NA	NA	False	0.08957472128165159	0.7043830355329879	0.9996910301619741	1.0	1	TRUE	NA
chrX	47077165	47077665	chrX:47077165-47077665:.	-0.008984803000000001	.	chrX:47077165-47077665:.	chrX	48380163	48380164	+	-0.046585936795600955	0.028616330795600955	EBP	ENSG00000147155	NA	NA	False	0.5758751663346096	0.9441929497737109	0.9956077466812059	1.0	1	TRUE	NA
chrX	47077845	47078345	chrX:47077845-47078345:.	0.039772429	.	chrX:47077845-47078345:.	chrX	48380163	48380164	+	9.330194803747194e-05	0.07945155605196252	EBP	ENSG00000147155	NA	NA	False	0.08511882490763648	0.7043830355329879	0.9920398145750972	1.0	1	TRUE	NA
chrX	47092125	47093285	chrX:47092125-47093285:.	0.006258306	.	chrX:47092125-47093285:.	chrX	48380163	48380164	+	-0.024601811822274243	0.037118423822274246	EBP	ENSG00000147155	NA	NA	False	0.7900920195716368	0.974678306640563	0.999991305904683	1.0	1	TRUE	NA
chrX	47171685	47172205	chrX:47171685-47172205:.	-0.004431737	.	chrX:47171685-47172205:.	chrX	48380163	48380164	+	-0.050876316547812155	0.04201284254781216	EBP	ENSG00000147155	NA	NA	False	0.7831622408210921	0.974678306640563	0.948272280052706	0.999999999999999	1	TRUE	NA
chrX	47180665	47181185	chrX:47180665-47181185:.	0.039395927000000004	.	chrX:47180665-47181185:.	chrX	48380163	48380164	+	0.010363535546294309	0.0684283184537057	EBP	ENSG00000147155	NA	NA	False	0.06647096067488037	0.7043830355329879	0.9997821809306779	1.0	1	TRUE	NA
chrX	47221385	47221925	chrX:47221385-47221925:.	-0.024286336000000002	.	chrX:47221385-47221925:.	chrX	48380163	48380164	+	-0.07031469677737746	0.021742024777377463	EBP	ENSG00000147155	NA	NA	False	0.21796063662844548	0.850315205501184	0.979539765515605	1.0	1	TRUE	NA
chrX	47225545	47226065	chrX:47225545-47226065:.	-0.007096241999999999	.	chrX:47225545-47226065:.	chrX	48380163	48380164	+	-0.045659267523939076	0.031466783523939085	EBP	ENSG00000147155	NA	NA	False	0.6540493461324275	0.9483472663545001	0.992657149994572	1.0	1	TRUE	NA
chrX	47341785	47342285	chrX:47341785-47342285:.	0.038979842	.	chrX:47341785-47342285:.	chrX	48380163	48380164	+	0.006194660204762545	0.07176502379523746	EBP	ENSG00000147155	NA	NA	False	0.07371911351147911	0.7043830355329879	0.9989739512389549	1.0	1	TRUE	NA
chrX	47342365	47342905	chrX:47342365-47342905:.	0.048348237	.	chrX:47342365-47342905:.	chrX	48380163	48380164	+	0.023498541236557327	0.07319793276344268	EBP	ENSG00000147155	NA	NA	False	0.008062697042977678	0.23247443140585602	0.9999978696506969	1.0	1	TRUE	NA
chrX	47382685	47383225	chrX:47382685-47383225:.	0.001058773	.	chrX:47382685-47383225:.	chrX	48380163	48380164	+	-0.0342246882945552	0.0363422342945552	EBP	ENSG00000147155	NA	NA	False	0.9230622754396074	0.9794900406250909	0.9995111685019129	1.0	1	TRUE	NA
chrX	47420245	47421145	chrX:47420245-47421145:.	-0.007982869	.	chrX:47420245-47421145:.	chrX	48380163	48380164	+	-0.034816671456447845	0.01885093345644784	EBP	ENSG00000147155	NA	NA	False	0.4242666938397448	0.925326170344373	0.9999995744135849	1.0	1	TRUE	NA
chrX	47421905	47422425	chrX:47421905-47422425:.	0.033976116	.	chrX:47421905-47422425:.	chrX	48380163	48380164	+	-0.018904147513650604	0.0868563795136506	EBP	ENSG00000147155	NA	NA	False	0.17499639217721785	0.8409548846294079	0.953610834355374	0.9999999999997379	1	TRUE	NA
chrX	47432085	47432625	chrX:47432085-47432625:.	0.052899619	.	chrX:47432085-47432625:.	chrX	48380163	48380164	+	0.010172741702338582	0.09562649629766143	EBP	ENSG00000147155	NA	NA	False	0.01037953514568598	0.256522797171954	0.992879847394579	1.0	1	TRUE	NA
chrX	47434105	47434605	chrX:47434105-47434605:.	0.0007312519999999999	.	chrX:47434105-47434605:.	chrX	48380163	48380164	+	-0.03243005191580129	0.033892555915801294	EBP	ENSG00000147155	NA	NA	False	0.9084994257731308	0.9794900406250909	0.9997538683190691	1.0	1	TRUE	NA
chrX	47436745	47437245	chrX:47436745-47437245:.	-0.003147695	.	chrX:47436745-47437245:.	chrX	48380163	48380164	+	-0.03550006902163973	0.02920467902163973	EBP	ENSG00000147155	NA	NA	False	0.7642785959770138	0.974678306640563	0.999389339992218	1.0	1	TRUE	NA
chrX	47438845	47439365	chrX:47438845-47439365:.	-0.028436457999999998	.	chrX:47438845-47439365:.	chrX	48380163	48380164	+	-0.09408799082361369	0.03721507482361369	EBP	ENSG00000147155	NA	NA	False	0.22114580565195824	0.850315205501184	0.882525834462902	0.9999999921894741	1	TRUE	NA
chrX	47441405	47441925	chrX:47441405-47441925:.	0.016629913	.	chrX:47441405-47441925:.	chrX	48380163	48380164	+	-0.01668273730547502	0.049942563305475016	EBP	ENSG00000147155	NA	NA	False	0.4590107684386032	0.925326170344373	0.999395891319348	1.0	1	TRUE	NA
chrX	47446585	47447085	chrX:47446585-47447085:.	0.003331711	.	chrX:47446585-47447085:.	chrX	48380163	48380164	+	-0.03177270934191663	0.03843613134191663	EBP	ENSG00000147155	NA	NA	False	0.9738282484827496	0.9794900406250909	0.998710103066369	1.0	1	TRUE	NA
chrX	47467865	47468365	chrX:47467865-47468365:.	0.02112446	.	chrX:47467865-47468365:.	chrX	48380163	48380164	+	-0.018270588244780898	0.060519508244780904	EBP	ENSG00000147155	NA	NA	False	0.3779539596514103	0.915084917950982	0.993815111292397	1.0	1	TRUE	NA
chrX	47479145	47479645	chrX:47479145-47479645:.	0.0018165520000000001	.	chrX:47479145-47479645:.	chrX	48380163	48380164	+	-0.03533144528679181	0.03896454928679181	EBP	ENSG00000147155	NA	NA	False	0.9601549379819564	0.9794900406250909	0.9988544240513509	1.0	1	TRUE	NA
chrX	47489045	47490045	chrX:47489045-47490045:.	0.021043062	.	chrX:47489045-47490045:.	chrX	48380163	48380164	+	-0.007715334542282678	0.049801458542282684	EBP	ENSG00000147155	NA	NA	False	0.2310104893558129	0.850315205501184	0.999991201590116	1.0	1	TRUE	NA
chrX	47508545	47509125	chrX:47508545-47509125:.	-0.002492351	.	chrX:47508545-47509125:.	chrX	48380163	48380164	+	-0.05082258789648932	0.04583788589648933	EBP	ENSG00000147155	NA	NA	False	0.8412462179243267	0.974678306640563	0.9411732882109259	0.999999999999987	1	TRUE	NA
chrX	47509425	47510405	chrX:47509425-47510405:.	0.017455485	.	chrX:47509425-47510405:.	chrX	48380163	48380164	+	-0.009530165197581712	0.04444113519758171	EBP	ENSG00000147155	NA	NA	False	0.2724442912681173	0.8702628201445821	0.999999478711734	1.0	1	TRUE	NA
chrX	47517845	47518345	chrX:47517845-47518345:.	-0.008698755	.	chrX:47517845-47518345:.	chrX	48380163	48380164	+	-0.05664080974759778	0.03924329974759778	EBP	ENSG00000147155	NA	NA	False	0.5812642653689061	0.9441929497737109	0.9813443063894459	1.0	1	TRUE	NA
chrX	47518405	47518905	chrX:47518405-47518905:.	-0.022295215	.	chrX:47518405-47518905:.	chrX	48380163	48380164	+	-0.05216428839036874	0.0075738583903687436	EBP	ENSG00000147155	NA	NA	False	0.15997560486916831	0.83865998916261	0.999914727313164	1.0	1	TRUE	NA
chrX	47542805	47543305	chrX:47542805-47543305:.	0.011591452	.	chrX:47542805-47543305:.	chrX	48380163	48380164	+	-0.029827742646513847	0.05301064664651385	EBP	ENSG00000147155	NA	NA	False	0.7145327100413856	0.974678306640563	0.977329964166897	1.0	1	TRUE	NA
chrX	47565865	47566925	chrX:47565865-47566925:.	0.00766651	.	chrX:47565865-47566925:.	chrX	48380163	48380164	+	-0.023520526078016447	0.03885354607801645	EBP	ENSG00000147155	NA	NA	False	0.8013346179758063	0.974678306640563	0.999544185942296	1.0	1	TRUE	NA
chrX	47570625	47571185	chrX:47570625-47571185:.	-0.021745475	.	chrX:47570625-47571185:.	chrX	48380163	48380164	+	-0.06339802043462793	0.01990707043462793	EBP	ENSG00000147155	NA	NA	False	0.3678827115585467	0.915084917950982	0.9532468562283299	1.0	1	TRUE	NA
chrX	47632105	47632605	chrX:47632105-47632605:.	0.000654708	.	chrX:47632105-47632605:.	chrX	48380163	48380164	+	-0.049666053276612394	0.05097546927661239	EBP	ENSG00000147155	NA	NA	False	0.9330861855629572	0.9794900406250909	0.950226224115448	0.999999999999958	1	TRUE	NA
chrX	47674165	47674665	chrX:47674165-47674665:.	-0.012930256999999999	.	chrX:47674165-47674665:.	chrX	48380163	48380164	+	-0.061781592048137046	0.035921078048137045	EBP	ENSG00000147155	NA	NA	False	0.5208648757066288	0.9441929497737109	0.95513611325032	0.9999999999999929	1	TRUE	NA
chrX	47695565	47696485	chrX:47695565-47696485:.	-0.004370094000000001	.	chrX:47695565-47696485:.	chrX	48380163	48380164	+	-0.03546509173526577	0.02672490373526577	EBP	ENSG00000147155	NA	NA	False	0.6330665396725841	0.9443850854779279	0.9999746798356658	1.0	1	TRUE	NA
chrX	47818245	47818745	chrX:47818245-47818745:.	-0.00202487	.	chrX:47818245-47818745:.	chrX	48380163	48380164	+	-0.0532478955479542	0.0491981555479542	EBP	ENSG00000147155	NA	NA	False	0.8619987336185326	0.974678306640563	0.913696394898921	0.9999999999992779	1	TRUE	NA
