chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chrX	46696085	46696605	chrX:46696085-46696605:.	0.01801283	.	chrX:46696085-46696605:.	chrX	48755194	48755195	+	-0.0010638687671182465	0.03708952876711825	PQBP1	ENSG00000102103	NA	NA	False	0.6261459925653745	0.93638603357406	0.9999999999901921	1.0	1.0	TRUE	NA
chrX	46696685	46697185	chrX:46696685-46697185:.	0.03140092	.	chrX:46696685-46697185:.	chrX	48755194	48755195	+	0.002340751099211856	0.06046108890078814	PQBP1	ENSG00000102103	NA	NA	False	0.3191401514944758	0.885911016463909	0.999912893328797	1.0	1.0	TRUE	NA
chrX	46771525	46772025	chrX:46771525-46772025:.	-0.00424251	.	chrX:46771525-46772025:.	chrX	48755194	48755195	+	-0.028632925628563406	0.020147905628563403	PQBP1	ENSG00000102103	NA	NA	False	0.4246119923847472	0.93638603357406	0.9999996786740771	1.0	1.0	TRUE	NA
chrX	46773165	46773765	chrX:46773165-46773765:.	0.00361592	.	chrX:46773165-46773765:.	chrX	48755194	48755195	+	-0.03390903515675819	0.04114087515675819	PQBP1	ENSG00000102103	NA	NA	False	0.7691862353943977	0.93791095799704	0.9974995079624092	1.0	1.0	TRUE	NA
chrX	46837945	46838445	chrX:46837945-46838445:.	0.03686265	.	chrX:46837945-46838445:.	chrX	48755194	48755195	+	-0.007036661411583295	0.08076196141158329	PQBP1	ENSG00000102103	NA	NA	False	0.3175659197864136	0.885911016463909	0.977710920613723	1.0	1.0	TRUE	NA
chrX	46936185	46936705	chrX:46936185-46936705:.	-0.06727042	.	chrX:46936185-46936705:.	chrX	48755194	48755195	+	-0.20849902770225157	0.07395818770225157	PQBP1	ENSG00000102103	NA	NA	False	0.004551224435519721	0.10752267728915302	0.729253316720342	0.9964411634734092	0.9999999996343729	TRUE	NA
chrX	46988405	46988905	chrX:46988405-46988905:.	0.0305494	.	chrX:46988405-46988905:.	chrX	48755194	48755195	+	-0.005491301470413244	0.06659010147041325	PQBP1	ENSG00000102103	NA	NA	False	0.3785229904046232	0.93638603357406	0.997714241124138	1.0	1.0	TRUE	NA
chrX	47003725	47004825	chrX:47003725-47004825:.	0.02585254	.	chrX:47003725-47004825:.	chrX	48755194	48755195	+	0.009021919059419802	0.042683160940580195	PQBP1	ENSG00000102103	NA	NA	False	0.18818810421713453	0.7567564190859241	1.0	1.0	1.0	TRUE	NA
chrX	47049905	47050425	chrX:47049905-47050425:.	-0.00325439	.	chrX:47049905-47050425:.	chrX	48755194	48755195	+	-0.03762813379045695	0.03111935379045695	PQBP1	ENSG00000102103	NA	NA	False	0.40344373675693934	0.93638603357406	0.999924709310744	1.0	1.0	TRUE	NA
chrX	47050785	47051285	chrX:47050785-47051285:.	-0.0295674	.	chrX:47050785-47051285:.	chrX	48755194	48755195	+	-0.11877252931808066	0.059637729318080666	PQBP1	ENSG00000102103	NA	NA	False	0.064238327989161	0.534206796741324	0.890179846189329	0.999996897743285	1.0	TRUE	NA
chrX	47052845	47053345	chrX:47052845-47053345:.	-0.00777212	.	chrX:47052845-47053345:.	chrX	48755194	48755195	+	-0.03162339521468574	0.016079155214685743	PQBP1	ENSG00000102103	NA	NA	False	0.3785665110281142	0.93638603357406	0.999998707391101	1.0	1.0	TRUE	NA
chrX	47056545	47057085	chrX:47056545-47057085:.	0.03976052	.	chrX:47056545-47057085:.	chrX	48755194	48755195	+	0.019020205901842724	0.06050083409815728	PQBP1	ENSG00000102103	NA	NA	False	0.13590237919146314	0.7076242014251941	0.999999979052775	1.0	1.0	TRUE	NA
chrX	47077165	47077665	chrX:47077165-47077665:.	0.02548974	.	chrX:47077165-47077665:.	chrX	48755194	48755195	+	-0.009085685968870192	0.060065165968870196	PQBP1	ENSG00000102103	NA	NA	False	0.4415748205238144	0.93638603357406	0.9995618343102161	1.0	1.0	TRUE	NA
chrX	47077845	47078345	chrX:47077845-47078345:.	0.00414482	.	chrX:47077845-47078345:.	chrX	48755194	48755195	+	-0.0172765190584977	0.0255661590584977	PQBP1	ENSG00000102103	NA	NA	False	0.7492536873532809	0.93638603357406	0.9999999800959479	1.0	1.0	TRUE	NA
chrX	47092125	47093285	chrX:47092125-47093285:.	0.02051481	.	chrX:47092125-47093285:.	chrX	48755194	48755195	+	0.00379782423346638	0.037231795766533626	PQBP1	ENSG00000102103	NA	NA	False	0.417336951133503	0.93638603357406	1.0	1.0	1.0	TRUE	NA
chrX	47171685	47172205	chrX:47171685-47172205:.	0.02905595	.	chrX:47171685-47172205:.	chrX	48755194	48755195	+	-0.015836702480797823	0.07394860248079782	PQBP1	ENSG00000102103	NA	NA	False	0.4795512041309358	0.93638603357406	0.9752543637360859	1.0	1.0	TRUE	NA
