chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr3	127292685	127293205	chr3:127292685-127293205:.	2.539e-07	.	chr3:127292685-127293205:.	chr3	128444978	128444979	+	-0.021790430254443008	0.02179093805444301	RAB7A	ENSG00000075785	NA	NA	False	0.9893017131401658	0.9893017131401659	0.999999983806262	1.0	1.0	TRUE	NA
chr3	127293725	127294245	chr3:127293725-127294245:.	-0.0045890038799999994	.	chr3:127293725-127294245:.	chr3	128444978	128444979	+	-0.0386387302263934	0.029460722466393405	RAB7A	ENSG00000075785	NA	NA	False	0.7841850916868107	0.9214775374790649	0.9996153103123949	1.0	1.0	TRUE	NA
chr3	127303265	127303845	chr3:127303265-127303845:.	0.01164486686	.	chr3:127303265-127303845:.	chr3	128444978	128444979	+	-0.021636895391094563	0.04492662911109456	RAB7A	ENSG00000075785	NA	NA	False	0.5499315739428228	0.8626207398411541	0.999364085439049	1.0	1.0	TRUE	NA
chr3	127309425	127309925	chr3:127309425-127309925:.	-0.00775913598	.	chr3:127309425-127309925:.	chr3	128444978	128444979	+	-0.04669759543247734	0.031179323472477344	RAB7A	ENSG00000075785	NA	NA	False	0.6354685693157698	0.900390380937763	0.998819494325812	1.0	1.0	TRUE	NA
chr3	127314125	127314645	chr3:127314125-127314645:.	-0.00450049659	.	chr3:127314125-127314645:.	chr3	128444978	128444979	+	-0.041377672748046136	0.032376679568046136	RAB7A	ENSG00000075785	NA	NA	False	0.8018191032035591	0.9214775374790649	0.9985315381283041	1.0	1.0	TRUE	NA
chr3	127316945	127317445	chr3:127316945-127317445:.	-0.04638156728	.	chr3:127316945-127317445:.	chr3	128444978	128444979	+	-0.16353843717568287	0.07077530261568288	RAB7A	ENSG00000075785	NA	NA	False	0.04358287870222608	0.5338902641022689	0.786863950932463	0.9995132844161769	0.9999999999999599	TRUE	NA
chr3	127347585	127348125	chr3:127347585-127348125:.	-0.008688413780000001	.	chr3:127347585-127348125:.	chr3	128444978	128444979	+	-0.035940722700177466	0.01856389514017746	RAB7A	ENSG00000075785	NA	NA	False	0.5502862191068697	0.8626207398411541	0.99999714421683	1.0	1.0	TRUE	NA
chr3	127348905	127349405	chr3:127348905-127349405:.	0.00535718748	.	chr3:127348905-127349405:.	chr3	128444978	128444979	+	-0.026203257048803146	0.036917632008803145	RAB7A	ENSG00000075785	NA	NA	False	0.8134953608531944	0.9214775374790649	0.998721537883563	1.0	1.0	TRUE	NA
chr3	127353445	127353945	chr3:127353445-127353945:.	0.022321045319999996	.	chr3:127353445-127353945:.	chr3	128444978	128444979	+	-0.018629485021048803	0.0632715756610488	RAB7A	ENSG00000075785	NA	NA	False	0.3643232553668112	0.8540692264146371	0.98176026086944	1.0	1.0	TRUE	NA
chr3	127391465	127392045	chr3:127391465-127392045:.	0.01849624665	.	chr3:127391465-127392045:.	chr3	128444978	128444979	+	-0.005397517602785028	0.042390010902785026	RAB7A	ENSG00000075785	NA	NA	False	0.20522077674935926	0.766082554039402	0.999999889497405	1.0	1.0	TRUE	NA
