chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	48812505	48813005	chr19:48812505-48813005:.	0.01464133	.	chr19:48812505-48813005:.	chr19	49256917	49256918	-	-0.015274119203253432	0.04455677920325343	FUT1	ENSG00000174951	NA	NA	False	0.4740478276239245	0.940590153313403	0.999642694005713	1.0	1	TRUE	NA
chr19	48824385	48824925	chr19:48824385-48824925:.	-0.01175076	.	chr19:48824385-48824925:.	chr19	49256917	49256918	-	-0.030940180696352668	0.007438660696352668	FUT1	ENSG00000174951	NA	NA	False	0.31658030213022503	0.8231087855385849	0.9999999999994542	1.0	1	TRUE	NA
chr19	48824985	48825585	chr19:48824985-48825585:.	0.00364284	.	chr19:48824985-48825585:.	chr19	49256917	49256918	-	-0.011870708489576831	0.01915638848957683	FUT1	ENSG00000174951	NA	NA	False	0.6988731308342022	0.972628590374759	1.0	1.0	1	TRUE	NA
chr19	48828425	48829005	chr19:48828425-48829005:.	0.0086623	.	chr19:48828425-48829005:.	chr19	49256917	49256918	-	-0.0165222088416091	0.033846808841609094	FUT1	ENSG00000174951	NA	NA	False	0.5136249332629013	0.94286771066442	0.99999991324855	1.0	1	TRUE	NA
chr19	48829105	48829625	chr19:48829105-48829625:.	0.00568586	.	chr19:48829105-48829625:.	chr19	49256917	49256918	-	-0.01439342829229764	0.025765148292297643	FUT1	ENSG00000174951	NA	NA	False	0.6058301363855731	0.9643826660831569	0.9999999999976541	1.0	1	TRUE	NA
chr19	48835885	48836625	chr19:48835885-48836625:.	0.00599187	.	chr19:48835885-48836625:.	chr19	49256917	49256918	-	-0.009685367087084076	0.021669107087084076	FUT1	ENSG00000174951	NA	NA	False	0.5520138600442209	0.9643826660831569	1.0	1.0	1	TRUE	NA
chr19	48837085	48837585	chr19:48837085-48837585:.	0.02044761	.	chr19:48837085-48837585:.	chr19	49256917	49256918	-	0.004745275062578363	0.036149944937421644	FUT1	ENSG00000174951	NA	NA	False	0.04441340897452166	0.288687158334391	1.0	1.0	1	TRUE	NA
chr19	48842585	48843105	chr19:48842585-48843105:.	0.0135433	.	chr19:48842585-48843105:.	chr19	49256917	49256918	-	-0.007908712962446727	0.03499531296244673	FUT1	ENSG00000174951	NA	NA	False	0.3133933612559943	0.8231087855385849	0.999999999252647	1.0	1	TRUE	NA
chr19	48848065	48848565	chr19:48848065-48848565:.	0.00715889	.	chr19:48848065-48848565:.	chr19	49256917	49256918	-	-0.015461193762305567	0.02977897376230557	FUT1	ENSG00000174951	NA	NA	False	0.5751004576561951	0.9643826660831569	0.9999999977619051	1.0	1	TRUE	NA
chr19	48854445	48854985	chr19:48854445-48854985:.	-0.00883215	.	chr19:48854445-48854985:.	chr19	49256917	49256918	-	-0.031107660967563646	0.013443360967563645	FUT1	ENSG00000174951	NA	NA	False	0.469937373069674	0.940590153313403	0.999999999543657	1.0	1	TRUE	NA
chr19	48857765	48858285	chr19:48857765-48858285:.	0.00141689	.	chr19:48857765-48858285:.	chr19	49256917	49256918	-	-0.027995818723232573	0.030829598723232574	FUT1	ENSG00000174951	NA	NA	False	0.9385456957265654	0.972628590374759	0.999812600378149	1.0	1	TRUE	NA
