chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr12	54089985	54090485	chr12:54089985-54090485:.	0.02523056	.	chr12:54089985-54090485:.	chr12	54694821	54694822	-	0.003939409285723398	0.046521710714276604	NFE2	ENSG00000123405	NA	NA	False	0.15678802447266835	0.6931976471579921	0.999999977549655	1.0	1	TRUE	NA
chr12	54095465	54096005	chr12:54095465-54096005:.	-0.00813354	.	chr12:54095465-54096005:.	chr12	54694821	54694822	-	-0.03415519373102616	0.017888113731026153	NFE2	ENSG00000123405	NA	NA	False	0.5865431982691961	0.946000747013338	0.9999997316546441	1.0	1	TRUE	NA
chr12	54113365	54113885	chr12:54113365-54113885:.	0.00480524	.	chr12:54113365-54113885:.	chr12	54694821	54694822	-	-0.024711306659066155	0.034321786659066156	NFE2	ENSG00000123405	NA	NA	False	0.7992777051408251	0.9616908783204641	0.999949799358636	1.0	1	TRUE	NA
chr12	54120005	54120525	chr12:54120005-54120525:.	-0.02760314	.	chr12:54120005-54120525:.	chr12	54694821	54694822	-	-0.06769402969684304	0.012487749696843044	NFE2	ENSG00000123405	NA	NA	False	0.17880696146102426	0.7246185778477651	0.9972315877576802	1.0	1	TRUE	NA
chr12	54121145	54121645	chr12:54121145-54121645:.	-0.01141853	.	chr12:54121145-54121645:.	chr12	54694821	54694822	-	-0.03503528085687739	0.012198220856877388	NFE2	ENSG00000123405	NA	NA	False	0.4622575643478074	0.946000747013338	0.999999962269761	1.0	1	TRUE	NA
chr12	54137285	54137825	chr12:54137285-54137825:.	-0.0112885	.	chr12:54137285-54137825:.	chr12	54694821	54694822	-	-0.03417256584642514	0.01159556584642514	NFE2	ENSG00000123405	NA	NA	False	0.4607929652921836	0.946000747013338	0.9999999873030742	1.0	1	TRUE	NA
chr12	54140345	54140845	chr12:54140345-54140845:.	0.00481366	.	chr12:54140345-54140845:.	chr12	54694821	54694822	-	-0.024975295104489308	0.03460261510448931	NFE2	ENSG00000123405	NA	NA	False	0.7551061418911416	0.947014806311093	0.9999921046033621	1.0	1	TRUE	NA
chr12	54145285	54145785	chr12:54145285-54145785:.	-0.00329033	.	chr12:54145285-54145785:.	chr12	54694821	54694822	-	-0.025584951675601295	0.019004291675601293	NFE2	ENSG00000123405	NA	NA	False	0.8233320244230324	0.9616908783204641	0.999999997268752	1.0	1	TRUE	NA
chr12	54150865	54151385	chr12:54150865-54151385:.	0.00516327	.	chr12:54150865-54151385:.	chr12	54694821	54694822	-	-0.02047393813999338	0.03080047813999338	NFE2	ENSG00000123405	NA	NA	False	0.736086323392843	0.947014806311093	0.999999685054875	1.0	1	TRUE	NA
chr12	54161385	54161905	chr12:54161385-54161905:.	0.02748727	.	chr12:54161385-54161905:.	chr12	54694821	54694822	-	-0.010265137664841911	0.06523967766484191	NFE2	ENSG00000123405	NA	NA	False	0.2606141539889528	0.8311478424512551	0.994115731152893	1.0	1	TRUE	NA
chr12	54185445	54185945	chr12:54185445-54185945:.	0.01176695	.	chr12:54185445-54185945:.	chr12	54694821	54694822	-	-0.0175100468512224	0.041043946851222396	NFE2	ENSG00000123405	NA	NA	False	0.5070413061950838	0.946000747013338	0.999978862289068	1.0	1	TRUE	NA
chr12	54202705	54203225	chr12:54202705-54203225:.	-0.01293953	.	chr12:54202705-54203225:.	chr12	54694821	54694822	-	-0.04599664676409447	0.020117586764094475	NFE2	ENSG00000123405	NA	NA	False	0.5600652430932145	0.946000747013338	0.999165392428788	1.0	1	TRUE	NA
