chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr3	127292685	127293205	chr3:127292685-127293205:.	0.000550691	.	chr3:127292685-127293205:.	chr3	128902810	128902811	-	-0.018525972567711706	0.019627354567711704	CNBP	ENSG00000169714	NA	NA	False	0.8334305967511404	0.9885697716218929	0.9999999999999949	1.0	1	TRUE	NA
chr3	127293725	127294245	chr3:127293725-127294245:.	0.003199681	.	chr3:127293725-127294245:.	chr3	128902810	128902811	-	-0.01712904713648303	0.02352840913648303	CNBP	ENSG00000169714	NA	NA	False	0.9602753048048168	0.9885697716218929	0.9999999999988539	1.0	1	TRUE	NA
chr3	127303265	127303845	chr3:127303265-127303845:.	0.009009209	.	chr3:127303265-127303845:.	chr3	128902810	128902811	-	-0.014672971523767696	0.0326913895237677	CNBP	ENSG00000169714	NA	NA	False	0.6163610835728013	0.961951941396434	0.9999999973800109	1.0	1	TRUE	NA
chr3	127309425	127309925	chr3:127309425-127309925:.	0.010899655	.	chr3:127309425-127309925:.	chr3	128902810	128902811	-	-0.006083024448314283	0.027882334448314283	CNBP	ENSG00000169714	NA	NA	False	0.4511993652698517	0.944728883544859	1.0	1.0	1	TRUE	NA
chr3	127314125	127314645	chr3:127314125-127314645:.	0.010455845	.	chr3:127314125-127314645:.	chr3	128902810	128902811	-	-0.01447554929919667	0.03538723929919667	CNBP	ENSG00000169714	NA	NA	False	0.5323389343403095	0.9457810240423	0.9999999889525629	1.0	1	TRUE	NA
chr3	127316945	127317445	chr3:127316945-127317445:.	-0.010903573	.	chr3:127316945-127317445:.	chr3	128902810	128902811	-	-0.02857364616952744	0.006766500169527439	CNBP	ENSG00000169714	NA	NA	False	0.23915613224561624	0.944728883544859	0.999999999999999	1.0	1	TRUE	NA
chr3	127347585	127348125	chr3:127347585-127348125:.	0.004556209	.	chr3:127347585-127348125:.	chr3	128902810	128902811	-	-0.011134211717923026	0.02024662971792303	CNBP	ENSG00000169714	NA	NA	False	0.8424818455085828	0.9885697716218929	1.0	1.0	1	TRUE	NA
chr3	127348905	127349405	chr3:127348905-127349405:.	0.025546091	.	chr3:127348905-127349405:.	chr3	128902810	128902811	-	-0.002051834588199457	0.05314401658819946	CNBP	ENSG00000169714	NA	NA	False	0.1133054788652311	0.944728883544859	0.999999159724458	1.0	1	TRUE	NA
chr3	127353445	127353945	chr3:127353445-127353945:.	0.014306535	.	chr3:127353445-127353945:.	chr3	128902810	128902811	-	-0.00769170245785473	0.03630477245785473	CNBP	ENSG00000169714	NA	NA	False	0.4634673634634749	0.944728883544859	0.999999992678225	1.0	1	TRUE	NA
chr3	127391465	127392045	chr3:127391465-127392045:.	0.007436865	.	chr3:127391465-127392045:.	chr3	128902810	128902811	-	-0.007799177010010168	0.02267290701001017	CNBP	ENSG00000169714	NA	NA	False	0.6132088637550128	0.961951941396434	1.0	1.0	1	TRUE	NA
chr3	127402465	127403005	chr3:127402465-127403005:.	-0.013658705	.	chr3:127402465-127403005:.	chr3	128902810	128902811	-	-0.04069691768862389	0.013379507688623893	CNBP	ENSG00000169714	NA	NA	False	0.2594942831400064	0.944728883544859	0.9999994830770649	1.0	1	TRUE	NA
chr3	127414885	127415485	chr3:127414885-127415485:.	-0.008426389	.	chr3:127414885-127415485:.	chr3	128902810	128902811	-	-0.029360023558051822	0.012507245558051824	CNBP	ENSG00000169714	NA	NA	False	0.3773241351052865	0.944728883544859	0.9999999999782869	1.0	1	TRUE	NA
chr3	127416205	127416705	chr3:127416205-127416705:.	-0.004190517	.	chr3:127416205-127416705:.	chr3	128902810	128902811	-	-0.02584068817698095	0.01745965417698095	CNBP	ENSG00000169714	NA	NA	False	0.5936166423034164	0.961951941396434	0.999999999884135	1.0	1	TRUE	NA
chr3	127419965	127420485	chr3:127419965-127420485:.	-0.009986067	.	chr3:127419965-127420485:.	chr3	128902810	128902811	-	-0.03577225455293196	0.015800120552931958	CNBP	ENSG00000169714	NA	NA	False	0.2907013065020317	0.944728883544859	0.9999999821343459	1.0	1	TRUE	NA
chr3	127420905	127421445	chr3:127420905-127421445:.	0.018798032	.	chr3:127420905-127421445:.	chr3	128902810	128902811	-	0.004872264660377188	0.032723799339622814	CNBP	ENSG00000169714	NA	NA	False	0.10355156409632278	0.944728883544859	1.0	1.0	1	TRUE	NA
chr3	127425785	127426285	chr3:127425785-127426285:.	0.008271262	.	chr3:127425785-127426285:.	chr3	128902810	128902811	-	-0.012622251389537263	0.02916477538953726	CNBP	ENSG00000169714	NA	NA	False	0.6216696219908926	0.961951941396434	0.999999999995433	1.0	1	TRUE	NA
