chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr10	80697308	80697808	chr10:80697308-80697808:.	0.015191	.	chr10:80697308-80697808:.	chr10	81107219	81107220	+	-0.01633175415342186	0.046713754153421855	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5045117337729337	0.8072187740366941	0.9993839681309581	1.0	1.0	TRUE	NA
chr10	80712777	80713277	chr10:80712777-80713277:.	-0.0136964	.	chr10:80712777-80713277:.	chr10	81107219	81107220	+	-0.051653109304847115	0.02426030930484712	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4661268107243881	0.803724949748673	0.9983163396423531	1.0	1.0	TRUE	NA
chr10	80720172	80720672	chr10:80720172-80720672:.	-0.0105351	.	chr10:80720172-80720672:.	chr10	81107219	81107220	+	-0.06530426836852785	0.04423406836852784	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6691479524686816	0.9229764469147679	0.9457440472370049	0.9999999999965541	1.0	TRUE	NA
chr10	80733229	80733729	chr10:80733229-80733729:.	0.0128215	.	chr10:80733229-80733729:.	chr10	81107219	81107220	+	-0.027236806729621962	0.05287980672962196	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5735764643207629	0.880953244217355	0.9955752155694741	1.0	1.0	TRUE	NA
chr10	80734329	80734829	chr10:80734329-80734829:.	0.0156301	.	chr10:80734329-80734829:.	chr10	81107219	81107220	+	-0.02022160735292277	0.05148180735292277	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4911652470686335	0.803724949748673	0.998025043249843	1.0	1.0	TRUE	NA
chr10	80737566	80738066	chr10:80737566-80738066:.	0.0013339	.	chr10:80737566-80738066:.	chr10	81107219	81107220	+	-0.048705415934508715	0.05137321593450871	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.977207308515548	0.983149333585195	0.981278861274223	0.999999999999997	1.0	TRUE	NA
chr10	80761002	80761502	chr10:80761002-80761502:.	0.0345561	.	chr10:80761002-80761502:.	chr10	81107219	81107220	+	-0.01424550697267181	0.08335770697267181	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.1523835699376178	0.42198527059648	0.9775531318567952	0.9999999999999979	1.0	TRUE	NA
chr10	80767547	80768047	chr10:80767547-80768047:.	0.0272301	.	chr10:80767547-80768047:.	chr10	81107219	81107220	+	-0.016594564044539836	0.07105476404453984	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.2548283784418396	0.6115881082604151	0.987811036596692	1.0	1.0	TRUE	NA
chr10	80779591	80780091	chr10:80779591-80780091:.	0.0165293	.	chr10:80779591-80780091:.	chr10	81107219	81107220	+	-0.027466773577693022	0.060525373577693026	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4774336193239869	0.803724949748673	0.9901755077959921	1.0	1.0	TRUE	NA
chr10	80782264	80782764	chr10:80782264-80782764:.	-0.016055100000000003	.	chr10:80782264-80782764:.	chr10	81107219	81107220	+	-0.05966114412465157	0.027550944124651568	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4647462256627203	0.803724949748673	0.9891235286301141	1.0	1.0	TRUE	NA
