chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	-0.0046688	.	chr19:12313025-12313565:.	chr19	12845589	12845590	-	-0.025491578995027492	0.01615397899502749	C19orf43	ENSG00000123144	NA	NA	False	0.5522154914926739	0.7831595588075341	0.9999999999983621	1	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	-0.00203563	.	chr19:12404485-12405065:.	chr19	12845589	12845590	-	-0.01733359902690599	0.013262339026905988	C19orf43	ENSG00000123144	NA	NA	False	0.7474373394336702	0.8875818405774829	1.0	1	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	0.0041398	.	chr19:12405465-12405965:.	chr19	12845589	12845590	-	-0.012221826140392331	0.02050142614039233	C19orf43	ENSG00000123144	NA	NA	False	0.7341985810165165	0.8875818405774829	1.0	1	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	0.00298803	.	chr19:12441885-12442945:.	chr19	12845589	12845590	-	-0.012632881749413842	0.018608941749413844	C19orf43	ENSG00000123144	NA	NA	False	0.8690568926465735	0.952620055401052	1.0	1	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.0108342	.	chr19:12444345-12444845:.	chr19	12845589	12845590	-	-0.006305019781706648	0.02797341978170665	C19orf43	ENSG00000123144	NA	NA	False	0.29995838545989745	0.675578294320886	1.0	1	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	-0.01110785	.	chr19:12476305-12476805:.	chr19	12845589	12845590	-	-0.02838783381231489	0.0061721338123148905	C19orf43	ENSG00000123144	NA	NA	False	0.1563813063177596	0.666589661775261	1.0	1	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	0.0024719	.	chr19:12511905-12512405:.	chr19	12845589	12845590	-	-0.010679615304885485	0.015623415304885483	C19orf43	ENSG00000123144	NA	NA	False	0.898962997094751	0.956258255462162	1.0	1	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	0.0051115	.	chr19:12522625-12523145:.	chr19	12845589	12845590	-	-0.01960199381986369	0.029824993819863685	C19orf43	ENSG00000123144	NA	NA	False	0.7168587198997335	0.87873004374806	0.999999995505684	1	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	0.02039792	.	chr19:12551685-12552205:.	chr19	12845589	12845590	-	0.0061294756203780255	0.03466636437962198	C19orf43	ENSG00000123144	NA	NA	False	0.05736380187295824	0.38467490667748494	1.0	1	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	0.01636197	.	chr19:12595405-12595925:.	chr19	12845589	12845590	-	0.0006974592683866056	0.03202648073161339	C19orf43	ENSG00000123144	NA	NA	False	0.07773847094685711	0.46643082568114297	1.0	1	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	0.01718818	.	chr19:12605985-12606485:.	chr19	12845589	12845590	-	0.0028306977565720516	0.03154566224342795	C19orf43	ENSG00000123144	NA	NA	False	0.05691089912070139	0.38467490667748494	1.0	1	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	-0.00211175	.	chr19:12632705-12633245:.	chr19	12845589	12845590	-	-0.02319807590106011	0.018974575901060112	C19orf43	ENSG00000123144	NA	NA	False	0.8106751883225576	0.923429658064872	0.99999999896712	1	1	TRUE	NA
chr19	12654525	12655045	chr19:12654525-12655045:.	0.03280306	.	chr19:12654525-12655045:.	chr19	12845589	12845590	-	0.002961807472415968	0.06264431252758404	C19orf43	ENSG00000123144	NA	NA	False	0.03746870718533204	0.38467490667748494	0.9999776348634921	1	1	TRUE	NA
chr19	12655125	12655625	chr19:12655125-12655625:.	-0.01423331	.	chr19:12655125-12655625:.	chr19	12845589	12845590	-	-0.036803706472030316	0.008337086472030316	C19orf43	ENSG00000123144	NA	NA	False	0.18983167604229767	0.666589661775261	0.9999999993040891	1	1	TRUE	NA
chr19	12662165	12662665	chr19:12662165-12662665:.	0.00126479	.	chr19:12662165-12662665:.	chr19	12845589	12845590	-	-0.012069390180157496	0.014598970180157496	C19orf43	ENSG00000123144	NA	NA	False	0.995395993301148	0.9953959933011479	1.0	1	1	TRUE	NA
chr19	12674785	12675285	chr19:12674785-12675285:.	0.00711538	.	chr19:12674785-12675285:.	chr19	12845589	12845590	-	-0.008907251792475982	0.023138011792475984	C19orf43	ENSG00000123144	NA	NA	False	0.5564554759948266	0.7831595588075341	1.0	1	1	TRUE	NA
chr19	12721385	12721885	chr19:12721385-12721885:.	-0.00402544	.	chr19:12721385-12721885:.	chr19	12845589	12845590	-	-0.01792251069531617	0.009871630695316167	C19orf43	ENSG00000123144	NA	NA	False	0.548473362862298	0.7831595588075341	1.0	1	1	TRUE	NA
chr19	12750825	12751345	chr19:12750825-12751345:.	-0.00267036	.	chr19:12750825-12751345:.	chr19	12845589	12845590	-	-0.013796217189894083	0.008455497189894082	C19orf43	ENSG00000123144	NA	NA	False	0.6170053945835754	0.808489827385375	1.0	1	1	TRUE	NA
chr19	12758305	12758885	chr19:12758305-12758885:.	0.00751516	.	chr19:12758305-12758885:.	chr19	12845589	12845590	-	-0.006120804479588817	0.021151124479588817	C19orf43	ENSG00000123144	NA	NA	False	0.4084116461367806	0.749380194102833	1.0	1	1	TRUE	NA
chr19	12777325	12777845	chr19:12777325-12777845:.	0.00733823	.	chr19:12777325-12777845:.	chr19	12845589	12845590	-	-0.005236105147325014	0.019912565147325013	C19orf43	ENSG00000123144	NA	NA	False	0.4297785849026956	0.749380194102833	1.0	1	1	TRUE	NA
chr19	12780145	12780725	chr19:12780145-12780725:.	0.00826844	.	chr19:12780145-12780725:.	chr19	12845589	12845590	-	-0.007476502349978325	0.024013382349978324	C19orf43	ENSG00000123144	NA	NA	False	0.4086085520959962	0.749380194102833	1.0	1	1	TRUE	NA
chr19	12782725	12783305	chr19:12782725-12783305:.	0.01042844	.	chr19:12782725-12783305:.	chr19	12845589	12845590	-	-0.016271953479451436	0.03712883347945144	C19orf43	ENSG00000123144	NA	NA	False	0.5340018188611115	0.7831595588075341	0.9999980027636249	1	1	TRUE	NA
