chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	0.02633971	.	chr19:12313025-12313565:.	chr19	13049413	13049414	+	-0.015049271409286167	0.06772869140928617	CALR	ENSG00000179218	NA	NA	False	0.2405051031375928	0.54975618191855	0.9955406384890941	1.0	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	-0.0142926	.	chr19:12404485-12405065:.	chr19	13049413	13049414	+	-0.056761659714414985	0.02817645971441498	CALR	ENSG00000179218	NA	NA	False	0.4691098066505451	0.690287093832794	0.992253606535396	1.0	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	0.00226808	.	chr19:12405465-12405965:.	chr19	13049413	13049414	+	-0.03714604136363828	0.041682201363638274	CALR	ENSG00000179218	NA	NA	False	0.9819825288018	0.9819825288018	0.9982598374694308	1.0	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	-0.02618429	.	chr19:12441885-12442945:.	chr19	13049413	13049414	+	-0.07095750788793236	0.018588927887932358	CALR	ENSG00000179218	NA	NA	False	0.2343999726324575	0.54975618191855	0.9856997987661321	1.0	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.01026358	.	chr19:12444345-12444845:.	chr19	13049413	13049414	+	-0.028751158113158107	0.04927831811315811	CALR	ENSG00000179218	NA	NA	False	0.6708634448249806	0.8404223374730531	0.997947502376717	1.0	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	0.00548029	.	chr19:12476305-12476805:.	chr19	13049413	13049414	+	-0.030111395614580004	0.04107197561458	CALR	ENSG00000179218	NA	NA	False	0.8470554791684259	0.964505979769101	0.9993821612677399	1.0	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	-0.01474549	.	chr19:12511905-12512405:.	chr19	13049413	13049414	+	-0.0547538594975603	0.0252628794975603	CALR	ENSG00000179218	NA	NA	False	0.429840518220001	0.669982930640516	0.99639387239743	1.0	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	-0.03546711	.	chr19:12522625-12523145:.	chr19	13049413	13049414	+	-0.07678983517110963	0.005855615171109614	CALR	ENSG00000179218	NA	NA	False	0.1083030522313398	0.357550702408119	0.991688301407505	1.0	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	-0.00021362	.	chr19:12551685-12552205:.	chr19	13049413	13049414	+	-0.03851732237023985	0.03809008237023986	CALR	ENSG00000179218	NA	NA	False	0.9247993701064424	0.980332347220021	0.9967713846178141	1.0	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	-0.01824464	.	chr19:12595405-12595925:.	chr19	13049413	13049414	+	-0.050105500172469945	0.013616220172469946	CALR	ENSG00000179218	NA	NA	False	0.2842759682407298	0.559325253667144	0.999836670443632	1.0	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	-0.0155677	.	chr19:12605985-12606485:.	chr19	13049413	13049414	+	-0.05123906779326545	0.020103667793265455	CALR	ENSG00000179218	NA	NA	False	0.3414778314693297	0.631316865630792	0.999496236125779	1.0	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	-0.02410267	.	chr19:12632705-12633245:.	chr19	13049413	13049414	+	-0.07814866915851855	0.02994332915851855	CALR	ENSG00000179218	NA	NA	False	0.3705468599380851	0.631316865630792	0.923266176873593	0.9999999999939059	1	TRUE	NA
