chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	-0.00737766	.	chr19:12313025-12313565:.	chr19	12780465	12780466	-	-0.04275456835720695	0.02799924835720695	WDR83OS	ENSG00000105583	NA	NA	False	0.6007791098084747	0.894237968835823	0.99978422064242	1	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	-0.00811348	.	chr19:12404485-12405065:.	chr19	12780465	12780466	-	-0.0368510078198659	0.0206240478198659	WDR83OS	ENSG00000105583	NA	NA	False	0.5851988912398877	0.894237968835823	0.9999858656011459	1	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	0.0098023	.	chr19:12405465-12405965:.	chr19	12780465	12780466	-	-0.012264596960336174	0.031869196960336174	WDR83OS	ENSG00000105583	NA	NA	False	0.5169561797716677	0.894237968835823	0.999999998057195	1	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	-0.0092997	.	chr19:12441885-12442945:.	chr19	12780465	12780466	-	-0.04479924730387957	0.026199847303879566	WDR83OS	ENSG00000105583	NA	NA	False	0.5492779840082482	0.894237968835823	0.999617549882993	1	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.0118999	.	chr19:12444345-12444845:.	chr19	12780465	12780466	-	-0.013498786918315816	0.037298586918315814	WDR83OS	ENSG00000105583	NA	NA	False	0.4650717668522459	0.894237968835823	0.9999996530620829	1	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	0.01699368	.	chr19:12476305-12476805:.	chr19	12780465	12780466	-	-0.006238845679295321	0.04022620567929532	WDR83OS	ENSG00000105583	NA	NA	False	0.25413323883258204	0.891245719969313	0.9999999856188678	1	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	0.01501133	.	chr19:12511905-12512405:.	chr19	12780465	12780466	-	-0.01510258923455202	0.04512524923455202	WDR83OS	ENSG00000105583	NA	NA	False	0.3722042129604877	0.891245719969313	0.9999815760380341	1	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	-0.02987207	.	chr19:12522625-12523145:.	chr19	12780465	12780466	-	-0.05777557835733762	-0.0019685616426623823	WDR83OS	ENSG00000105583	NA	NA	False	0.07846536046124991	0.596336739505499	0.9999847927816129	1	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	0.00102451	.	chr19:12551685-12552205:.	chr19	12780465	12780466	-	-0.022745797635203614	0.024794817635203612	WDR83OS	ENSG00000105583	NA	NA	False	0.9964352786459892	0.9971130090585991	0.9999998247486099	1	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	-0.01168394	.	chr19:12595405-12595925:.	chr19	12780465	12780466	-	-0.03597446946151605	0.012606589461516049	WDR83OS	ENSG00000105583	NA	NA	False	0.3637001498989345	0.891245719969313	0.999999956936775	1	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	0.00349442	.	chr19:12605985-12606485:.	chr19	12780465	12780466	-	-0.019845051515758244	0.02683389151575824	WDR83OS	ENSG00000105583	NA	NA	False	0.8500692032393861	0.968748183569573	0.9999999912282289	1	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	0.00150356	.	chr19:12632705-12633245:.	chr19	12780465	12780466	-	-0.04217560990270417	0.04518272990270417	WDR83OS	ENSG00000105583	NA	NA	False	0.9807459251876498	0.9971130090585991	0.986038282703813	1	1	TRUE	NA
chr19	12654525	12655045	chr19:12654525-12655045:.	0.02453293	.	chr19:12654525-12655045:.	chr19	12780465	12780466	-	-0.0199464824297437	0.0690123424297437	WDR83OS	ENSG00000105583	NA	NA	False	0.3324874239971224	0.891245719969313	0.978053169669233	1	1	TRUE	NA
chr19	12655125	12655625	chr19:12655125-12655625:.	-0.05480594	.	chr19:12655125-12655625:.	chr19	12780465	12780466	-	-0.09863609121153631	-0.010975788788463683	WDR83OS	ENSG00000105583	NA	NA	False	0.004710158780755177	0.0767083001437272	0.993710672139872	1	1	TRUE	NA
chr19	12662165	12662665	chr19:12662165-12662665:.	0.00943388	.	chr19:12662165-12662665:.	chr19	12780465	12780466	-	-0.013216455761242753	0.032084215761242756	WDR83OS	ENSG00000105583	NA	NA	False	0.515289208936364	0.894237968835823	0.999999997748383	1	1	TRUE	NA
chr19	12674785	12675285	chr19:12674785-12675285:.	0.00892956	.	chr19:12674785-12675285:.	chr19	12780465	12780466	-	-0.019121973295845023	0.03698109329584502	WDR83OS	ENSG00000105583	NA	NA	False	0.6143640996593758	0.894237968835823	0.999994564434609	1	1	TRUE	NA
chr19	12721385	12721885	chr19:12721385-12721885:.	-0.00067433	.	chr19:12721385-12721885:.	chr19	12780465	12780466	-	-0.03253921704143878	0.031190557041438777	WDR83OS	ENSG00000105583	NA	NA	False	0.909933608192119	0.9786078427726559	0.999978618431102	1	1	TRUE	NA
chr19	12750825	12751345	chr19:12750825-12751345:.	0.02609294	.	chr19:12750825-12751345:.	chr19	12780465	12780466	-	0.008464323577810223	0.04372155642218978	WDR83OS	ENSG00000105583	NA	NA	False	0.04680898036867146	0.45427345833363303	0.9999999999999329	1	1	TRUE	NA
chr19	12758305	12758885	chr19:12758305-12758885:.	0.01689973	.	chr19:12758305-12758885:.	chr19	12780465	12780466	-	0.00044726131244488335	0.033352198687555124	WDR83OS	ENSG00000105583	NA	NA	False	0.18627007190286032	0.891245719969313	0.999999999999999	1	1	TRUE	NA
chr19	12777325	12777845	chr19:12777325-12777845:.	0.11337866	.	chr19:12777325-12777845:.	chr19	12780465	12780466	-	0.07292494162051485	0.15383237837948516	WDR83OS	ENSG00000105583	NA	NA	True	2.9243392916524034e-16	1.66687339624187e-14	0.9995913176962241	1	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr19	12780145	12780725	chr19:12780145-12780725:.	0.19334569	.	chr19:12780145-12780725:.	chr19	12780465	12780466	-	0.1456853496824545	0.24100603031754547	WDR83OS	ENSG00000105583	NA	NA	True	1.420759738148831e-35	1.61966610148967e-33	0.9968929083567071	1	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr19	12782725	12783305	chr19:12782725-12783305:.	0.04527495	.	chr19:12782725-12783305:.	chr19	12780465	12780466	-	-0.0002170315212294549	0.09076693152122946	WDR83OS	ENSG00000105583	NA	NA	False	0.0628431165411686	0.551085791207171	0.978333334865766	1	1	TRUE	NA
chr19	12787065	12787585	chr19:12787065-12787585:.	0.01289633	.	chr19:12787065-12787585:.	chr19	12780465	12780466	-	-0.024241502039322987	0.05003416203932298	WDR83OS	ENSG00000105583	NA	NA	False	0.4143043776803278	0.891245719969313	0.9997733819538009	1	1	TRUE	NA
chr19	12791925	12792425	chr19:12791925-12792425:.	0.05451471	.	chr19:12791925-12792425:.	chr19	12780465	12780466	-	0.02666716034330162	0.08236225965669838	WDR83OS	ENSG00000105583	NA	NA	True	0.00011983111857071516	0.0027321495034123102	0.9999988408881709	1	1	TRUE	NA
chr19	12792485	12792985	chr19:12792485-12792985:.	0.06648965	.	chr19:12792485-12792985:.	chr19	12780465	12780466	-	0.038529865288047534	0.09444943471195247	WDR83OS	ENSG00000105583	NA	NA	True	6.067739673984567e-05	0.0017293058070856	0.999993091236932	1	1	TRUE	NA
chr19	12807205	12807765	chr19:12807205-12807765:.	0.01823789	.	chr19:12807205-12807765:.	chr19	12780465	12780466	-	-0.014269555626510708	0.05074533562651071	WDR83OS	ENSG00000105583	NA	NA	False	0.2962741950906284	0.891245719969313	0.9999061494534741	1	1	TRUE	NA
chr19	12813805	12814305	chr19:12813805-12814305:.	-0.01034352	.	chr19:12813805-12814305:.	chr19	12780465	12780466	-	-0.03757316271141156	0.016886122711411565	WDR83OS	ENSG00000105583	NA	NA	False	0.41460365655851	0.891245719969313	0.9999993081627092	1	1	TRUE	NA
chr19	12827685	12828205	chr19:12827685-12828205:.	0.00333968	.	chr19:12827685-12828205:.	chr19	12780465	12780466	-	-0.02994213666575724	0.03662149666575724	WDR83OS	ENSG00000105583	NA	NA	False	0.8997883453989868	0.9786078427726559	0.9995910813722589	1	1	TRUE	NA
chr19	12832705	12833225	chr19:12832705-12833225:.	-0.01233904	.	chr19:12832705-12833225:.	chr19	12780465	12780466	-	-0.035628527610872	0.010950447610871999	WDR83OS	ENSG00000105583	NA	NA	False	0.31160718945666394	0.891245719969313	0.9999999940400949	1	1	TRUE	NA
chr19	12833305	12833805	chr19:12833305-12833805:.	-0.00567997	.	chr19:12833305-12833805:.	chr19	12780465	12780466	-	-0.03927648668149467	0.027916546681494674	WDR83OS	ENSG00000105583	NA	NA	False	0.6505611945635621	0.9044387339054399	0.9999430063219351	1	1	TRUE	NA
chr19	12834545	12835045	chr19:12834545-12835045:.	0.00671568	.	chr19:12834545-12835045:.	chr19	12780465	12780466	-	-0.021974940380180552	0.035406300380180555	WDR83OS	ENSG00000105583	NA	NA	False	0.6841248208151973	0.9067982035511759	0.999997322820075	1	1	TRUE	NA
chr19	12845325	12845825	chr19:12845325-12845825:.	0.02239488	.	chr19:12845325-12845825:.	chr19	12780465	12780466	-	0.0010445331501757263	0.04374522684982427	WDR83OS	ENSG00000105583	NA	NA	False	0.13140431094722058	0.862388387042601	0.9999999987431291	1	1	TRUE	NA
chr19	12847665	12848165	chr19:12847665-12848165:.	0.02305172	.	chr19:12847665-12848165:.	chr19	12780465	12780466	-	-0.004259846188193923	0.050363286188193926	WDR83OS	ENSG00000105583	NA	NA	False	0.1517165520374047	0.864784346613207	0.999997618000972	1	1	TRUE	NA
chr19	12868285	12868805	chr19:12868285-12868805:.	-0.03208417	.	chr19:12868285-12868805:.	chr19	12780465	12780466	-	-0.05778836920366251	-0.006379970796337498	WDR83OS	ENSG00000105583	NA	NA	False	0.009127670287079693	0.130069301590886	0.9999999375137042	1	1	TRUE	NA
