element_chr	element_start	element_end	element_label	measuredGeneSymbol	element_effect	element_result	element_pValue	element_pValueAdjusted
chr1	1411528	1411761	Peak_40824|chr1:1411528-1411761	Peak_40824	-2.9781	TRUE	2.82e-07	1.5e-05
chr1	3675381	3675925	Peak_28003|chr1:3675381-3675925	Peak_28003	-0.45152	TRUE	0.0016242	0.032789
chr1	6475373	6475648	Peak_37501|chr1:6475373-6475648	Peak_37501	-0.31277	TRUE	0.0033128	0.058119
chr1	6859316	6861375	Peak_13656|chr1:6859316-6861375	Peak_13656	-1.9297	TRUE	0.0046445	0.118937
chr1	8049753	8050628	Peak_28495|chr1:8049753-8050628	Peak_28495	-3.1116	TRUE	7.7985e-05	0.002372
chr1	8195814	8199790	Peak_1782|chr1:8195814-8199790	Peak_1782	-1.6735	TRUE	0.0004787	0.020708
chr1	10230186	10231257	Peak_20059|chr1:10230186-10231257	Peak_20059	-2.3634	TRUE	5.0395e-05	0.001635
chr1	11960228	11960471	Peak_50204|chr1:11960228-11960471	Peak_50204	-0.61838	TRUE	0.0025358	0.076516
chr1	21622862	21623273	Peak_28693|chr1:21622862-21623273	Peak_28693	-0.99197	TRUE	0.0058634	0.143347
chr1	23562672	23563238	Peak_27004|chr1:23562672-23563238	Peak_27004	-2.4657	TRUE	2.82e-07	1.5e-05
chr1	23593012	23593298	Peak_29218|chr1:23593012-23593298	Peak_29218	-2.2544	TRUE	0.00018384	0.005083
chr1	27332123	27332451	Peak_36530|chr1:27332123-27332451	Peak_36530	-0.44931	TRUE	0.011375	0.157368
chr1	28574814	28575208	Peak_33152|chr1:28574814-28575208	Peak_33152	-2.925	TRUE	9.29e-06	0.000352
chr1	31928701	31929206	Peak_28723|chr1:31928701-31929206	Peak_28723	-1.9981	TRUE	5.3773e-05	0.001729
chr1	31931114	31933396	Peak_19310|chr1:31931114-31933396	Peak_19310	-0.59993	TRUE	0.0045234	0.116878
chr1	31955953	31956619	Peak_16759|chr1:31955953-31956619	Peak_16759	-3.4856	TRUE	2.82e-07	1.5e-05
chr1	32350763	32351469	Peak_18071|chr1:32350763-32351469	Peak_18071	-0.43503	TRUE	0.0028894	0.053034
chr1	32954205	32954537	Peak_36109|chr1:32954205-32954537	Peak_36109	-2.6069	TRUE	0.0038275	0.065215
chr1	36302089	36302367	Peak_35565|chr1:36302089-36302367	Peak_35565	-2.7144	TRUE	2.82e-07	1.5e-05
chr1	36343182	36343572	Peak_33728|chr1:36343182-36343572	Peak_33728	-0.89573	TRUE	5.7151e-05	0.001824
chr1	37998147	37998709	Peak_38162|chr1:37998147-37998709	Peak_38162	-0.94931	TRUE	0.0036291	0.100559
chr1	43476439	43476828	Peak_38822|chr1:43476439-43476828	Peak_38822	-0.53665	TRUE	0.00058644	0.013694
chr1	44818325	44818679	Peak_34749|chr1:44818325-44818679	Peak_34749	-1.7853	TRUE	3.4066e-05	0.001145
chr1	45411153	45411929	Peak_23723|chr1:45411153-45411929	Peak_23723	-2.6553	TRUE	2.53e-06	0.000115
chr1	51942164	51942545	Peak_28222|chr1:51942164-51942545	Peak_28222	-2.0112	TRUE	0.00084038	0.018757
chr1	75765551	75766586	Peak_14854|chr1:75765551-75766586	Peak_14854	-2.5226	TRUE	3.66e-06	0.00016
chr1	84150380	84150848	Peak_22103|chr1:84150380-84150848	Peak_22103	-1.923	TRUE	0.00069792	0.015959
chr1	85289758	85290147	Peak_22366|chr1:85289758-85290147	Peak_22366	-1.1599	TRUE	0.0012829	0.044644
chr1	94311724	94312330	Peak_26145|chr1:94311724-94312330	Peak_26145	-2.2592	TRUE	0.00054364	0.012953
chr1	94321325	94330889	Peak_1396|chr1:94321325-94330889	Peak_1396	-0.57913	TRUE	0.00027337	0.007251
chr1	94648218	94649417	Peak_17034|chr1:94648218-94649417	Peak_17034	-0.54119	TRUE	0.0095342	0.13653
chr1	145425682	145426120	Peak_16406|chr1:145425682-145426120	Peak_16406	-2.7334	TRUE	1.97e-06	9.3e-05
chr1	150621910	150622472	Peak_33953|chr1:150621910-150622472	Peak_33953	-3.6764	TRUE	2.82e-07	1.5e-05
chr1	156026133	156026458	Peak_33616|chr1:156026133-156026458	Peak_33616	-3.7001	TRUE	2.82e-07	1.5e-05
chr1	156445738	156445976	Peak_41381|chr1:156445738-156445976	Peak_41381	-2.2406	TRUE	3.66e-06	0.00016
chr1	156646051	156646330	Peak_45067|chr1:156646051-156646330	Peak_45067	-2.0768	TRUE	1.97e-06	9.3e-05
chr1	161104553	161105053	Peak_32434|chr1:161104553-161105053	Peak_32434	-2.451	TRUE	0.0012216	0.026037
chr1	161539816	161540237	Peak_25006|chr1:161539816-161540237	Peak_25006	-2.7338	TRUE	0.0032925	0.057906
chr1	162605274	162605829	Peak_26625|chr1:162605274-162605829	Peak_26625	-2.3042	TRUE	4.3075e-05	0.001413
chr1	172858852	172860297	Peak_15230|chr1:172858852-172860297	Peak_15230	-1.5587	TRUE	1.2106e-05	0.000442
chr1	172869809	172873346	Peak_8555|chr1:172869809-172873346	Peak_8555	-0.88721	TRUE	0.00012922	0.003713
chr1	200659284	200660057	Peak_22025|chr1:200659284-200660057	Peak_22025	-2.5169	TRUE	5.4336e-05	0.00174
