chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr3	127292685	127293205	chr3:127292685-127293205:.	-0.014753836000000001	.	chr3:127292685-127293205:.	chr3	128369719	128369720	-	-0.04200092054457472	0.012493248544574719	RPN1	ENSG00000163902	NA	NA	False	0.36485577295948296	0.963918128150729	0.9999959944874192	1.0	1	TRUE	NA
chr3	127293725	127294245	chr3:127293725-127294245:.	0.005548848	.	chr3:127293725-127294245:.	chr3	128369719	128369720	-	-0.024030147636100875	0.03512784363610088	RPN1	ENSG00000163902	NA	NA	False	0.6996577428324477	0.963918128150729	0.9999355554115279	1.0	1	TRUE	NA
chr3	127303265	127303845	chr3:127303265-127303845:.	-0.034278315	.	chr3:127303265-127303845:.	chr3	128369719	128369720	-	-0.07119488047106964	0.0026382504710696503	RPN1	ENSG00000163902	NA	NA	False	0.08831895368718855	0.87141367638026	0.997765372968396	1.0	1	TRUE	NA
chr3	127309425	127309925	chr3:127309425-127309925:.	0.017084645	.	chr3:127309425-127309925:.	chr3	128369719	128369720	-	-0.015218845154272399	0.0493881351542724	RPN1	ENSG00000163902	NA	NA	False	0.2672687678187041	0.963918128150729	0.9998640979662881	1.0	1	TRUE	NA
chr3	127314125	127314645	chr3:127314125-127314645:.	-0.005649938	.	chr3:127314125-127314645:.	chr3	128369719	128369720	-	-0.043483555854280445	0.032183679854280445	RPN1	ENSG00000163902	NA	NA	False	0.8032751286967752	0.963918128150729	0.998203885746631	1.0	1	TRUE	NA
chr3	127316945	127317445	chr3:127316945-127317445:.	-0.045839282	.	chr3:127316945-127317445:.	chr3	128369719	128369720	-	-0.0725861626868699	-0.019092401313130104	RPN1	ENSG00000163902	NA	NA	False	0.010862803340154995	0.20096186179286699	0.999982915169782	1.0	1	TRUE	NA
chr3	127347585	127348125	chr3:127347585-127348125:.	-0.011744866000000001	.	chr3:127347585-127348125:.	chr3	128369719	128369720	-	-0.03805265372257213	0.014562921722572132	RPN1	ENSG00000163902	NA	NA	False	0.4693741063961949	0.963918128150729	0.99999846662544	1.0	1	TRUE	NA
chr3	127348905	127349405	chr3:127348905-127349405:.	0.010269242	.	chr3:127348905-127349405:.	chr3	128369719	128369720	-	-0.031076300183471517	0.05161478418347151	RPN1	ENSG00000163902	NA	NA	False	0.6081158671007271	0.963918128150729	0.9881845588110308	1.0	1	TRUE	NA
chr3	127353445	127353945	chr3:127353445-127353945:.	-0.014639023000000001	.	chr3:127353445-127353945:.	chr3	128369719	128369720	-	-0.058147657802606036	0.028869611802606034	RPN1	ENSG00000163902	NA	NA	False	0.5759715575334222	0.963918128150729	0.9739917385260959	1.0	1	TRUE	NA
chr3	127391465	127392045	chr3:127391465-127392045:.	0.006660686	.	chr3:127391465-127392045:.	chr3	128369719	128369720	-	-0.016706066239294323	0.03002743823929432	RPN1	ENSG00000163902	NA	NA	False	0.5917356611777793	0.963918128150729	0.9999999180689259	1.0	1	TRUE	NA
chr3	127402465	127403005	chr3:127402465-127403005:.	-0.008904199	.	chr3:127402465-127403005:.	chr3	128369719	128369720	-	-0.051579849443715325	0.03377145144371532	RPN1	ENSG00000163902	NA	NA	False	0.7144579701800898	0.963918128150729	0.988630829095557	1.0	1	TRUE	NA
