chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	0.00368809	.	chr19:12313025-12313565:.	chr19	12792701	12792702	-	-0.017055954282077224	0.024432134282077227	DHPS	ENSG00000095059	NA	NA	False	0.7189196502717147	0.9370188700170659	0.9999999999997901	1	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	-0.00301803	.	chr19:12404485-12405065:.	chr19	12792701	12792702	-	-0.022881188219376358	0.016845128219376355	DHPS	ENSG00000095059	NA	NA	False	0.7532789624512268	0.9453597978282728	0.9999999999999509	1	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	-0.00734652	.	chr19:12405465-12405965:.	chr19	12792701	12792702	-	-0.025225589693603237	0.01053254969360324	DHPS	ENSG00000095059	NA	NA	False	0.3717477833613938	0.7700489798200301	1.0	1	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	-0.00096386	.	chr19:12441885-12442945:.	chr19	12792701	12792702	-	-0.016673715997469613	0.014745995997469612	DHPS	ENSG00000095059	NA	NA	False	0.9138685896770208	0.983625372383263	1.0	1	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.0001685	.	chr19:12444345-12444845:.	chr19	12792701	12792702	-	-0.018228281864025055	0.018565281864025052	DHPS	ENSG00000095059	NA	NA	False	0.9976207300276526	0.997620730027653	1.0	1	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	0.00367295	.	chr19:12476305-12476805:.	chr19	12792701	12792702	-	-0.011236866109311988	0.018582766109311987	DHPS	ENSG00000095059	NA	NA	False	0.6861939785265181	0.917358193868687	1.0	1	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	-0.01093785	.	chr19:12511905-12512405:.	chr19	12792701	12792702	-	-0.02441619872853873	0.0025404987285387298	DHPS	ENSG00000095059	NA	NA	False	0.25682013112485225	0.6620252268996191	1.0	1	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	-0.01380648	.	chr19:12522625-12523145:.	chr19	12792701	12792702	-	-0.037213110334109234	0.009600150334109232	DHPS	ENSG00000095059	NA	NA	False	0.19469534864183904	0.6273516789570369	0.9999999998046251	1	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	0.00199517	.	chr19:12551685-12552205:.	chr19	12792701	12792702	-	-0.010866334261053295	0.014856674261053294	DHPS	ENSG00000095059	NA	NA	False	0.8556555249616813	0.9824006079543249	1.0	1	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	-0.00039105	.	chr19:12595405-12595925:.	chr19	12792701	12792702	-	-0.01704174528611271	0.01625964528611271	DHPS	ENSG00000095059	NA	NA	False	0.9433388700211502	0.983625372383263	1.0	1	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	-0.00462814	.	chr19:12605985-12606485:.	chr19	12792701	12792702	-	-0.01912881411725708	0.009872534117257078	DHPS	ENSG00000095059	NA	NA	False	0.5655129834269562	0.8940462807162378	1.0	1	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	0.00651898	.	chr19:12632705-12633245:.	chr19	12792701	12792702	-	-0.012078801536532058	0.02511676153653206	DHPS	ENSG00000095059	NA	NA	False	0.6377566147073254	0.913063122284562	0.999999999999692	1	1	TRUE	NA
chr19	12654525	12655045	chr19:12654525-12655045:.	0.02525305	.	chr19:12654525-12655045:.	chr19	12792701	12792702	-	0.0006144989168028712	0.049891601083197124	DHPS	ENSG00000095059	NA	NA	False	0.09701891984027124	0.556792636824477	0.9999999065873391	1	1	TRUE	NA
chr19	12655125	12655625	chr19:12655125-12655625:.	-0.02059811	.	chr19:12655125-12655625:.	chr19	12792701	12792702	-	-0.0416388029323955	0.000442582932395498	DHPS	ENSG00000095059	NA	NA	False	0.07913379956216789	0.5210069433309	0.9999999999910218	1	1	TRUE	NA
chr19	12662165	12662665	chr19:12662165-12662665:.	-0.01231768	.	chr19:12662165-12662665:.	chr19	12792701	12792702	-	-0.02524006825489048	0.0006047082548904809	DHPS	ENSG00000095059	NA	NA	False	0.12312894911135105	0.556792636824477	1.0	1	1	TRUE	NA
chr19	12674785	12675285	chr19:12674785-12675285:.	0.00242458	.	chr19:12674785-12675285:.	chr19	12792701	12792702	-	-0.016971214099913586	0.021820374099913584	DHPS	ENSG00000095059	NA	NA	False	0.8243932647692701	0.97581243584934	0.99999999999999	1	1	TRUE	NA
chr19	12721385	12721885	chr19:12721385-12721885:.	-0.0021821	.	chr19:12721385-12721885:.	chr19	12792701	12792702	-	-0.022100407204849702	0.017736207204849704	DHPS	ENSG00000095059	NA	NA	False	0.7893317573473049	0.9638156194977621	0.9999999999999929	1	1	TRUE	NA
chr19	12750825	12751345	chr19:12750825-12751345:.	-0.00180857	.	chr19:12750825-12751345:.	chr19	12792701	12792702	-	-0.014272202705116846	0.010655062705116845	DHPS	ENSG00000095059	NA	NA	False	0.8023809991997389	0.9695437073663509	1.0	1	1	TRUE	NA
chr19	12758305	12758885	chr19:12758305-12758885:.	-0.00872153	.	chr19:12758305-12758885:.	chr19	12792701	12792702	-	-0.020976273651389352	0.0035332136513893525	DHPS	ENSG00000095059	NA	NA	False	0.244244704389917	0.6620252268996191	1.0	1	1	TRUE	NA
chr19	12777325	12777845	chr19:12777325-12777845:.	0.01421558	.	chr19:12777325-12777845:.	chr19	12792701	12792702	-	0.002516626473288418	0.02591453352671158	DHPS	ENSG00000095059	NA	NA	False	0.06779152742771992	0.5210069433309	1.0	1	1	TRUE	NA
chr19	12780145	12780725	chr19:12780145-12780725:.	0.02260262	.	chr19:12780145-12780725:.	chr19	12792701	12792702	-	0.006403713084411976	0.038801526915588025	DHPS	ENSG00000095059	NA	NA	False	0.007223196622290195	0.10473635102320801	1.0	1	1	TRUE	NA
chr19	12782725	12783305	chr19:12782725-12783305:.	0.05960294	.	chr19:12782725-12783305:.	chr19	12792701	12792702	-	0.02930404347782712	0.08990183652217287	DHPS	ENSG00000095059	NA	NA	True	6.750144140572503e-05	0.00156603344061282	0.9999913142722979	1	1	TRUE	NA
chr19	12787065	12787585	chr19:12787065-12787585:.	0.03780427	.	chr19:12787065-12787585:.	chr19	12792701	12792702	-	0.017647466936029532	0.05796107306397047	DHPS	ENSG00000095059	NA	NA	True	1.3239962585824222e-05	0.00038395891498890203	0.9999999999999921	1	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr19	12791925	12792425	chr19:12791925-12792425:.	0.197891	.	chr19:12791925-12792425:.	chr19	12792701	12792702	-	0.16784959843452446	0.22793240156547556	DHPS	ENSG00000095059	NA	NA	True	1.056937784219902e-84	1.2260478296950898e-82	0.999999859260588	1	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr19	12792485	12792985	chr19:12792485-12792985:.	0.22151394	.	chr19:12792485-12792985:.	chr19	12792701	12792702	-	0.18411768197115125	0.25891019802884874	DHPS	ENSG00000095059	NA	NA	True	1.916410830009944e-80	1.1115182814057697e-78	0.9999654916314571	1	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr19	12807205	12807765	chr19:12807205-12807765:.	0.01582817	.	chr19:12807205-12807765:.	chr19	12792701	12792702	-	-0.004358366668061511	0.03601470666806151	DHPS	ENSG00000095059	NA	NA	False	0.12688971605587812	0.556792636824477	0.9999999999998829	1	1	TRUE	NA
chr19	12813805	12814305	chr19:12813805-12814305:.	-0.0087426	.	chr19:12813805-12814305:.	chr19	12792701	12792702	-	-0.02202995219639775	0.00454475219639775	DHPS	ENSG00000095059	NA	NA	False	0.2990089455159379	0.7001168193711379	1.0	1	1	TRUE	NA
chr19	12827685	12828205	chr19:12827685-12828205:.	-0.0091373	.	chr19:12827685-12828205:.	chr19	12792701	12792702	-	-0.030730855341510432	0.012456255341510432	DHPS	ENSG00000095059	NA	NA	False	0.436491122359016	0.8230525922253041	0.9999999999662041	1	1	TRUE	NA
chr19	12832705	12833225	chr19:12832705-12833225:.	-0.01138223	.	chr19:12832705-12833225:.	chr19	12792701	12792702	-	-0.025318933801177633	0.0025544738011776345	DHPS	ENSG00000095059	NA	NA	False	0.14929638479500765	0.566523227184205	1.0	1	1	TRUE	NA
chr19	12833305	12833805	chr19:12833305-12833805:.	-0.00892022	.	chr19:12833305-12833805:.	chr19	12792701	12792702	-	-0.025640755594490517	0.007800315594490518	DHPS	ENSG00000095059	NA	NA	False	0.3017744911082489	0.7001168193711379	1.0	1	1	TRUE	NA
chr19	12834545	12835045	chr19:12834545-12835045:.	0.00292967	.	chr19:12834545-12835045:.	chr19	12792701	12792702	-	-0.014928739488763504	0.020788079488763503	DHPS	ENSG00000095059	NA	NA	False	0.757917768948529	0.9453597978282728	1.0	1	1	TRUE	NA
chr19	12845325	12845825	chr19:12845325-12845825:.	0.02559246	.	chr19:12845325-12845825:.	chr19	12792701	12792702	-	0.012159572096950708	0.03902534790304929	DHPS	ENSG00000095059	NA	NA	False	0.0028857093514003873	0.0557903807937408	1.0	1	1	TRUE	NA
chr19	12847665	12848165	chr19:12847665-12848165:.	0.01441807	.	chr19:12847665-12848165:.	chr19	12792701	12792702	-	-0.003766071947714599	0.0326022119477146	DHPS	ENSG00000095059	NA	NA	False	0.12834417525470124	0.556792636824477	1.0	1	1	TRUE	NA
chr19	12868285	12868805	chr19:12868285-12868805:.	-0.01367157	.	chr19:12868285-12868805:.	chr19	12792701	12792702	-	-0.02998006575908725	0.002636925759087255	DHPS	ENSG00000095059	NA	NA	False	0.07379127341053465	0.5210069433309	1.0	1	1	TRUE	NA
chr19	12871305	12871845	chr19:12871305-12871845:.	-0.00601612	.	chr19:12871305-12871845:.	chr19	12792701	12792702	-	-0.030929479310526736	0.018897239310526736	DHPS	ENSG00000095059	NA	NA	False	0.5934617553030199	0.8940462807162378	0.999999995468779	1	1	TRUE	NA
chr19	12876785	12877345	chr19:12876785-12877345:.	-0.00110734	.	chr19:12876785-12877345:.	chr19	12792701	12792702	-	-0.01550533975326152	0.01329065975326152	DHPS	ENSG00000095059	NA	NA	False	0.8658492392352021	0.9824006079543249	1.0	1	1	TRUE	NA
chr19	12886305	12886825	chr19:12886305-12886825:.	0.01668178	.	chr19:12886305-12886825:.	chr19	12792701	12792702	-	-0.0008067395897418984	0.034170299589741895	DHPS	ENSG00000095059	NA	NA	False	0.07729417987176702	0.5210069433309	1.0	1	1	TRUE	NA
chr19	12888325	12888845	chr19:12888325-12888845:.	0.0196249	.	chr19:12888325-12888845:.	chr19	12792701	12792702	-	0.003079044538403363	0.036170755461596635	DHPS	ENSG00000095059	NA	NA	False	0.02685891690211384	0.31156343606452	1.0	1	1	TRUE	NA
chr19	12889945	12890545	chr19:12889945-12890545:.	0.01286159	.	chr19:12889945-12890545:.	chr19	12792701	12792702	-	-0.0012451542117640265	0.026968334211764027	DHPS	ENSG00000095059	NA	NA	False	0.1500308704172391	0.566523227184205	1.0	1	1	TRUE	NA
chr19	12893105	12893985	chr19:12893105-12893985:.	0.00267021	.	chr19:12893105-12893985:.	chr19	12792701	12792702	-	-0.0073102392184487995	0.012650659218448799	DHPS	ENSG00000095059	NA	NA	False	0.6912317248046385	0.917358193868687	1.0	1	1	TRUE	NA
chr19	12895265	12895785	chr19:12895265-12895785:.	0.02497042	.	chr19:12895265-12895785:.	chr19	12792701	12792702	-	0.00615115279349519	0.04378968720650481	DHPS	ENSG00000095059	NA	NA	False	0.043653189277706256	0.460342723292175	0.9999999999999191	1	1	TRUE	NA
chr19	12900645	12901165	chr19:12900645-12901165:.	0.00626152	.	chr19:12900645-12901165:.	chr19	12792701	12792702	-	-0.006975895830247639	0.019498935830247636	DHPS	ENSG00000095059	NA	NA	False	0.3844295499449226	0.7818296016213021	1.0	1	1	TRUE	NA
chr19	12902005	12902545	chr19:12902005-12902545:.	0.01122404	.	chr19:12902005-12902545:.	chr19	12792701	12792702	-	-0.002539905683658396	0.024987985683658395	DHPS	ENSG00000095059	NA	NA	False	0.15338918955915856	0.566523227184205	1.0	1	1	TRUE	NA
chr19	12904165	12904665	chr19:12904165-12904665:.	0.00324214	.	chr19:12904165-12904665:.	chr19	12792701	12792702	-	-0.009226143465685219	0.01571042346568522	DHPS	ENSG00000095059	NA	NA	False	0.6832252760661843	0.917358193868687	1.0	1	1	TRUE	NA
chr19	12906845	12907745	chr19:12906845-12907745:.	-0.00651525	.	chr19:12906845-12907745:.	chr19	12792701	12792702	-	-0.019574946588431334	0.006544446588431332	DHPS	ENSG00000095059	NA	NA	False	0.357017849347522	0.752983100442046	1.0	1	1	TRUE	NA
chr19	12912425	12912945	chr19:12912425-12912945:.	0.00658036	.	chr19:12912425-12912945:.	chr19	12792701	12792702	-	-0.010342481290421552	0.023503201290421553	DHPS	ENSG00000095059	NA	NA	False	0.4178091224811329	0.821455223861211	1.0	1	1	TRUE	NA
chr19	12916645	12917605	chr19:12916645-12917605:.	0.00377596	.	chr19:12916645-12917605:.	chr19	12792701	12792702	-	-0.00802551718343797	0.015577437183437971	DHPS	ENSG00000095059	NA	NA	False	0.5872841462509546	0.8940462807162378	1.0	1	1	TRUE	NA
chr19	12935945	12936745	chr19:12935945-12936745:.	0.00417781	.	chr19:12935945-12936745:.	chr19	12792701	12792702	-	-0.007253015605109288	0.015608635605109288	DHPS	ENSG00000095059	NA	NA	False	0.5717783272556018	0.8940462807162378	1.0	1	1	TRUE	NA
chr19	12939125	12939705	chr19:12939125-12939705:.	-0.00039658	.	chr19:12939125-12939705:.	chr19	12792701	12792702	-	-0.01812349833654375	0.01733033833654375	DHPS	ENSG00000095059	NA	NA	False	0.9497072560941852	0.983625372383263	1.0	1	1	TRUE	NA
chr19	12941285	12941805	chr19:12941285-12941805:.	0.00028584	.	chr19:12941285-12941805:.	chr19	12792701	12792702	-	-0.012132833210336038	0.012704513210336039	DHPS	ENSG00000095059	NA	NA	False	0.9919318836800292	0.997620730027653	1.0	1	1	TRUE	NA
chr19	12943165	12943725	chr19:12943165-12943725:.	-0.00475607	.	chr19:12943165-12943725:.	chr19	12792701	12792702	-	-0.01887533313222709	0.009363193132227093	DHPS	ENSG00000095059	NA	NA	False	0.5277716000331566	0.8940462807162378	1.0	1	1	TRUE	NA
chr19	12946045	12946545	chr19:12946045-12946545:.	-0.00061624	.	chr19:12946045-12946545:.	chr19	12792701	12792702	-	-0.015683438328650042	0.014450958328650043	DHPS	ENSG00000095059	NA	NA	False	0.9226652567407848	0.983625372383263	1.0	1	1	TRUE	NA
chr19	12947025	12947525	chr19:12947025-12947525:.	0.00190359	.	chr19:12947025-12947525:.	chr19	12792701	12792702	-	-0.013494178372764341	0.01730135837276434	DHPS	ENSG00000095059	NA	NA	False	0.8421174690116666	0.9824006079543249	1.0	1	1	TRUE	NA
