chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr12	54089985	54090485	chr12:54089985-54090485:.	0.012189141	.	chr12:54089985-54090485:.	chr12	54813050	54813051	-	-0.029007770186790266	0.05338605218679027	ITGA5	ENSG00000161638	NA	NA	False	0.7928798361613163	0.9858116332372621	0.902335024992556	0.999999999999999	1.0	TRUE	NA
chr12	54095465	54096005	chr12:54095465-54096005:.	-0.004127052	.	chr12:54095465-54096005:.	chr12	54813050	54813051	-	-0.03769396541402733	0.02943986141402733	ITGA5	ENSG00000161638	NA	NA	False	0.7974567737548708	0.9858116332372621	0.987380790916509	1.0	1.0	TRUE	NA
chr12	54113365	54113885	chr12:54113365-54113885:.	0.000447445	.	chr12:54113365-54113885:.	chr12	54813050	54813051	-	-0.04541231802089003	0.04630720802089003	ITGA5	ENSG00000161638	NA	NA	False	0.9421985807746606	0.9858116332372621	0.8371167461531991	0.9999999999992901	1.0	TRUE	NA
chr12	54120005	54120525	chr12:54120005-54120525:.	0.051515505999999996	.	chr12:54120005-54120525:.	chr12	54813050	54813051	-	-0.00820217290065766	0.11123318490065764	ITGA5	ENSG00000161638	NA	NA	False	0.2184631075153309	0.9858116332372621	0.728657857791016	0.9999999640954972	1.0	TRUE	NA
chr12	54121145	54121645	chr12:54121145-54121645:.	0.020332824	.	chr12:54121145-54121645:.	chr12	54813050	54813051	-	-0.01397579835897099	0.05464144635897099	ITGA5	ENSG00000161638	NA	NA	False	0.5639519985777061	0.9858116332372621	0.978569603826117	1.0	1.0	TRUE	NA
chr12	54137285	54137825	chr12:54137285-54137825:.	0.008392397	.	chr12:54137285-54137825:.	chr12	54813050	54813051	-	-0.022927155816212758	0.03971194981621276	ITGA5	ENSG00000161638	NA	NA	False	0.8574333127813719	0.9858116332372621	0.987455380328005	1.0	1.0	TRUE	NA
chr12	54140345	54140845	chr12:54140345-54140845:.	0.039271217000000004	.	chr12:54140345-54140845:.	chr12	54813050	54813051	-	0.011933303990165445	0.06660913000983457	ITGA5	ENSG00000161638	NA	NA	False	0.2238100265330584	0.9858116332372621	0.992845296614235	1.0	1.0	TRUE	NA
chr12	54145285	54145785	chr12:54145285-54145785:.	0.015028358	.	chr12:54145285-54145785:.	chr12	54813050	54813051	-	-0.01701867987939505	0.04707539587939505	ITGA5	ENSG00000161638	NA	NA	False	0.6670042775899387	0.9858116332372621	0.991563440697924	1.0	1.0	TRUE	NA
chr12	54150865	54151385	chr12:54150865-54151385:.	0.009248649	.	chr12:54150865-54151385:.	chr12	54813050	54813051	-	-0.016998300969160253	0.035495598969160255	ITGA5	ENSG00000161638	NA	NA	False	0.8364647306021473	0.9858116332372621	0.9942831145506892	1.0	1.0	TRUE	NA
chr12	54161385	54161905	chr12:54161385-54161905:.	-0.013793411	.	chr12:54161385-54161905:.	chr12	54813050	54813051	-	-0.053821275788875626	0.02623445378887563	ITGA5	ENSG00000161638	NA	NA	False	0.7195648667414002	0.9858116332372621	0.556145612644039	0.999999999998952	1.0	TRUE	NA
