chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	0.00338604	.	chr19:12313025-12313565:.	chr19	12912724	12912725	-	-0.015813467923814984	0.022585547923814984	PRDX2	ENSG00000167815	NA	NA	False	0.7133772138435991	0.880337838360186	1.0	1.0	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	-0.01194801	.	chr19:12404485-12405065:.	chr19	12912724	12912725	-	-0.03004076567959376	0.006144745679593758	PRDX2	ENSG00000167815	NA	NA	False	0.18313274512444894	0.574145903633407	1.0	1.0	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	0.0044696	.	chr19:12405465-12405965:.	chr19	12912724	12912725	-	-0.008241565028100552	0.017180765028100554	PRDX2	ENSG00000167815	NA	NA	False	0.5578001979379839	0.7959482414360508	1.0	1.0	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	-0.00335858	.	chr19:12441885-12442945:.	chr19	12912724	12912725	-	-0.02165824489424876	0.014941084894248759	PRDX2	ENSG00000167815	NA	NA	False	0.7087219060654737	0.880337838360186	1.0	1.0	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.00961304	.	chr19:12444345-12444845:.	chr19	12912724	12912725	-	0.0003614275813040996	0.0188646524186959	PRDX2	ENSG00000167815	NA	NA	False	0.2418496545986255	0.610098461090095	1.0	1.0	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	-0.01012618	.	chr19:12476305-12476805:.	chr19	12912724	12912725	-	-0.02238081085988873	0.00212845085988873	PRDX2	ENSG00000167815	NA	NA	False	0.17760028963094715	0.572267599921941	1.0	1.0	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	0.00014023	.	chr19:12511905-12512405:.	chr19	12912724	12912725	-	-0.013899428538346886	0.014179888538346886	PRDX2	ENSG00000167815	NA	NA	False	0.99800889852673	0.9980088985267299	1.0	1.0	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	0.00032966	.	chr19:12522625-12523145:.	chr19	12912724	12912725	-	-0.016125146595972577	0.016784466595972575	PRDX2	ENSG00000167815	NA	NA	False	0.986020299397456	0.9980088985267299	1.0	1.0	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	0.00616852	.	chr19:12551685-12552205:.	chr19	12912724	12912725	-	-0.008488504823245207	0.02082554482324521	PRDX2	ENSG00000167815	NA	NA	False	0.5011985932679801	0.795308717345355	1.0	1.0	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	0.00085887	.	chr19:12595405-12595925:.	chr19	12912724	12912725	-	-0.011570311286109431	0.01328805128610943	PRDX2	ENSG00000167815	NA	NA	False	0.9243540688793408	0.992294161726933	1.0	1.0	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	0.00534013	.	chr19:12605985-12606485:.	chr19	12912724	12912725	-	-0.007808400079612697	0.018488660079612695	PRDX2	ENSG00000167815	NA	NA	False	0.491536456732881	0.795308717345355	1.0	1.0	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	-0.01000935	.	chr19:12632705-12633245:.	chr19	12912724	12912725	-	-0.02946753134265473	0.009448831342654729	PRDX2	ENSG00000167815	NA	NA	False	0.3993724030049833	0.751322924894846	0.999999999999972	1.0	1	TRUE	NA
chr19	12654525	12655045	chr19:12654525-12655045:.	0.00867281	.	chr19:12654525-12655045:.	chr19	12912724	12912725	-	-0.01568648372702865	0.03303210372702865	PRDX2	ENSG00000167815	NA	NA	False	0.5132780156233083	0.795308717345355	0.99999999821301	1.0	1	TRUE	NA
