chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr3	127292685	127293205	chr3:127292685-127293205:.	-0.00996866	.	chr3:127292685-127293205:.	chr3	127771211	127771212	+	-0.04008349855250612	0.020146178552506114	SEC61A1	ENSG00000058262	NA	NA	False	0.3740626988537147	0.9109741284291061	0.9999664229451991	1.0	1	TRUE	NA
chr3	127293725	127294245	chr3:127293725-127294245:.	0.00356977	.	chr3:127293725-127294245:.	chr3	127771211	127771212	+	-0.021104459252579564	0.028243999252579564	SEC61A1	ENSG00000058262	NA	NA	False	0.917795966210718	0.981670292410282	0.999995022212355	1.0	1	TRUE	NA
chr3	127303265	127303845	chr3:127303265-127303845:.	-0.00142252	.	chr3:127303265-127303845:.	chr3	127771211	127771212	+	-0.03339494395362033	0.03054990395362033	SEC61A1	ENSG00000058262	NA	NA	False	0.8433675071423504	0.9806989140627141	0.999164628462052	1.0	1	TRUE	NA
chr3	127309425	127309925	chr3:127309425-127309925:.	0.0186843	.	chr3:127309425-127309925:.	chr3	127771211	127771212	+	-0.0051293487073215335	0.042497948707321535	SEC61A1	ENSG00000058262	NA	NA	False	0.246372415047794	0.9109741284291061	0.9999989775246481	1.0	1	TRUE	NA
chr3	127314125	127314645	chr3:127314125-127314645:.	0.01485929	.	chr3:127314125-127314645:.	chr3	127771211	127771212	+	-0.020421162680605492	0.05013974268060549	SEC61A1	ENSG00000058262	NA	NA	False	0.4428721162338727	0.9109741284291061	0.998366824605082	1.0	1	TRUE	NA
chr3	127316945	127317445	chr3:127316945-127317445:.	-0.00041574	.	chr3:127316945-127317445:.	chr3	127771211	127771212	+	-0.025735521505503213	0.02490404150550321	SEC61A1	ENSG00000058262	NA	NA	False	0.8775892488158615	0.9806989140627141	0.9999887057150859	1.0	1	TRUE	NA
chr3	127347585	127348125	chr3:127347585-127348125:.	-0.00395621	.	chr3:127347585-127348125:.	chr3	127771211	127771212	+	-0.027992098607600574	0.020079678607600578	SEC61A1	ENSG00000058262	NA	NA	False	0.6522285980944289	0.9495757693162121	0.9999996498325129	1.0	1	TRUE	NA
chr3	127348905	127349405	chr3:127348905-127349405:.	0.00188302	.	chr3:127348905-127349405:.	chr3	127771211	127771212	+	-0.031066882282187243	0.03483292228218724	SEC61A1	ENSG00000058262	NA	NA	False	0.9955353575454288	0.995535357545429	0.9958717167856729	1.0	1	TRUE	NA
chr3	127353445	127353945	chr3:127353445-127353945:.	0.00890052	.	chr3:127353445-127353945:.	chr3	127771211	127771212	+	-0.040891490626908396	0.0586925306269084	SEC61A1	ENSG00000058262	NA	NA	False	0.7471941497754337	0.9806989140627141	0.946660801395157	0.999999999999952	1	TRUE	NA
chr3	127391465	127392045	chr3:127391465-127392045:.	0.01406736	.	chr3:127391465-127392045:.	chr3	127771211	127771212	+	-0.009721562992045735	0.037856282992045735	SEC61A1	ENSG00000058262	NA	NA	False	0.3554010645636484	0.9109741284291061	0.9999997652396699	1.0	1	TRUE	NA
chr3	127402465	127403005	chr3:127402465-127403005:.	-0.00517991	.	chr3:127402465-127403005:.	chr3	127771211	127771212	+	-0.04338501898654812	0.03302519898654811	SEC61A1	ENSG00000058262	NA	NA	False	0.7127558252125193	0.967778551664705	0.9906508735662108	1.0	1	TRUE	NA
chr3	127414885	127415485	chr3:127414885-127415485:.	0.02716485	.	chr3:127414885-127415485:.	chr3	127771211	127771212	+	-0.005884292175747038	0.060213992175747036	SEC61A1	ENSG00000058262	NA	NA	False	0.1318300008630615	0.9109741284291061	0.9991582808062041	1.0	1	TRUE	NA
chr3	127416205	127416705	chr3:127416205-127416705:.	-0.01061226	.	chr3:127416205-127416705:.	chr3	127771211	127771212	+	-0.05188498777238836	0.030660467772388365	SEC61A1	ENSG00000058262	NA	NA	False	0.4690949501273098	0.9109741284291061	0.992808119517465	1.0	1	TRUE	NA
chr3	127419965	127420485	chr3:127419965-127420485:.	-0.00066563	.	chr3:127419965-127420485:.	chr3	127771211	127771212	+	-0.03192013564834984	0.03058887564834984	SEC61A1	ENSG00000058262	NA	NA	False	0.8665681446144309	0.9806989140627141	0.999724137187613	1.0	1	TRUE	NA
chr3	127420905	127421445	chr3:127420905-127421445:.	0.00562238	.	chr3:127420905-127421445:.	chr3	127771211	127771212	+	-0.018793327881726895	0.030038087881726894	SEC61A1	ENSG00000058262	NA	NA	False	0.7926991047568772	0.9806989140627141	0.9999990585162299	1.0	1	TRUE	NA
chr3	127425785	127426285	chr3:127425785-127426285:.	0.02320315	.	chr3:127425785-127426285:.	chr3	127771211	127771212	+	0.0009765697712493665	0.04542973022875063	SEC61A1	ENSG00000058262	NA	NA	False	0.16301126622655493	0.9109741284291061	0.9999994410645491	1.0	1	TRUE	NA
chr3	127448265	127448765	chr3:127448265-127448765:.	0.01082141	.	chr3:127448265-127448765:.	chr3	127771211	127771212	+	-0.027561869523280994	0.049204689523281	SEC61A1	ENSG00000058262	NA	NA	False	0.6772923924264128	0.9495757693162121	0.982372038887213	1.0	1	TRUE	NA
chr3	127729945	127730485	chr3:127729945-127730485:.	0.01741693	.	chr3:127729945-127730485:.	chr3	127771211	127771212	+	-0.011676212050565314	0.046510072050565315	SEC61A1	ENSG00000058262	NA	NA	False	0.37059871820642976	0.9109741284291061	0.999716895783292	1.0	1	TRUE	NA
chr3	127770845	127771345	chr3:127770845-127771345:.	0.22697596	.	chr3:127770845-127771345:.	chr3	127771211	127771212	+	0.16679492070942387	0.28715699929057614	SEC61A1	ENSG00000058262	NA	NA	True	1.2701459633316202e-37	1.8798160257308e-35	0.900440599140156	0.9999999995581801	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr3	127786325	127786825	chr3:127786325-127786825:.	0.0249848	.	chr3:127786325-127786825:.	chr3	127771211	127771212	+	-0.01195495516481835	0.06192455516481835	SEC61A1	ENSG00000058262	NA	NA	False	0.2153502784597584	0.9109741284291061	0.9950356883679041	1.0	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr3	127786865	127787365	chr3:127786865-127787365:.	0.05190089	.	chr3:127786865-127787365:.	chr3	127771211	127771212	+	0.027260338659153747	0.07654144134084626	SEC61A1	ENSG00000058262	NA	NA	False	0.0007235525983583982	0.0535428922785215	0.9999973956120749	1.0	1	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	NA
chr3	127794325	127794825	chr3:127794325-127794825:.	-0.00064584	.	chr3:127794325-127794825:.	chr3	127771211	127771212	+	-0.02476250149633409	0.023470821496334088	SEC61A1	ENSG00000058262	NA	NA	False	0.8392188490232051	0.9806989140627141	0.999999718714063	1.0	1	TRUE	NA
chr3	127795605	127796485	chr3:127795605-127796485:.	0.02235563	.	chr3:127795605-127796485:.	chr3	127771211	127771212	+	0.002652881428075321	0.04205837857192468	SEC61A1	ENSG00000058262	NA	NA	False	0.07379529242983048	0.9109741284291061	0.999999999920567	1.0	1	TRUE	NA
chr3	127842505	127843005	chr3:127842505-127843005:.	-0.0121458	.	chr3:127842505-127843005:.	chr3	127771211	127771212	+	-0.0401308080968927	0.015839208096892696	SEC61A1	ENSG00000058262	NA	NA	False	0.3342369556254457	0.9109741284291061	0.999976189459683	1.0	1	TRUE	NA
chr3	127847065	127847565	chr3:127847065-127847565:.	0.01409439	.	chr3:127847065-127847565:.	chr3	127771211	127771212	+	-0.01924219107447539	0.047430971074475387	SEC61A1	ENSG00000058262	NA	NA	False	0.5669532592208328	0.941064721315966	0.9926886173804241	1.0	1	TRUE	NA
chr3	127864025	127865005	chr3:127864025-127865005:.	0.02358195	.	chr3:127864025-127865005:.	chr3	127771211	127771212	+	-0.01486166386540973	0.062025563865409736	SEC61A1	ENSG00000058262	NA	NA	False	0.25651750891461783	0.9109741284291061	0.9921882603247378	1.0	1	TRUE	NA
chr3	127871725	127872225	chr3:127871725-127872225:.	-0.00110886	.	chr3:127871725-127872225:.	chr3	127771211	127771212	+	-0.04354101678774719	0.04132329678774718	SEC61A1	ENSG00000058262	NA	NA	False	0.8789003207403301	0.9806989140627141	0.9789072016054391	1.0	1	TRUE	NA
chr3	127889705	127890205	chr3:127889705-127890205:.	-0.00737448	.	chr3:127889705-127890205:.	chr3	127771211	127771212	+	-0.0570038176704085	0.04225485767040849	SEC61A1	ENSG00000058262	NA	NA	False	0.6666852528649327	0.9495757693162121	0.9449873674551421	0.9999999999999541	1	TRUE	NA
chr3	127912465	127912965	chr3:127912465-127912965:.	0.01340431	.	chr3:127912465-127912965:.	chr3	127771211	127771212	+	-0.015332867075779678	0.04214148707577968	SEC61A1	ENSG00000058262	NA	NA	False	0.5117520590544988	0.9109741284291061	0.999746142538707	1.0	1	TRUE	NA
chr3	127914145	127914685	chr3:127914145-127914685:.	-0.02109074	.	chr3:127914145-127914685:.	chr3	127771211	127771212	+	-0.06490973892107954	0.022728258921079537	SEC61A1	ENSG00000058262	NA	NA	False	0.1995020976280953	0.9109741284291061	0.9879096603584159	1.0	1	TRUE	NA
chr3	127945565	127946125	chr3:127945565-127946125:.	-0.02368698	.	chr3:127945565-127946125:.	chr3	127771211	127771212	+	-0.05077949715305338	0.003405537153053379	SEC61A1	ENSG00000058262	NA	NA	False	0.13122530870380364	0.9109741284291061	0.999909622772912	1.0	1	TRUE	NA
chr3	127985205	127985705	chr3:127985205-127985705:.	0.01154645	.	chr3:127985205-127985705:.	chr3	127771211	127771212	+	-0.02016721046051826	0.04326011046051826	SEC61A1	ENSG00000058262	NA	NA	False	0.5264686011615555	0.9109741284291061	0.999804500927486	1.0	1	TRUE	NA
chr3	128062345	128062845	chr3:128062345-128062845:.	0.01347829	.	chr3:128062345-128062845:.	chr3	127771211	127771212	+	-0.01502563914861867	0.041982219148618674	SEC61A1	ENSG00000058262	NA	NA	False	0.4657546147984027	0.9109741284291061	0.9999275503972791	1.0	1	TRUE	NA
chr3	128063965	128064505	chr3:128063965-128064505:.	-0.01749854	.	chr3:128063965-128064505:.	chr3	127771211	127771212	+	-0.05197213207244224	0.016975052072442237	SEC61A1	ENSG00000058262	NA	NA	False	0.2571553364699328	0.9109741284291061	0.998449782903279	1.0	1	TRUE	NA
chr3	128072825	128073345	chr3:128072825-128073345:.	-0.00221425	.	chr3:128072825-128073345:.	chr3	127771211	127771212	+	-0.03189933194543693	0.02747083194543693	SEC61A1	ENSG00000058262	NA	NA	False	0.7997990885082112	0.9806989140627141	0.9997762832941071	1.0	1	TRUE	NA
chr3	128099505	128100005	chr3:128099505-128100005:.	-0.00572849	.	chr3:128099505-128100005:.	chr3	127771211	127771212	+	-0.03286968071971485	0.021412700719714847	SEC61A1	ENSG00000058262	NA	NA	False	0.601888290737359	0.9495757693162121	0.999983617392656	1.0	1	TRUE	NA
chr3	128102265	128102785	chr3:128102265-128102785:.	0.00320987	.	chr3:128102265-128102785:.	chr3	127771211	127771212	+	-0.02508029465417108	0.03150003465417108	SEC61A1	ENSG00000058262	NA	NA	False	0.9343134271834472	0.981670292410282	0.9999692234546029	1.0	1	TRUE	NA
chr3	128128845	128129365	chr3:128128845-128129365:.	-0.00019659	.	chr3:128128845-128129365:.	chr3	127771211	127771212	+	-0.021377184505970117	0.020984004505970117	SEC61A1	ENSG00000058262	NA	NA	False	0.8662632132379274	0.9806989140627141	0.999999990459814	1.0	1	TRUE	NA
chr3	128131325	128132705	chr3:128131325-128132705:.	-0.00924984	.	chr3:128131325-128132705:.	chr3	127771211	127771212	+	-0.034791420451715245	0.01629174045171524	SEC61A1	ENSG00000058262	NA	NA	False	0.36053525501702177	0.9109741284291061	0.999999500752341	1.0	1	TRUE	NA
chr3	128134065	128134565	chr3:128134065-128134565:.	-0.00949231	.	chr3:128134065-128134565:.	chr3	127771211	127771212	+	-0.03278263585555975	0.013798015855559755	SEC61A1	ENSG00000058262	NA	NA	False	0.4039184756410554	0.9109741284291061	0.9999997159850401	1.0	1	TRUE	NA
chr3	128134685	128136105	chr3:128134685-128136105:.	0.01209253	.	chr3:128134685-128136105:.	chr3	127771211	127771212	+	-0.0029844606545983213	0.027169520654598323	SEC61A1	ENSG00000058262	NA	NA	False	0.2816249763845649	0.9109741284291061	1.0	1.0	1	TRUE	NA
chr3	128143185	128143945	chr3:128143185-128143945:.	0.01818207	.	chr3:128143185-128143945:.	chr3	127771211	127771212	+	-0.027822418389302432	0.06418655838930243	SEC61A1	ENSG00000058262	NA	NA	False	0.4859780455242376	0.9109741284291061	0.9396588161008429	0.9999999999999979	1	TRUE	NA
chr3	128145125	128145805	chr3:128145125-128145805:.	0.0292934	.	chr3:128145125-128145805:.	chr3	127771211	127771212	+	0.008175650682100695	0.050411149317899306	SEC61A1	ENSG00000058262	NA	NA	False	0.03419731047008608	0.6326502436965921	0.999999992728032	1.0	1	TRUE	NA
chr3	128175865	128176365	chr3:128175865-128176365:.	-0.0238512	.	chr3:128175865-128176365:.	chr3	127771211	127771212	+	-0.053510795480795785	0.005808395480795786	SEC61A1	ENSG00000058262	NA	NA	False	0.13790316641261513	0.9109741284291061	0.9996266959157092	1.0	1	TRUE	NA
chr3	128201605	128202445	chr3:128201605-128202445:.	0.00011243	.	chr3:128201605-128202445:.	chr3	127771211	127771212	+	-0.021659417909033824	0.021884277909033824	SEC61A1	ENSG00000058262	NA	NA	False	0.8876052283265689	0.9806989140627141	0.99999996928725	1.0	1	TRUE	NA
chr3	128206545	128208265	chr3:128206545-128208265:.	0.00089129	.	chr3:128206545-128208265:.	chr3	127771211	127771212	+	-0.023155070379965868	0.024937650379965867	SEC61A1	ENSG00000058262	NA	NA	False	0.9351494860876616	0.981670292410282	0.999999526248137	1.0	1	TRUE	NA
chr3	128214185	128214725	chr3:128214185-128214725:.	0.0084618	.	chr3:128214185-128214725:.	chr3	127771211	127771212	+	-0.020889556794967255	0.03781315679496726	SEC61A1	ENSG00000058262	NA	NA	False	0.6865176170056397	0.9495757693162121	0.9998677339467379	1.0	1	TRUE	NA
chr3	128215225	128216165	chr3:128215225-128216165:.	0.00980034	.	chr3:128215225-128216165:.	chr3	127771211	127771212	+	-0.011310222479071071	0.03091090247907107	SEC61A1	ENSG00000058262	NA	NA	False	0.5802847702259644	0.943759846081788	0.999999961734582	1.0	1	TRUE	NA
chr3	128216385	128216885	chr3:128216385-128216885:.	-0.00944985	.	chr3:128216385-128216885:.	chr3	127771211	127771212	+	-0.0410221775210793	0.022122477521079296	SEC61A1	ENSG00000058262	NA	NA	False	0.4362822917032695	0.9109741284291061	0.999854590322487	1.0	1	TRUE	NA
chr3	128223685	128224185	chr3:128223685-128224185:.	-0.01697333	.	chr3:128223685-128224185:.	chr3	127771211	127771212	+	-0.046301475623692995	0.012354815623692998	SEC61A1	ENSG00000058262	NA	NA	False	0.2487168084743611	0.9109741284291061	0.9998268097956279	1.0	1	TRUE	NA
chr3	128251705	128252205	chr3:128251705-128252205:.	-0.04986962	.	chr3:128251705-128252205:.	chr3	127771211	127771212	+	-0.09384043437175653	-0.005898805628243478	SEC61A1	ENSG00000058262	NA	NA	False	0.022985125664583845	0.606946068237651	0.9531058217800529	1.0	1	TRUE	NA
chr3	128266145	128266645	chr3:128266145-128266645:.	0.00265524	.	chr3:128266145-128266645:.	chr3	127771211	127771212	+	-0.03503348939200501	0.04034396939200502	SEC61A1	ENSG00000058262	NA	NA	False	0.9669679313826008	0.995535357545429	0.998057553034018	1.0	1	TRUE	NA
chr3	128267505	128268525	chr3:128267505-128268525:.	-0.0066247	.	chr3:128267505-128268525:.	chr3	127771211	127771212	+	-0.026312350851674875	0.013062950851674873	SEC61A1	ENSG00000058262	NA	NA	False	0.4270021528982344	0.9109741284291061	0.9999999999680009	1.0	1	TRUE	NA
chr3	128272805	128273385	chr3:128272805-128273385:.	0.00841927	.	chr3:128272805-128273385:.	chr3	127771211	127771212	+	-0.01641936776214495	0.03325790776214495	SEC61A1	ENSG00000058262	NA	NA	False	0.6739195468703278	0.9495757693162121	0.9999948350589151	1.0	1	TRUE	NA
chr3	128292545	128293145	chr3:128292545-128293145:.	0.0046001	.	chr3:128292545-128293145:.	chr3	127771211	127771212	+	-0.017834394881379143	0.027034594881379142	SEC61A1	ENSG00000058262	NA	NA	False	0.8671059294803269	0.9806989140627141	0.999999062356116	1.0	1	TRUE	NA
chr3	128296625	128297185	chr3:128296625-128297185:.	-0.00071297	.	chr3:128296625-128297185:.	chr3	127771211	127771212	+	-0.025840696793516506	0.024414756793516505	SEC61A1	ENSG00000058262	NA	NA	False	0.8532026793534371	0.9806989140627141	0.9999964832384629	1.0	1	TRUE	NA
chr3	128303145	128303645	chr3:128303145-128303645:.	-0.013279	.	chr3:128303145-128303645:.	chr3	127771211	127771212	+	-0.034772514983328916	0.008214514983328917	SEC61A1	ENSG00000058262	NA	NA	False	0.2410615333719598	0.9109741284291061	0.999999985282197	1.0	1	TRUE	NA
chr3	128303965	128304565	chr3:128303965-128304565:.	-0.00179482	.	chr3:128303965-128304565:.	chr3	127771211	127771212	+	-0.03664686619494732	0.03305722619494732	SEC61A1	ENSG00000058262	NA	NA	False	0.8472676692507974	0.9806989140627141	0.9947343788041949	1.0	1	TRUE	NA
chr3	128309725	128310305	chr3:128309725-128310305:.	-0.01947545	.	chr3:128309725-128310305:.	chr3	127771211	127771212	+	-0.04676987542518862	0.00781897542518863	SEC61A1	ENSG00000058262	NA	NA	False	0.1277068557263488	0.9109741284291061	0.999990055766049	1.0	1	TRUE	NA
chr3	128368825	128369325	chr3:128368825-128369325:.	0.00596148	.	chr3:128368825-128369325:.	chr3	127771211	127771212	+	-0.021030811147340595	0.0329537711473406	SEC61A1	ENSG00000058262	NA	NA	False	0.7831864907054429	0.9806989140627141	0.9999891987667819	1.0	1	TRUE	NA
chr3	128369485	128370485	chr3:128369485-128370485:.	0.00870889	.	chr3:128369485-128370485:.	chr3	127771211	127771212	+	-0.019249051036136916	0.03666683103613692	SEC61A1	ENSG00000058262	NA	NA	False	0.6645315471779404	0.9495757693162121	0.9999550191942661	1.0	1	TRUE	NA
chr3	128399345	128399845	chr3:128399345-128399845:.	0.00249265	.	chr3:128399345-128399845:.	chr3	127771211	127771212	+	-0.02758324156382286	0.03256854156382286	SEC61A1	ENSG00000058262	NA	NA	False	0.9748313552326204	0.995535357545429	0.999844025032326	1.0	1	TRUE	NA
chr3	128442065	128442605	chr3:128442065-128442605:.	-0.00141738	.	chr3:128442065-128442605:.	chr3	127771211	127771212	+	-0.03550419161448898	0.03266943161448897	SEC61A1	ENSG00000058262	NA	NA	False	0.8604167763183149	0.9806989140627141	0.996019841915347	1.0	1	TRUE	NA
chr3	128444645	128445185	chr3:128444645-128445185:.	0.01079523	.	chr3:128444645-128445185:.	chr3	127771211	127771212	+	-0.018153894180797266	0.03974435418079726	SEC61A1	ENSG00000058262	NA	NA	False	0.5566445342932516	0.941064721315966	0.999948236762636	1.0	1	TRUE	NA
chr3	128482725	128483225	chr3:128482725-128483225:.	0.00836097	.	chr3:128482725-128483225:.	chr3	127771211	127771212	+	-0.02161845196031087	0.038340391960310874	SEC61A1	ENSG00000058262	NA	NA	False	0.7664408206816559	0.9806989140627141	0.9959372149614091	1.0	1	TRUE	NA
chr3	128503085	128503585	chr3:128503085-128503585:.	0.00989654	.	chr3:128503085-128503585:.	chr3	127771211	127771212	+	-0.019556390481563143	0.03934947048156315	SEC61A1	ENSG00000058262	NA	NA	False	0.6369276219383708	0.9495757693162121	0.999776619121026	1.0	1	TRUE	NA
chr3	128513125	128513645	chr3:128513125-128513645:.	0.00469991	.	chr3:128513125-128513645:.	chr3	127771211	127771212	+	-0.04083983411903447	0.05023965411903447	SEC61A1	ENSG00000058262	NA	NA	False	0.9126887892478932	0.981670292410282	0.919399971040294	0.999999999999996	1	TRUE	NA
chr3	128513785	128514285	chr3:128513785-128514285:.	0.00550877	.	chr3:128513785-128514285:.	chr3	127771211	127771212	+	-0.033015896769919575	0.04403343676991957	SEC61A1	ENSG00000058262	NA	NA	False	0.8534125114419585	0.9806989140627141	0.9920771275566921	1.0	1	TRUE	NA
chr3	128522905	128523405	chr3:128522905-128523405:.	-0.00703815	.	chr3:128522905-128523405:.	chr3	127771211	127771212	+	-0.042329047580653624	0.028252747580653624	SEC61A1	ENSG00000058262	NA	NA	False	0.629526355617714	0.9495757693162121	0.996178614923093	1.0	1	TRUE	NA
chr3	128560985	128561525	chr3:128560985-128561525:.	-0.04546971	.	chr3:128560985-128561525:.	chr3	127771211	127771212	+	-0.1471350139892608	0.05619559398926078	SEC61A1	ENSG00000058262	NA	NA	False	0.024605921685310183	0.606946068237651	0.7944608969495359	0.9998944853238291	1	TRUE	NA
chr3	128564565	128565085	chr3:128564565-128565085:.	-0.00223645	.	chr3:128564565-128565085:.	chr3	127771211	127771212	+	-0.02366014013676772	0.019187240136767716	SEC61A1	ENSG00000058262	NA	NA	False	0.7343136045415812	0.9806989140627141	0.9999999936840279	1.0	1	TRUE	NA
chr3	128583705	128584685	chr3:128583705-128584685:.	-0.00774887	.	chr3:128583705-128584685:.	chr3	127771211	127771212	+	-0.039196293446794796	0.0236985534467948	SEC61A1	ENSG00000058262	NA	NA	False	0.5293498313844803	0.9109741284291061	0.9997734745634129	1.0	1	TRUE	NA
chr3	128594325	128594845	chr3:128594325-128594845:.	0.0097642	.	chr3:128594325-128594845:.	chr3	127771211	127771212	+	-0.021883877148749314	0.041412277148749316	SEC61A1	ENSG00000058262	NA	NA	False	0.6378425027012882	0.9495757693162121	0.999550036423807	1.0	1	TRUE	NA
chr3	128598145	128598645	chr3:128598145-128598645:.	-0.04050803	.	chr3:128598145-128598645:.	chr3	127771211	127771212	+	-0.06886021848242768	-0.012155841517572319	SEC61A1	ENSG00000058262	NA	NA	False	0.0030225330396514397	0.149111629956138	0.9999774831056351	1.0	1	TRUE	NA
chr3	128710125	128710965	chr3:128710125-128710965:.	0.01675896	.	chr3:128710125-128710965:.	chr3	127771211	127771212	+	-0.02155750846923196	0.055075428469231955	SEC61A1	ENSG00000058262	NA	NA	False	0.4430912930786556	0.9109741284291061	0.991672027806722	1.0	1	TRUE	NA
chr3	128712745	128713265	chr3:128712745-128713265:.	0.01345351	.	chr3:128712745-128713265:.	chr3	127771211	127771212	+	-0.013516918170751494	0.040423938170751496	SEC61A1	ENSG00000058262	NA	NA	False	0.4653931134803494	0.9109741284291061	0.9999694352193199	1.0	1	TRUE	NA
