OligoID	target
171010FF_12166	chrX:48644125-48645245
171010FF_12167	chrX:48644125-48645245
171010FF_12168	chrX:48644125-48645245
171010FF_12169	chrX:48644125-48645245
171010FF_12174	chr3:128206545-128208265
171010FF_12175	chr3:128206545-128208265
171010FF_12176	*
171010FF_12177	chr3:128206545-128208265
171010FF_12170	chr12:54694585-54695545
171010FF_12171	*
171010FF_12172	chr12:54694585-54695545
171010FF_12173	chr12:54694585-54695545
171010FF_28758	chr19:12996905-12998745
171010FF_28759	chr19:12996905-12998745
171010FF_28760	chr19:12996905-12998745
171010FF_28761	chr19:12996905-12998745
160705_180K_Arrays-46971	chrX:46655945-46656445
160705_180K_Arrays-34822	chrX:46655945-46656445
160705_180K_Arrays-43421	chrX:46655945-46656445
160705_180K_Arrays-36187	chrX:46655945-46656445
160705_180K_Arrays-45651	chrX:46655945-46656445
160705_180K_Arrays-35395	chrX:46655945-46656445
160705_180K_Arrays-38185	chrX:46655945-46656445
160705_180K_Arrays-44188	chrX:46655945-46656445
160705_180K_Arrays-38587	chrX:46655945-46656445
160705_180K_Arrays-45634	chrX:46655945-46656445
160705_180K_Arrays-35699	chrX:46655945-46656445
160705_180K_Arrays-39706	chrX:46655945-46656445
160705_180K_Arrays-44384	chrX:46655945-46656445
160705_180K_Arrays-50172	chrX:46655945-46656445
160705_180K_Arrays-47526	chrX:46655945-46656445
160705_180K_Arrays-40587	chrX:46655945-46656445
160705_180K_Arrays-36476	chrX:46655945-46656445
160705_180K_Arrays-43820	chrX:46655945-46656445
160705_180K_Arrays-47405	chrX:46655945-46656445
160705_180K_Arrays-48060	chrX:46655945-46656445
160705_180K_Arrays-40279	chrX:46655945-46656445
160705_180K_Arrays-41049	chrX:46655945-46656445
160705_180K_Arrays-40860	chrX:46655945-46656445
160705_180K_Arrays-40443	chrX:46655945-46656445
160705_180K_Arrays-39438	chrX:46655945-46656445
160705_180K_Arrays-40360	chrX:46655945-46656445
160705_180K_Arrays-42581	chrX:46655945-46656445
160705_180K_Arrays-45045	chrX:46655945-46656445
160705_180K_Arrays-36565	chrX:46655945-46656445
160705_180K_Arrays-43203	chrX:46655945-46656445
160705_180K_Arrays-46318	chrX:46655945-46656445
160705_180K_Arrays-42835	chrX:46655945-46656445
160705_180K_Arrays-43679	chrX:46655945-46656445
160705_180K_Arrays-40608	chrX:46655945-46656445
160705_180K_Arrays-46559	chrX:46655945-46656445
160705_180K_Arrays-40236	chrX:46655945-46656445
160705_180K_Arrays-42630	chrX:46655945-46656445
160705_180K_Arrays-38871	chrX:46655945-46656445
160705_180K_Arrays-41379	chrX:46655945-46656445
160705_180K_Arrays-40978	chrX:46655945-46656445
160705_180K_Arrays-47776	chrX:46655945-46656445
160705_180K_Arrays-48745	chrX:46655945-46656445
160705_180K_Arrays-45678	chrX:46655945-46656445
160705_180K_Arrays-46512	chrX:46655945-46656445
160705_180K_Arrays-39416	chrX:46696085-46696605
160705_180K_Arrays-42474	chrX:46696085-46696605
160705_180K_Arrays-48588	chrX:46696085-46696605
160705_180K_Arrays-48296	chrX:46696085-46696605
160705_180K_Arrays-34030	chrX:46696085-46696605
160705_180K_Arrays-46561	chrX:46696085-46696605
160705_180K_Arrays-42904	chrX:46696085-46696605
160705_180K_Arrays-43095	chrX:46696085-46696605
160705_180K_Arrays-47206	chrX:46696085-46696605
160705_180K_Arrays-49204	chrX:46696085-46696605
160705_180K_Arrays-49203	chrX:46696085-46696605
160705_180K_Arrays-35982	chrX:46696085-46696605
160705_180K_Arrays-42881	chrX:46696085-46696605
160705_180K_Arrays-42880	chrX:46696085-46696605
160705_180K_Arrays-43543	chrX:46696085-46696605
160705_180K_Arrays-32305	chrX:46696085-46696605
160705_180K_Arrays-33323	chrX:46696085-46696605
160705_180K_Arrays-41259	chrX:46696085-46696605
160705_180K_Arrays-41717	chrX:46696085-46696605
160705_180K_Arrays-32721	chrX:46696085-46696605
160705_180K_Arrays-44407	chrX:46696085-46696605
160705_180K_Arrays-47169	chrX:46696085-46696605
160705_180K_Arrays-44943	chrX:46696085-46696605
160705_180K_Arrays-50085	chrX:46696085-46696605
160705_180K_Arrays-41463	chrX:46696085-46696605
160705_180K_Arrays-34322	chrX:46696085-46696605
160705_180K_Arrays-49892	chrX:46696085-46696605
160705_180K_Arrays-49893	chrX:46696085-46696605
160705_180K_Arrays-41132	chrX:46696085-46696605
160705_180K_Arrays-41169	chrX:46696085-46696605
160705_180K_Arrays-50002	chrX:46696085-46696605
160705_180K_Arrays-47894	chrX:46696085-46696605
160705_180K_Arrays-46791	chrX:46696085-46696605
160705_180K_Arrays-31896	chrX:46696085-46696605
160705_180K_Arrays-42328	chrX:46696085-46696605
160705_180K_Arrays-47829	chrX:46696085-46696605
160705_180K_Arrays-47696	chrX:46696085-46696605
160705_180K_Arrays-44281	chrX:46696085-46696605
160705_180K_Arrays-39646	chrX:46696085-46696605
160705_180K_Arrays-36756	chrX:46696085-46696605
160705_180K_Arrays-49754	chrX:46696085-46696605
160705_180K_Arrays-41862	chrX:46696085-46696605
160705_180K_Arrays-42578	chrX:46696085-46696605
160705_180K_Arrays-44156	chrX:46696085-46696605
160705_180K_Arrays-46472	chrX:46696085-46696605
160705_180K_Arrays-41291	chrX:46696085-46696605
160705_180K_Arrays-42312	chrX:46696085-46696605
160705_180K_Arrays-41705	chrX:46696085-46696605
160705_180K_Arrays-45049	chrX:46696085-46696605
160705_180K_Arrays-48724	chrX:46696085-46696605
160705_180K_Arrays-48723	chrX:46696085-46696605
160705_180K_Arrays-36526	chrX:46696085-46696605
160705_180K_Arrays-44913	chrX:46696085-46696605
160705_180K_Arrays-45420	chrX:46696085-46696605
160705_180K_Arrays-45054	chrX:46696085-46696605
160705_180K_Arrays-42650	chrX:46696085-46696605
160705_180K_Arrays-47641	chrX:46696085-46696605
160705_180K_Arrays-41668	chrX:46696085-46696605
160705_180K_Arrays-43667	chrX:46696085-46696605
160705_180K_Arrays-40906	chrX:46696085-46696605
160705_180K_Arrays-32659	chrX:46696085-46696605
160705_180K_Arrays-45043	chrX:46696085-46696605
160705_180K_Arrays-42547	chrX:46696085-46696605
160705_180K_Arrays-41341	chrX:46696085-46696605
160705_180K_Arrays-40393	chrX:46696085-46696605
160705_180K_Arrays-43547	chrX:46696085-46696605
160705_180K_Arrays-42531	chrX:46696085-46696605
160705_180K_Arrays-32400	chrX:46696085-46696605
160705_180K_Arrays-32401	chrX:46696085-46696605
160705_180K_Arrays-44366	chrX:46696085-46696605
160705_180K_Arrays-36543	chrX:46696085-46696605
160705_180K_Arrays-36544	chrX:46696085-46696605
160705_180K_Arrays-34715	chrX:46696085-46696605
160705_180K_Arrays-48805	chrX:46696085-46696605
160705_180K_Arrays-48806	chrX:46696085-46696605
160705_180K_Arrays-42689	chrX:46696085-46696605
160705_180K_Arrays-42656	chrX:46696085-46696605
160705_180K_Arrays-42657	chrX:46696085-46696605
160705_180K_Arrays-48836	chrX:46696085-46696605
160705_180K_Arrays-50108	chrX:46696085-46696605
160705_180K_Arrays-38206	chrX:46696085-46696605
160705_180K_Arrays-50728	chrX:46696085-46696605
160705_180K_Arrays-39843	chrX:46696085-46696605
160705_180K_Arrays-46697	chrX:46696085-46696605
160705_180K_Arrays-46696	chrX:46696085-46696605
160705_180K_Arrays-45575	chrX:46696085-46696605
160705_180K_Arrays-48831	chrX:46696085-46696605
160705_180K_Arrays-35134	chrX:46696085-46696605
160705_180K_Arrays-46436	chrX:46696085-46696605
160705_180K_Arrays-49924	chrX:46696085-46696605
160705_180K_Arrays-44653	chrX:46696085-46696605
160705_180K_Arrays-39568	chrX:46696085-46696605
160705_180K_Arrays-48456	chrX:46696085-46696605
160705_180K_Arrays-37687	chrX:46696085-46696605
160705_180K_Arrays-50669	chrX:46696085-46696605
160705_180K_Arrays-48984	chrX:46696085-46696605
160705_180K_Arrays-39620	chrX:46696085-46696605
160705_180K_Arrays-36652	chrX:46696085-46696605
160705_180K_Arrays-50533	chrX:46696085-46696605
160705_180K_Arrays-44223	chrX:46696085-46696605
160705_180K_Arrays-45737	chrX:46696085-46696605
160705_180K_Arrays-47947	chrX:46696085-46696605
160705_180K_Arrays-32489	chrX:46696085-46696605
160705_180K_Arrays-33063	chrX:46696085-46696605
160705_180K_Arrays-35122	chrX:46696685-46697185
160705_180K_Arrays-40767	chrX:46696685-46697185
160705_180K_Arrays-35875	chrX:46696685-46697185
160705_180K_Arrays-34333	chrX:46696685-46697185
160705_180K_Arrays-35874	chrX:46696685-46697185
160705_180K_Arrays-34396	chrX:46696685-46697185
160705_180K_Arrays-34397	chrX:46696685-46697185
160705_180K_Arrays-35233	chrX:46696685-46697185
160705_180K_Arrays-32834	chrX:46696685-46697185
160705_180K_Arrays-47302	chrX:46696685-46697185
160705_180K_Arrays-32148	chrX:46696685-46697185
160705_180K_Arrays-40072	chrX:46696685-46697185
160705_180K_Arrays-47167	chrX:46696685-46697185
160705_180K_Arrays-50808	chrX:46696685-46697185
160705_180K_Arrays-50516	chrX:46696685-46697185
160705_180K_Arrays-36418	chrX:46696685-46697185
160705_180K_Arrays-36336	chrX:46696685-46697185
160705_180K_Arrays-35428	chrX:46696685-46697185
160705_180K_Arrays-45166	chrX:46696685-46697185
160705_180K_Arrays-44118	chrX:46696685-46697185
160705_180K_Arrays-44117	chrX:46696685-46697185
160705_180K_Arrays-50213	chrX:46696685-46697185
160705_180K_Arrays-47688	chrX:46696685-46697185
160705_180K_Arrays-35721	chrX:46696685-46697185
160705_180K_Arrays-39946	chrX:46696685-46697185
160705_180K_Arrays-41587	chrX:46696685-46697185
160705_180K_Arrays-40729	chrX:46696685-46697185
160705_180K_Arrays-44627	chrX:46696685-46697185
160705_180K_Arrays-36480	chrX:46696685-46697185
160705_180K_Arrays-44667	chrX:46696685-46697185
160705_180K_Arrays-45307	chrX:46696685-46697185
160705_180K_Arrays-36483	chrX:46696685-46697185
160705_180K_Arrays-42736	chrX:46696685-46697185
160705_180K_Arrays-42608	chrX:46696685-46697185
160705_180K_Arrays-33826	chrX:46696685-46697185
160705_180K_Arrays-46238	chrX:46696685-46697185
160705_180K_Arrays-49578	chrX:46696685-46697185
160705_180K_Arrays-49695	chrX:46696685-46697185
160705_180K_Arrays-38051	chrX:46696685-46697185
160705_180K_Arrays-34583	chrX:46696685-46697185
160705_180K_Arrays-42286	chrX:46696685-46697185
160705_180K_Arrays-44289	chrX:46696685-46697185
160705_180K_Arrays-50363	chrX:46696685-46697185
160705_180K_Arrays-48261	chrX:46696685-46697185
160705_180K_Arrays-33406	chrX:46696685-46697185
160705_180K_Arrays-33405	chrX:46696685-46697185
160705_180K_Arrays-46138	chrX:46696685-46697185
160705_180K_Arrays-49851	chrX:46696685-46697185
160705_180K_Arrays-50547	chrX:46696685-46697185
160705_180K_Arrays-44537	chrX:46696685-46697185
160705_180K_Arrays-39057	chrX:46696685-46697185
160705_180K_Arrays-47512	chrX:46696685-46697185
160705_180K_Arrays-34303	chrX:46696685-46697185
160705_180K_Arrays-34304	chrX:46696685-46697185
160705_180K_Arrays-32266	chrX:46696685-46697185
160705_180K_Arrays-31930	chrX:46696685-46697185
160705_180K_Arrays-38007	chrX:46696685-46697185
160705_180K_Arrays-33652	chrX:46696685-46697185
