chrom	start	end	num	list	figure4_tcells/screen_data/gitr.perturbationregion.mm10.bed	figure4_tcells/deseq2_peakcalls/gitr.deseq2.peakcalls.fdr01.sorted.merge.mm10.bed	figure4_tcells/other_peakcalls/gitr_casa_peaks_mm10.bed
chr4	155991300	155991530	1	2	0	1	0
chr4	155991530	155992700	2	1,2	1	1	0
chr4	155992700	155993100	1	1	1	0	0
chr4	155993100	155994100	2	1,2	1	1	0
chr4	155994100	156008500	1	1	1	0	0
chr4	156008500	156009300	2	1,2	1	1	0
chr4	156009300	156013600	1	1	1	0	0
chr4	156013600	156014700	2	1,2	1	1	0
chr4	156014700	156015400	1	1	1	0	0
chr4	156015400	156015800	2	1,2	1	1	0
chr4	156015800	156015900	1	1	1	0	0
chr4	156015900	156016300	2	1,2	1	1	0
chr4	156016300	156016400	1	1	1	0	0
chr4	156016400	156016500	2	1,2	1	1	0
chr4	156016500	156019300	1	1	1	0	0
chr4	156019300	156019400	2	1,2	1	1	0
chr4	156019400	156021600	1	1	1	0	0
chr4	156021600	156022200	2	1,2	1	1	0
chr4	156022200	156022800	3	1,2,3	1	1	1
chr4	156022800	156022900	2	1,2	1	1	0
chr4	156022900	156025800	1	1	1	0	0
chr4	156025800	156026900	2	1,2	1	1	0
chr4	156026900	156030400	1	1	1	0	0
chr4	156030400	156031500	2	1,2	1	1	0
chr4	156031500	156031600	1	1	1	0	0
chr4	156031600	156034000	2	1,2	1	1	0
chr4	156034000	156035049	1	1	1	0	0
