gene_name	chr	strand	gene_start	gene_end
AADAC	chr3	+	151814115	151828488
MIR4660	chr8	+	9048444	9048518
KSR2	chr12	-	117453011	117968990
ASPRV1	chr2	-	69960090	69962265
FAM138F	chr9	-	34393	35864
CAPG	chr2	-	85394747	85414074
LINC01134	chr1	+	3900403	3915447
OR2A14	chr7	+	144123175	144131188
DCST1	chr1	+	155033823	155050930
MYL6B	chr12	+	56152586	56157982
TMEM219	chr16	+	29962078	29973048
MMP28	chr17	-	35778504	35795641
CTSE	chr1	-	206009263	206023895
DAB2	chr5	-	39371676	39424980
LOC100128398	chr19	+	58002893	58007206
MIR181A2HG	chr9	+	124658435	124698628
DZANK1	chr20	-	18383366	18467185
RPP25	chr15	-	74954417	74956772
MIR6818	chr22	+	30007048	30007113
JKAMP	chr14	+	59484442	59505406
SNORD9	chr14	-	21392150	21392253
KRTAP11-1	chr21	-	30880644	30881580
TRIM50	chr7	-	73312535	73325575
ANXA5	chr4	-	121667945	121696980
SBDS	chr7	-	66987679	66995586
OLIG1	chr21	+	33070140	33072413
CHST3	chr10	+	71964394	72013556
ST20-MTHFS	chr15	-	79843546	79923106
MIR583	chr5	+	96079137	96079212
LRRC25	chr19	-	18391136	18397622
MRGPRG-AS1	chr11	+	3218331	3223131
NME6	chr3	-	48292316	48301411
FLJ31356	chr2	-	28384408	28394672
STXBP5-AS1	chr6	-	146841388	147204614
GTF3C4	chr9	+	132670034	132694955
PPID	chr4	-	158709126	158723396
SLC2A14	chr12	-	7812513	7872915
CD37	chr19	+	49335405	49340604
LOC105373656	chr2	-	144523549	144524444
GPR83	chr11	-	94377315	94401419
MIR4276	chr4	+	174423794	174423864
CLEC2L	chr7	+	139523684	139544985
TATDN3	chr1	+	212791893	212816830
LINC02252	chr15	-	34651134	34655764
FLNB	chr3	+	58008421	58172250
GALK2	chr15	+	49170246	49331881
C1R	chr12	-	7080218	7092445
PPP2CB	chr8	-	30785618	30812818
DNM3OS	chr1	-	172136878	172144835
NCKAP5	chr2	-	132671789	133568463
ZNF826P	chr19	-	20398657	20424965
PLA2G2E	chr1	-	19920008	19923617
IYD	chr6	+	150369011	150405969
MIR7973-1	chr15	+	51314033	51314109
LOC100130987	chr11	+	67317838	67391687
LOC107984703	chr14	+	95715482	95756779
TMEFF1	chr9	+	100473148	100577636
EFNB3	chr17	+	7705201	7711372
ATP6V1FNB	chr7	+	128866329	128872047
LINC02433	chr4	+	157572489	157576151
NCOA4	chr10	-	46005087	46030714
STARD10	chr11	-	72754728	72793705
FRG2EP	chr20	-	29414074	29416961
IPO13	chr1	+	43946949	43968022
SNORD172	chr10	+	75021732	75021791
LOC644656	chr11	-	9459555	9460698
KRTAP5-AS1	chr11	+	1572740	1599184
STARD3	chr17	+	39637143	39664201
NME3	chr16	-	1770319	1771709
PRR29-AS1	chr17	-	63996070	63999899
GALR3	chr22	+	37823381	37825485
LINC00279	chrY	+	8638293	8645129
ATRIP-TREX1	chr3	+	48446778	48467645
DARS1	chr2	-	135905880	135985626
LINC02292	chr14	+	95329583	95335504
CXorf51B	chrX	+	146809770	146810411
CXorf51B	chrX	-	146814103	146814744
TRPC1	chr3	+	142724423	142807887
QSOX2	chr9	-	136206336	136245812
HAUS1	chr18	+	46104384	46128333
LINC02071	chr17	-	51312608	51335162
PIK3CD	chr1	+	9689543	9729114
MIR3713	chr15	+	76586646	76586691
MIR6802	chr19	-	55239911	55239976
NSUN5P1	chr7	+	75410321	75416792
VSTM5	chr11	-	93818232	93850618
LINC01570	chr16	-	5601168	5616250
EBF4	chr20	+	2692779	2760108
KCTD11	chr17	+	7351888	7354943
GALE	chr1	-	23795598	23800754
NMBR	chr6	-	142074483	142147122
STIM2-AS1	chr4	-	26859623	26860599
GDAP2	chr1	-	117876711	117929621
ZNF772	chr19	-	57469585	57477566
MARK4	chr19	+	45251270	45305284
POLR2G	chr11	+	62761579	62766710
LOC100144595	chr2	-	154435852	154457438
MIR6511B2	chr16	-	2106677	2106748
TRIM5	chr11	-	5663194	5685074
RRP9	chr3	-	51933428	51941904
SNTB1	chr8	-	120535755	120812046
USP6	chr17	+	5116031	5174991
LINC01638	chr22	-	27221349	27224679
CALCRL	chr2	-	187341964	187448252
KCND3-AS1	chr1	+	111909656	111910930
REST	chr4	+	56908912	56935844
WNT9A	chr1	-	227918655	227947932
LOC401463	chr8	-	64574308	64577263
MANBA	chr4	-	102630769	102760968
MIR642B	chr19	-	45674931	45675008
SNORA11E	chrX	-	52063346	52063473
SNORA11E	chrX	+	52190621	52190748
PON2	chr7	-	95404861	95435028
NTRK3-AS1	chr15	+	88252729	88271066
RGPD4-AS1	chr2	-	107823063	107826769
ZCCHC10	chr5	-	132996985	133026549
TMEM106A	chr17	+	43211874	43220037
OR9G9	chr11	+	56700387	56701305
NLRP2B	chrX	-	57677066	57680260
SMARCB1	chr22	+	23786965	23838009
CCDC140	chr2	+	222298146	222305217
SLC17A6	chr11	+	22338380	22379500
LINC00977	chr8	-	129216466	129241240
ZNF185	chrX	+	152941670	152973481
RPL23AP64	chr11	-	119002960	119003593
MTARC1	chr1	+	220786912	220819659
UNC5B	chr10	+	71212569	71302862
MIR548AO	chr8	-	41271047	41271143
SALRNA2	chr15	+	70635248	70637314
PAXIP1-DT	chr7	+	155003432	155005703
MIR31	chr9	-	21512114	21512185
LOC100287467	chr6	-	116367424	116371719
DRAM2	chr1	-	111117162	111140093
LOC101926968	chr3	+	118641767	118644157
OR6C4	chr12	+	55551226	55552156
MRPL35	chr2	+	86199432	86213794
IL1RAPL1	chrX	+	28587445	29956713
P2RX5	chr17	-	3673227	3696155
LOC107986794	chr7	-	51392377	51393256
FOXD4L5	chr9	-	65282100	65285209
CDH3	chr16	+	68645309	68699067
RRN3	chr16	-	15060021	15094335
HOXB13	chr17	-	48724764	48728750
PHIP	chr6	-	78934418	79078254
MIR4282	chr6	-	72967686	72967753
TMEM139-AS1	chr7	-	143255298	143286334
NCF1B	chr7	+	73220638	73235945
TNIP2P1	chrX	-	40831216	40833196
SNORD115-3	chr15	+	25174926	25175008
GPR142	chr17	+	74367505	74372600
MBD3L4	chr19	-	7037743	7040173
DNAJB6	chr7	+	157337003	157417439
FOXD4L4	chr9	+	65737145	65738396
MOCS2	chr5	-	53095678	53109757
EZHIP	chrX	+	51406947	51408841
NACA2	chr17	-	61590422	61591219
PIEZO2	chr18	-	10670246	11149569
PSPC1	chr13	-	19674751	19782945
SMIM10L2A	chrX	+	135421943	135428075
SCAMP1-AS1	chr5	-	78358763	78360541
ZNF283	chr19	+	43827320	43852017
DHRS7	chr14	-	60144118	60165398
MIR6793	chr19	+	10828972	10829035
CDYL2	chr16	-	80597906	80804598
RIOX2	chr3	-	97941817	97972431
ENPP7P13	chr16	+	33769376	33784275
SLC25A29	chr14	-	100291115	100306444
HEATR1	chr1	-	236549004	236604516
KRTAP12-2	chr21	-	44666188	44666927
MIR3164	chr11	+	69083175	69083258
TACC3	chr4	+	1721520	1745170
FAM3C	chr7	-	121348850	121396368
WASF1	chr6	-	110099818	110180004
NTSR2	chr2	-	11658177	11670195
MIR548I2	chr4	-	9556167	9556316
ASAH2	chr10	-	50184860	50251516
MIR3646	chr20	+	44408119	44408203
FAM47E-STBD1	chr4	+	76251699	76311130
RIC1	chr9	+	5629106	5776556
INSR	chr19	-	7112264	7294414
C8G	chr9	+	136945242	136946975
LGALS14	chr19	+	39704480	39709444
SKA2	chr17	-	59109856	59155186
MAGEA4	chrX	+	151912888	151925170
OR1K1	chr9	+	122800122	122801073
HPS1	chr10	-	98416197	98446935
TAAR3P	chr6	-	132608224	132609302
LINC01498	chr12	-	108459424	108473689
DNAJC25-GNG10	chr9	+	111631333	111670226
SNORD114-1	chr14	+	100949832	100949903
SPDYE13	chr7	-	73019911	73028419
SPDYE13	chr7	-	73048054	73056564
SPDYE13	chr7	-	73076164	73084691
SPDYE13	chr7	+	75280789	75289308
SPDYE13	chr7	+	75308717	75317236
SPDYE13	chr7	+	75336684	75345203
OACYLP	chr18	+	59035678	59053214
SNHG20	chr17	+	77088642	77094986
MTA1	chr14	+	105419826	105470729
LOC101929188	chr6	-	33631243	33633745
CEMIP2	chr9	-	71683365	71768513
PLOD2	chr3	-	146069440	146161184
ZNF439	chr19	+	11865956	11869486
FEM1B	chr15	+	68277744	68295857
KRBOX4	chrX	+	46447188	46474639
PWWP2B	chr10	+	132397199	132417854
NISCH	chr3	+	52455603	52493068
FLRT1	chr11	+	64036681	64119171
MIR6755	chr11	+	86278332	86278398
COPA	chr1	-	160288593	160343250
MET	chr7	+	116672195	116769910
SNAP29	chr22	+	20859006	20891213
LARP1B	chr4	+	128061311	128108901
LINC00587	chr9	+	102519636	102657509
UBQLNL	chr11	-	5514392	5516699
ZNF385B	chr2	-	179441983	179562588
NDUFA1	chrX	+	119871831	119876657
KLK4	chr19	-	50906351	50910738
PPP1R13B	chr14	-	103733195	103847575
ZNF236-DT	chr18	-	76794731	76822295
STK4-AS1	chr20	-	44963798	44966458
SFMBT2	chr10	-	7158623	7409341
LMOD2	chr7	+	123655865	123664287
PPARD	chr6	+	35342557	35428178
SLC26A10	chr12	+	57619526	57626151
ZNF479	chr7	-	57119618	57132436
C12orf29	chr12	+	88035535	88050160
CDH23-AS1	chr10	-	71508152	71511920
MIR8063	chr15	-	36972820	36972901
RAB9B	chrX	-	103822326	103832257
OR1S1	chr11	+	58212719	58216083
WASHC5	chr8	-	125024260	125091819
TBX10	chr11	-	67631302	67639560
USP31	chr16	-	23061406	23149270
IZUMO2	chr19	-	50152547	50163281
ZNF765-ZNF761	chr19	+	53395148	53458261
DIO3OS	chr14	-	101557299	101560422
TFRC	chr3	-	196049283	196082090
PTRHD1	chr2	-	24789727	24793391
ACTA2	chr10	-	88935073	88991397
PKD1P3-NPIPA1	chr16	+	14911761	14952060
ELAC2	chr17	-	12991611	13018064
TPPP2	chr14	+	21030216	21032815
TATDN2	chr3	+	10248458	10281218
NANP	chr20	-	25612935	25624014
MIR3977	chr5	+	82840154	82840224
NUP88	chr17	-	5384832	5419739
IPO5P1	chr19	-	23255053	23274251
FAM187A	chr17	+	44903829	44905390
MIR1301	chr2	-	25328639	25328721
LYRM4	chr6	-	5108418	5260950
NPL	chr1	+	182789772	182830384
NIPAL4	chr5	+	157460018	157474722
LINC01620	chr20	-	44461762	44465344
MIR4453HG	chr4	+	152536263	152539263
MIR141	chr12	+	6964096	6964191
REP15	chr12	+	27696446	27697589
OR2A4	chr6	-	131699643	131701401
DLX5	chr7	-	97020395	97024831
CYP4A11	chr1	-	46929187	46941476
SNORD115-17	chr15	+	25201322	25201404
WDR88	chr19	+	33132113	33175797
MIR4700	chr12	+	120723192	120723266
MAPKBP1	chr15	+	41774483	41827855
SLC15A2	chr3	+	121894400	121944188
BOLA3-AS1	chr2	+	74147980	74149054
GCKR	chr2	+	27496838	27523683
SGPL1	chr10	+	70815947	70881175
ZNF365	chr10	+	62374156	62480289
YES1	chr18	-	721587	812242
ADAP1	chr7	-	897899	927216
CFAP221	chr2	+	119544431	119631086
PLLP	chr16	-	57256096	57284672
SNORD114-6	chr14	+	100957165	100957236
LOC101927932	chr20	-	58863755	58888810
GATA1	chrX	+	48786589	48794310
TYR	chr11	+	89177874	89295759
FAM98C	chr19	+	38403134	38409088
SRD5A1	chr5	+	6633439	6674383
BICD2	chr9	-	92711362	92764833
MIR7849	chr4	+	146408582	146408688
ALDH2	chr12	+	111766932	111817531
MIR518B	chr19	+	53702736	53702819
RHAG	chr6	-	49605176	49636839
RPS5	chr19	+	58387268	58394804
CENPS	chr1	+	10430749	10442808
ANXA9	chr1	+	150982291	150995633
PUS1	chr12	+	131929275	131945896
NAP1L2	chrX	-	73212300	73214851
KRTAP12-4	chr21	-	44654212	44654659
BMS1P18	chr14	+	19306689	19316914
MIR181A2	chr9	+	124692441	124692551
MMP21	chr10	-	125766455	125775821
AGR3	chr7	-	16859411	16881983
SMC1A	chrX	-	53374148	53422654
TULP1	chr6	-	35497873	35512896
HINT3	chr6	+	125956769	125980243
MIR642A	chr19	+	45674927	45675024
FBXL8	chr16	+	67159956	67164174
S100A10	chr1	-	151982915	151993859
LINC01767	chr1	+	56414962	56415966
THEM6	chr8	+	142727222	142736927
ZNF66	chr19	+	20776303	20809995
MIR637	chr19	-	3961413	3961512
POLRMT	chr19	-	617220	633537
C9orf163	chr9	+	136483009	136486067
RBM15B	chr3	+	51391284	51397905
TBC1D9B	chr5	-	179862070	179907897
GNRH2	chr20	+	3043621	3045747
AGAP9	chr10	-	47501853	47523638
MIR6866	chr17	+	40161932	40162001
CLCN5	chrX	+	49922595	50042541
RNU1-4	chr1_KI270713v1_random	-	21860	22024
MIR541	chr14	+	101064494	101064578
GOLGA5	chr14	+	92794304	92839947
RRP1B	chr21	+	43659559	43696079
SRGAP2	chr1	+	206203540	206464436
MIR124-1	chr8	-	9903387	9903472
LOC101928596	chr1	+	169104123	169104906
SEPTIN10	chr2	-	109542798	109613667
CEP120	chr5	-	123344884	123423592
MIR6718	chr18	+	3885352	3885432
LNC-LBCS	chr6	-	19802163	19804759
ABCB10	chr1	-	229516581	229558707
LINC01792	chr2	-	200712304	200735177
MYLK4	chr6	-	2663636	2770376
LOC100506422	chr9	+	26066674	26118408
SPIRE2	chr16	+	89828474	89871319
POLR2B	chr4	+	56978639	57031162
MFAP1	chr15	-	43804491	43824690
HDGFL1	chr6	+	22569565	22571665
RPS26P11	chrX	+	72044408	72044961
LINC02817	chr1	-	221329927	221336296
LINC00652	chr20	-	18787970	18793982
AMMECR1L	chr2	-	127861630	127885956
SCRT2	chr20	-	661595	675802
TGFA	chr2	-	70447284	70553826
PLSCR3	chr17	-	7389727	7394525
LINC02024	chr3	-	117678692	117690925
SLC2A3	chr12	-	7919229	7936187
HCG22	chr6	+	31053449	31059878
ZNF271P	chr18	+	35290271	35310766
C6orf62	chr6	-	24704860	24719154
TSSC4	chr11	+	2400749	2403876
TEX13D	chrX	+	124332659	124336863
ZNF334	chr20	-	46499629	46513572
LOC105373352	chr2	+	558200	562092
H2AB2	chrX	+	154884971	154885562
H2AB2	chrX	+	155380708	155381299
H2AB2	chrX	-	155459414	155460005
MIR1324	chr3	+	75630762	75630858
LOC100996720	chr1	-	120913340	120914114
COL3A1	chr2	+	188974372	189012746
NUP62CL	chrX	-	107123426	107206433
CCL11	chr17	+	34285741	34288334
FKBP15	chr9	-	113161005	113221277
NXPE2	chr11	+	114678526	114707069
ZNF169	chr9	+	94259297	94301829
TMEM256	chr17	-	7402975	7404097
LINC02728	chr11	-	78423982	78429836
PRR13	chr12	+	53441648	53446643
BGLT3	chr11	-	5244553	5245546
LINC00676	chr13	+	109728273	109730034
LAMB1	chr7	-	107923798	108003161
CXorf49	chrX	-	71714373	71718285
CXorf49	chrX	+	71763289	71767201
MIR10396A	chr21	+	8436324	8436372
MIR10396A	chr21	+	8987616	8987665
MIR10396A	chr22_KI270733v1_random	+	125374	125423
MIR10396A	chrUn_GL000220v1	+	108526	108574
NUS1	chr6	+	117675468	117710723
OPN1SW	chr7	-	128772488	128775790
SLITRK1	chr13	-	83877204	83882474
SCN8A	chr12	+	51591235	51812864
NABP1	chr2	+	191678135	191690667
RAB3C	chr5	+	58583074	58859394
SLC35F2	chr11	-	107790990	107858787
ELOVL5	chr6	-	53267403	53348950
MIR194-1	chr1	-	220118156	220118241
ZCCHC8	chr12	-	122471599	122500932
KIR2DL4	chr19	+	54803609	54814517
SLC1A7	chr1	-	53087182	53142638
BRK1	chr3	+	10115674	10127190
RGS18	chr1	+	192158461	192185815
KIF24	chr9	-	34252379	34329268
CYS1	chr2	-	10056798	10080411
USP17L26	chr4	+	9325164	9326757
USP17L26	chr4	+	9329910	9331503
USP17L26	chr4	+	9334657	9336250
USP17L26	chr4	+	9339402	9340995
USP17L26	chr4	+	9344147	9345740
USP17L26	chr4	+	9348892	9350485
USP17L26	chr4	+	9353637	9355230
USP17L26	chr4	+	9363128	9364721
TK2	chr16	-	66508002	66550122
CYTOR	chr2	+	87469949	87521518
CMTM7	chr3	+	32391852	32455528
MIR4301	chr11	-	113450022	113450088
FFAR1	chr19	+	35351541	35352464
LOC101060553	chr13	-	111148196	111153577
LINC01601	chr18	+	44531778	44553903
HECW2-AS1	chr2	+	196260023	196264204
GSDMA	chr17	+	39963003	39977768
MIR4464	chr6	+	90312741	90312833
UBE2V1	chr20	-	50081123	50113150
OR1J2	chr9	+	122510801	122511743
FOSL2	chr2	+	28392857	28417317
SPAG4	chr20	+	35615883	35621094
TMEM54	chr1	-	32894594	32901389
SMIM30	chr7	-	113116717	113118554
OR1C1	chr1	-	247757461	247758406
HAVCR1	chr5	-	157029412	157058241
CTU1	chr19	-	51097605	51108409
ADIPOR2	chr12	+	1691069	1788673
MIR5189	chr16	+	88468917	88469031
HIC1	chr17	+	2055102	2063241
BCHE	chr3	-	165772903	165837423
TTTY15	chrY	+	12662366	12692224
NPAS3	chr14	+	32938878	33804173
DEFB127	chr20	+	157453	159163
ITPRIPL2	chr16	+	19113963	19121628
NDUFS1	chr2	-	206114816	206159444
TUBA4B	chr2	+	219253242	219272197
SLC10A6	chr4	-	86823467	86849384
SNORD119	chr20	-	2462951	2463047
