chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr3	127292685	127293205	chr3:127292685-127293205:.	0.002576031	.	chr3:127292685-127293205:.	chr3	129035120	129035121	-	-0.012746818758592567	0.017898880758592566	H1FX	ENSG00000184897	NA	NA	False	0.8034728973354658	0.985290685416577	1.0	1	1	TRUE	NA
chr3	127293725	127294245	chr3:127293725-127294245:.	0.015903322	.	chr3:127293725-127294245:.	chr3	129035120	129035121	-	-0.001534067352795005	0.03334071135279501	H1FX	ENSG00000184897	NA	NA	False	0.11657531232910022	0.582876561645501	1.0	1	1	TRUE	NA
chr3	127303265	127303845	chr3:127303265-127303845:.	0.016112883999999997	.	chr3:127303265-127303845:.	chr3	129035120	129035121	-	-0.0012000925721632194	0.033425860572163214	H1FX	ENSG00000184897	NA	NA	False	0.14599965838642584	0.652460555421609	1.0	1	1	TRUE	NA
chr3	127309425	127309925	chr3:127309425-127309925:.	0.0112364	.	chr3:127309425-127309925:.	chr3	129035120	129035121	-	-0.003646149888562591	0.026118949888562594	H1FX	ENSG00000184897	NA	NA	False	0.24304536002207916	0.754249892690118	1.0	1	1	TRUE	NA
chr3	127314125	127314645	chr3:127314125-127314645:.	0.0017205410000000001	.	chr3:127314125-127314645:.	chr3	129035120	129035121	-	-0.01813329899873515	0.021574380998735147	H1FX	ENSG00000184897	NA	NA	False	0.9050852895623024	0.985290685416577	0.999999999999948	1	1	TRUE	NA
chr3	127316945	127317445	chr3:127316945-127317445:.	0.01145485	.	chr3:127316945-127317445:.	chr3	129035120	129035121	-	-0.005564791458866085	0.02847449145886609	H1FX	ENSG00000184897	NA	NA	False	0.2595453452571746	0.754249892690118	1.0	1	1	TRUE	NA
chr3	127347585	127348125	chr3:127347585-127348125:.	0.004538715	.	chr3:127347585-127348125:.	chr3	129035120	129035121	-	-0.010971339582780487	0.020048769582780488	H1FX	ENSG00000184897	NA	NA	False	0.6324225007102287	0.9210036418110129	1.0	1	1	TRUE	NA
chr3	127348905	127349405	chr3:127348905-127349405:.	0.007921958	.	chr3:127348905-127349405:.	chr3	129035120	129035121	-	-0.01624364588880946	0.03208756188880946	H1FX	ENSG00000184897	NA	NA	False	0.5560959929983256	0.885365436197885	0.9999999971294209	1	1	TRUE	NA
chr3	127353445	127353945	chr3:127353445-127353945:.	0.027148999	.	chr3:127353445-127353945:.	chr3	129035120	129035121	-	0.0017328401222173502	0.05256515787778265	H1FX	ENSG00000184897	NA	NA	False	0.053962577797658486	0.455418992972258	0.9999999594108849	1	1	TRUE	NA
chr3	127391465	127392045	chr3:127391465-127392045:.	0.033445247000000004	.	chr3:127391465-127392045:.	chr3	129035120	129035121	-	0.019969741951803045	0.04692075204819696	H1FX	ENSG00000184897	NA	NA	True	5.75807338980761e-05	0.00215927752117785	1.0	1	1	TRUE	NA
chr3	127402465	127403005	chr3:127402465-127403005:.	-0.013204947	.	chr3:127402465-127403005:.	chr3	129035120	129035121	-	-0.03827282131658555	0.011862927316585547	H1FX	ENSG00000184897	NA	NA	False	0.2596582026159185	0.754249892690118	0.9999999945373349	1	1	TRUE	NA
