chrom	chromStart	chromEnd	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr17	72680549	72685249	Peak_1079|chr17:72680549-72685249	-0.73767	.	Peak_1079|chr17:72680549-72685249	chr17	72680549	72685249	NA	NA	NA	Peak_1079	NA	NA	NA	TRUE	0.0054814	0.136718	NA	NA	NA	NA	NA
chr20	35263000	35264431	Peak_11341|chr20:35263000-35264431	-0.40938	.	Peak_11341|chr20:35263000-35264431	chr20	35263000	35264431	NA	NA	NA	Peak_11341	NA	NA	NA	TRUE	0.0046422	0.118937	NA	NA	NA	NA	NA
chr19	17779779	17780306	Peak_13975|chr19:17779779-17780306	-0.93076	.	Peak_13975|chr19:17779779-17780306	chr19	17779779	17780306	NA	NA	NA	Peak_13975	NA	NA	NA	TRUE	0.0024469	0.074484	NA	NA	NA	NA	NA
chr12	6218215	6219181	Peak_16681|chr12:6218215-6219181	-0.50367	.	Peak_16681|chr12:6218215-6219181	chr12	6218215	6219181	NA	NA	NA	Peak_16681	NA	NA	NA	TRUE	0.0030239	0.086421	NA	NA	NA	NA	NA
chr10	28081873	28083610	Peak_17830|chr10:28081873-28083610	-0.9274	.	Peak_17830|chr10:28081873-28083610	chr10	28081873	28083610	NA	NA	NA	Peak_17830	NA	NA	NA	TRUE	0.0046427	0.118937	NA	NA	NA	NA	NA
chr10	112544366	112546005	Peak_18153|chr10:112544366-112546005	-2.104	.	Peak_18153|chr10:112544366-112546005	chr10	112544366	112546005	NA	NA	NA	Peak_18153	NA	NA	NA	TRUE	0.0014923	0.051208	NA	NA	NA	NA	NA
chr2	181931651	181934575	Peak_18487|chr2:181931651-181934575	-1.5585	.	Peak_18487|chr2:181931651-181934575	chr2	181931651	181934575	NA	NA	NA	Peak_18487	NA	NA	NA	TRUE	0.00064219	0.025958	NA	NA	NA	NA	NA
chr16	88922711	88923473	Peak_21595|chr16:88922711-88923473	-1.1566	.	Peak_21595|chr16:88922711-88923473	chr16	88922711	88923473	NA	NA	NA	Peak_21595	NA	NA	NA	TRUE	0.0010466	0.038848	NA	NA	NA	NA	NA
chr17	75702618	75704262	Peak_23002|chr17:75702618-75704262	-0.3101	.	Peak_23002|chr17:75702618-75704262	chr17	75702618	75704262	NA	NA	NA	Peak_23002	NA	NA	NA	TRUE	0.0066717	0.158776	NA	NA	NA	NA	NA
chr16	57763670	57764211	Peak_23703|chr16:57763670-57764211	-0.84881	.	Peak_23703|chr16:57763670-57764211	chr16	57763670	57764211	NA	NA	NA	Peak_23703	NA	NA	NA	TRUE	0.006008	0.146466	NA	NA	NA	NA	NA
chr9	133449596	133450656	Peak_24720|chr9:133449596-133450656	-0.91359	.	Peak_24720|chr9:133449596-133450656	chr9	133449596	133450656	NA	NA	NA	Peak_24720	NA	NA	NA	TRUE	0.0025031	0.075945	NA	NA	NA	NA	NA
chr11	119126537	119127169	Peak_26954|chr11:119126537-119127169	-1.419	.	Peak_26954|chr11:119126537-119127169	chr11	119126537	119127169	NA	NA	NA	Peak_26954	NA	NA	NA	TRUE	0.0012726	0.044374	NA	NA	NA	NA	NA
chrX	19875418	19875928	Peak_27378|chrX:19875418-19875928	-0.87909	.	Peak_27378|chrX:19875418-19875928	chrX	19875418	19875928	NA	NA	NA	Peak_27378	NA	NA	NA	TRUE	0.0017935	0.059302	NA	NA	NA	NA	NA
chr5	663457	663878	Peak_27562|chr5:663457-663878	-0.52083	.	Peak_27562|chr5:663457-663878	chr5	663457	663878	NA	NA	NA	Peak_27562	NA	NA	NA	TRUE	0.0034174	0.096067	NA	NA	NA	NA	NA
chr7	135253767	135254315	Peak_28195|chr7:135253767-135254315	-0.87554	.	Peak_28195|chr7:135253767-135254315	chr7	135253767	135254315	NA	NA	NA	Peak_28195	NA	NA	NA	TRUE	0.0076595	0.179868	NA	NA	NA	NA	NA
chr9	110977053	110977651	Peak_32241|chr9:110977053-110977651	-0.88375	.	Peak_32241|chr9:110977053-110977651	chr9	110977053	110977651	NA	NA	NA	Peak_32241	NA	NA	NA	TRUE	0.002417	0.073724	NA	NA	NA	NA	NA
chr12	124680940	124681378	Peak_32577|chr12:124680940-124681378	-0.77398	.	Peak_32577|chr12:124680940-124681378	chr12	124680940	124681378	NA	NA	NA	Peak_32577	NA	NA	NA	TRUE	0.0043542	0.115241	NA	NA	NA	NA	NA
chr5	882265	883108	Peak_35284|chr5:882265-883108	-0.95416	.	Peak_35284|chr5:882265-883108	chr5	882265	883108	NA	NA	NA	Peak_35284	NA	NA	NA	TRUE	0.0030245	0.086421	NA	NA	NA	NA	NA
chr20	31576943	31577799	Peak_37547|chr20:31576943-31577799	-1.0449	.	Peak_37547|chr20:31576943-31577799	chr20	31576943	31577799	NA	NA	NA	Peak_37547	NA	NA	NA	TRUE	0.0030239	0.086421	NA	NA	NA	NA	NA
chr17	4942711	4943737	Peak_39014|chr17:4942711-4943737	-1.5066	.	Peak_39014|chr17:4942711-4943737	chr17	4942711	4943737	NA	NA	NA	Peak_39014	NA	NA	NA	TRUE	0.0049829	0.126851	NA	NA	NA	NA	NA
chr22	41281246	41281830	Peak_39475|chr22:41281246-41281830	-1.0766	.	Peak_39475|chr22:41281246-41281830	chr22	41281246	41281830	NA	NA	NA	Peak_39475	NA	NA	NA	TRUE	0.0019248	0.062566	NA	NA	NA	NA	NA
chr16	74557234	74557881	Peak_41476|chr16:74557234-74557881	-1.1451	.	Peak_41476|chr16:74557234-74557881	chr16	74557234	74557881	NA	NA	NA	Peak_41476	NA	NA	NA	TRUE	0.00065595	0.026269	NA	NA	NA	NA	NA
chr8	144322817	144323262	Peak_48125|chr8:144322817-144323262	-0.87717	.	Peak_48125|chr8:144322817-144323262	chr8	144322817	144323262	NA	NA	NA	Peak_48125	NA	NA	NA	TRUE	0.0015336	0.052416	NA	NA	NA	NA	NA
chr1	11960228	11960471	Peak_50204|chr1:11960228-11960471	-0.61838	.	Peak_50204|chr1:11960228-11960471	chr1	11960228	11960471	NA	NA	NA	Peak_50204	NA	NA	NA	TRUE	0.0025358	0.076516	NA	NA	NA	NA	NA
chr3	98510826	98517634	Peak_5047|chr3:98510826-98517634	-0.85701	.	Peak_5047|chr3:98510826-98517634	chr3	98510826	98517634	NA	NA	NA	Peak_5047	NA	NA	NA	TRUE	0.0018463	0.060467	NA	NA	NA	NA	NA
chr19	579388	579612	Peak_50608|chr19:579388-579612	-3.4506	.	Peak_50608|chr19:579388-579612	chr19	579388	579612	NA	NA	NA	Peak_50608	NA	NA	NA	TRUE	0.0022197	0.070186	NA	NA	NA	NA	NA
chr22	50257240	50257635	Peak_55510|chr22:50257240-50257635	-0.49797	.	Peak_55510|chr22:50257240-50257635	chr22	50257240	50257635	NA	NA	NA	Peak_55510	NA	NA	NA	TRUE	0.0044724	0.11608	NA	NA	NA	NA	NA
chr22	24990283	24992539	Peak_6216|chr22:24990283-24992539	-2.0915	.	Peak_6216|chr22:24990283-24992539	chr22	24990283	24992539	NA	NA	NA	Peak_6216	NA	NA	NA	TRUE	0.0011539	0.04123	NA	NA	NA	NA	NA
