chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	0.010760025	.	chr19:12313025-12313565:.	chr19	12998017	12998018	-	-0.003502578938702738	0.02502262893870274	KLF1	ENSG00000105610	NA	NA	False	0.2096502840319188	0.6245434357610229	1.0	1	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	-0.014449695	.	chr19:12404485-12405065:.	chr19	12998017	12998018	-	-0.03316279334569867	0.004263403345698668	KLF1	ENSG00000105610	NA	NA	False	0.08381483565691403	0.565902023512827	1.0	1	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	0.003706176	.	chr19:12405465-12405965:.	chr19	12998017	12998018	-	-0.00860015663158981	0.01601250863158981	KLF1	ENSG00000105610	NA	NA	False	0.6583001387428616	0.8876461626460871	1.0	1	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	-0.016376141	.	chr19:12441885-12442945:.	chr19	12998017	12998018	-	-0.0360842509682521	0.003331968968252101	KLF1	ENSG00000105610	NA	NA	False	0.05849455264272532	0.4804909681366721	0.999999999999999	1	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.005049665	.	chr19:12444345-12444845:.	chr19	12998017	12998018	-	-0.007359768340426679	0.01745909834042668	KLF1	ENSG00000105610	NA	NA	False	0.5547509952728995	0.8210432327332591	1.0	1	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	-0.007324814	.	chr19:12476305-12476805:.	chr19	12998017	12998018	-	-0.022064372516915474	0.007414744516915474	KLF1	ENSG00000105610	NA	NA	False	0.2800207611778867	0.715608611899044	1.0	1	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	-0.002654647	.	chr19:12511905-12512405:.	chr19	12998017	12998018	-	-0.01626918809420218	0.010959894094202182	KLF1	ENSG00000105610	NA	NA	False	0.6994337715371063	0.903762738503002	1.0	1	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	-0.004627115	.	chr19:12522625-12523145:.	chr19	12998017	12998018	-	-0.017353365226475057	0.008099135226475058	KLF1	ENSG00000105610	NA	NA	False	0.5568814969842976	0.8210432327332591	1.0	1	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	-0.001117188	.	chr19:12551685-12552205:.	chr19	12998017	12998018	-	-0.01814604002662747	0.015911664026627467	KLF1	ENSG00000105610	NA	NA	False	0.8466553469434556	0.9545624009656609	1.0	1	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	-0.009965294	.	chr19:12595405-12595925:.	chr19	12998017	12998018	-	-0.027257230650647574	0.007326642650647575	KLF1	ENSG00000105610	NA	NA	False	0.15069295687417775	0.6127131103732011	1.0	1	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	0.004992202	.	chr19:12605985-12606485:.	chr19	12998017	12998018	-	-0.006150231105910289	0.01613463510591029	KLF1	ENSG00000105610	NA	NA	False	0.5224395554634205	0.8210432327332591	1.0	1	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	-0.00435231	.	chr19:12632705-12633245:.	chr19	12998017	12998018	-	-0.03499214910000675	0.026287529100006757	KLF1	ENSG00000105610	NA	NA	False	0.6792422809813532	0.8876461626460871	0.9999992108524541	1	1	TRUE	NA
chr19	12654525	12655045	chr19:12654525-12655045:.	-0.0009693130000000001	.	chr19:12654525-12655045:.	chr19	12998017	12998018	-	-0.021215830672932683	0.019277204672932684	KLF1	ENSG00000105610	NA	NA	False	0.9080768461208941	0.96525104738196	0.99999999999852	1	1	TRUE	NA
