chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr10	80697384	80697884	chr10:80697384-80697884:.	0.0545405	.	chr10:80697384-80697884:.	chr10	81107219	81107220	+	-0.0348337253687681	0.1439147253687681	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3386023950954096	0.8114804669619	0.370122339752569	0.9973759656927109	0.999999999999999	TRUE	NA
chr10	80712792	80713292	chr10:80712792-80713292:.	0.025921800000000002	.	chr10:80712792-80713292:.	chr10	81107219	81107220	+	-0.05731663047489432	0.10916023047489432	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6380961762816222	0.932330086623278	0.43605214593124303	0.9992302272531549	1.0	TRUE	NA
chr10	80733271	80733771	chr10:80733271-80733771:.	0.013335299999999998	.	chr10:80733271-80733771:.	chr10	81107219	81107220	+	-0.06524037302757946	0.09191097302757945	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8429885977388525	0.957848141855323	0.317199163399668	0.998761546392943	1.0	TRUE	NA
chr10	80734193	80734693	chr10:80734193-80734693:.	0.0362055	.	chr10:80734193-80734693:.	chr10	81107219	81107220	+	-0.0512083957174561	0.1236193957174561	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5503794824828493	0.932330086623278	0.32871353602573805	0.996950117106738	1.0	TRUE	NA
chr10	80741256	80741756	chr10:80741256-80741756:.	0.07188560000000001	.	chr10:80741256-80741756:.	chr10	81107219	81107220	+	-0.02396130786459244	0.16773250786459246	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.2425507871050438	0.8114804669619	0.303791995269058	0.992185183892577	0.999999999999859	TRUE	NA
chr10	80750872	80751372	chr10:80750872-80751372:.	-0.0727126	.	chr10:80750872-80751372:.	chr10	81107219	81107220	+	-0.26554247704433764	0.12011727704433765	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6482906686306961	0.932330086623278	0.00661793117860202	0.16594135720542702	0.9383889291775641	TRUE	NA
chr10	80752107	80752607	chr10:80752107-80752607:.	-0.058065099999999994	.	chr10:80752107-80752607:.	chr10	81107219	81107220	+	-0.13956242079598097	0.023432220795980993	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.2611865719903648	0.8114804669619	0.38361992021146707	0.9990160172299041	1.0	TRUE	NA
chr10	80761374	80761874	chr10:80761374-80761874:.	0.15654400000000002	.	chr10:80761374-80761874:.	chr10	81107219	81107220	+	0.006286737156918243	0.3068012628430818	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.12266402413855487	0.519518219880938	0.0768773028605252	0.6891351532778989	0.999889213261053	TRUE	NA
chr10	80767094	80767594	chr10:80767094-80767594:.	0.0067392	.	chr10:80767094-80767594:.	chr10	81107219	81107220	+	-0.13119263918108212	0.14467103918108212	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9403648355637688	0.967232402294162	0.326863054567895	0.9490285695683481	0.9999998380696179	TRUE	NA
chr10	80807006	80807506	chr10:80807006-80807506:.	-0.014900499999999999	.	chr10:80807006-80807506:.	chr10	81107219	81107220	+	-0.13879099834078942	0.10898999834078943	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7998108273402332	0.955235269903362	0.26208514891510004	0.9526638727929341	0.999999982877253	TRUE	NA
chr10	80812018	80812518	chr10:80812018-80812518:.	0.027916200000000002	.	chr10:80812018-80812518:.	chr10	81107219	81107220	+	-0.06697948008242971	0.12281188008242971	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.6235354433031064	0.932330086623278	0.41130147754251	0.9968673872451541	0.9999999999999909	TRUE	NA
chr10	80826377	80826877	chr10:80826377-80826877:.	-0.0038277999999999997	.	chr10:80826377-80826877:.	chr10	81107219	81107220	+	-0.11101146491460391	0.1033558649146039	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9265656810807766	0.966851145475593	0.268462587498887	0.9786501757964571	0.9999999999376421	TRUE	NA
chr10	80826955	80827561	chr10:80826955-80827561:.	-0.0105984	.	chr10:80826955-80827561:.	chr10	81107219	81107220	+	-0.10506980541120264	0.08387300541120266	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7961003716808598	0.955235269903362	0.47194007069601	0.9981310405051391	0.9999999999999979	TRUE	NA
chr10	80827796	80829041	chr10:80827796-80829041:.	-0.0378846	.	chr10:80827796-80829041:.	chr10	81107219	81107220	+	-0.10116080508052583	0.025391605080525827	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.25661633083771274	0.8114804669619	0.763665603045976	0.999999582935465	1.0	TRUE	NA
chr10	80829081	80829581	chr10:80829081-80829581:.	0.0699017	.	chr10:80829081-80829581:.	chr10	81107219	81107220	+	-0.028051260156386842	0.16785466015638684	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.35876391165143795	0.8114804669619	0.140566995376331	0.963713187662944	0.9999999999771478	TRUE	NA
chr10	80838306	80838806	chr10:80838306-80838806:.	0.05357669999999999	.	chr10:80838306-80838806:.	chr10	81107219	81107220	+	-0.06258314144216248	0.16973654144216246	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5471435183160451	0.932330086623278	0.0929147758579156	0.8706979533771201	0.999999909349042	TRUE	NA
chr10	80843959	80844459	chr10:80843959-80844459:.	-0.0038948	.	chr10:80843959-80844459:.	chr10	81107219	81107220	+	-0.0846339403825583	0.07684434038255829	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9194188201708058	0.966851145475593	0.28892185155229105	0.9978988639989449	1.0	TRUE	NA
chr10	80844737	80845237	chr10:80844737-80845237:.	0.031515800000000004	.	chr10:80844737-80845237:.	chr10	81107219	81107220	+	-0.05091734323740938	0.1139489432374094	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5466304883438067	0.932330086623278	0.47054665178303795	0.999486517978466	1.0	TRUE	NA
chr10	80850031	80850531	chr10:80850031-80850531:.	0.1088316	.	chr10:80850031-80850531:.	chr10	81107219	81107220	+	0.006662687528378813	0.2110005124716212	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.1199003076287626	0.519518219880938	0.203184303248642	0.9734289562979129	0.9999999999693521	TRUE	NA
chr10	80853310	80853810	chr10:80853310-80853810:.	0.0194108	.	chr10:80853310-80853810:.	chr10	81107219	81107220	+	-0.08696518104638976	0.12578678104638977	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7818587447713023	0.955235269903362	0.28203165970147603	0.9815074615662941	0.999999999965735	TRUE	NA
chr10	80861481	80861981	chr10:80861481-80861981:.	0.06497040000000001	.	chr10:80861481-80861981:.	chr10	81107219	81107220	+	-0.012123711917841493	0.14206451191784153	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.21559842598908308	0.8114804669619	0.43060852736368	0.999644882977677	1.0	TRUE	NA
chr10	80884346	80885339	chr10:80884346-80885339:.	-0.0107661	.	chr10:80884346-80885339:.	chr10	81107219	81107220	+	-0.09831456067569283	0.07678236067569283	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7969404492182444	0.955235269903362	0.454642252221162	0.99892072054684	1.0	TRUE	NA
chr10	80897464	80897964	chr10:80897464-80897964:.	-0.0364915	.	chr10:80897464-80897964:.	chr10	81107219	81107220	+	-0.12549700897142627	0.05251400897142627	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4446557792210498	0.914720460111874	0.445054407885612	0.998634127075736	1.0	TRUE	NA
chr10	80909259	80909759	chr10:80909259-80909759:.	0.0021826999999999997	.	chr10:80909259-80909759:.	chr10	81107219	81107220	+	-0.12452408909872255	0.12888948909872255	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.9986671246018056	0.998667124601806	0.19419257160623699	0.9187943565013671	0.999999878447043	TRUE	NA
chr10	80938460	80938960	chr10:80938460-80938960:.	0.010007299999999998	.	chr10:80938460-80938960:.	chr10	81107219	81107220	+	-0.07606924434119886	0.09608384434119885	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8829640504725403	0.9632335096064081	0.380219209336309	0.9982790352264871	1.0	TRUE	NA
chr10	80955079	80955579	chr10:80955079-80955579:.	0.0097721	.	chr10:80955079-80955579:.	chr10	81107219	81107220	+	-0.06481667486847323	0.08436087486847324	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8647240169527225	0.957848141855323	0.541600595299538	0.999917869710541	1.0	TRUE	NA
chr10	80956623	80957123	chr10:80956623-80957123:.	0.046593199999999994	.	chr10:80956623-80957123:.	chr10	81107219	81107220	+	-0.02373006521679464	0.11691646521679463	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3315478732360766	0.8114804669619	0.531326286390165	0.9999579213309009	1.0	TRUE	NA
chr10	80962171	80962671	chr10:80962171-80962671:.	-0.0625788	.	chr10:80962171-80962671:.	chr10	81107219	81107220	+	-0.1935986870394572	0.06844108703945719	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.2327873496558229	0.8114804669619	0.41630821997689704	0.9760070287937991	0.99999999075462	TRUE	NA
chr10	80967159	80967659	chr10:80967159-80967659:.	0.10729200000000001	.	chr10:80967159-80967659:.	chr10	81107219	81107220	+	0.02157732468272526	0.19300667531727478	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.032002114830927575	0.192012688985565	0.468816359347125	0.999222145506376	1.0	TRUE	NA
