name	CRE_activity_summit	qpcr	group	grna_id
RAND-2_NT 	0	1.215964146	NT	RAND-2_NT 
chr11:61804432-61804454:- 	0	1.302527797	NT	chr11:61804436-61804455:-
chr11:61817243-61817265:-	4.018397865	0.157858596	targeting	chr11:61817247-61817266:-
chr11:61834526-61834548:+	2.161370894	0.330684714	targeting	chr11:61834526-61834545:+
chr11:61834526-61834548:+	1.606420667	0.330684714	targeting	chr11:61834526-61834545:+
chr11:61834526-61834548:+	4.034462598	0.330684714	targeting	chr11:61834526-61834545:+
chr11:61834531-61834553:+	2.161370894	0.401937518	targeting	chr11:61834531-61834550:+
chr11:61834531-61834553:+	1.606420667	0.401937518	targeting	chr11:61834531-61834550:+
chr11:61834531-61834553:+	4.034462598	0.401937518	targeting	chr11:61834531-61834550:+
chr11:61841782-61841804:+	2.039929761	0.306546986	targeting	chr11:61841782-61841801:+
chr11:61841782-61841804:+	1.162227952	0.306546986	targeting	chr11:61841782-61841801:+
chr11:61841782-61841804:+	0.892564381	0.306546986	targeting	chr11:61841782-61841801:+
chr11:61842040-61842062:-	2.039929761	0.368966912	targeting	chr11:61842043-61842062:-
chr11:61842040-61842062:-	1.162227952	0.368966912	targeting	chr11:61842043-61842062:-
chr11:61842040-61842062:-	0.892564381	0.368966912	targeting	chr11:61842043-61842062:-
chr11:61871471-61871493:+	1.899700873	0.585440693	targeting	chr11:61871471-61871490:+
chr11:61871471-61871493:+	-1.355925556	0.585440693	targeting	chr11:61871471-61871490:+
