name	CRE_activity_summit	CRE_name	qpcr	group	grna_id
RAND-2_NT 	0	NA	1.306875697	NT	RAND-2_NT 
chr11:61804432-61804454:- 	0	NA	1.247312323	NT	chr11:61804436-61804455:-
chr11:61817243-61817265:-	4.018397865	chr11:61814000-61818400	1.222766651	targeting	chr11:61817247-61817266:-
chr11:61834526-61834548:+	2.161370894	chr11:61833500-61835900	0.449096173	targeting	chr11:61834526-61834545:+
chr11:61834526-61834548:+	1.606420667	chr11:61833800-61835700	0.449096173	targeting	chr11:61834526-61834545:+
chr11:61834526-61834548:+	4.034462598	chr11:61833100-61835900	0.449096173	targeting	chr11:61834526-61834545:+
chr11:61834531-61834553:+	2.161370894	chr11:61833500-61835900	0.517301889	targeting	chr11:61834531-61834550:+
chr11:61834531-61834553:+	1.606420667	chr11:61833800-61835700	0.517301889	targeting	chr11:61834531-61834550:+
chr11:61834531-61834553:+	4.034462598	chr11:61833100-61835900	0.517301889	targeting	chr11:61834531-61834550:+
chr11:61841782-61841804:+	2.039929761	chr11:61841200-61842900	0.581144848	targeting	chr11:61841782-61841801:+
chr11:61841782-61841804:+	1.162227952	chr11:61841500-61842400	0.581144848	targeting	chr11:61841782-61841801:+
chr11:61841782-61841804:+	0.892564381	chr11:61841500-61842900	0.581144848	targeting	chr11:61841782-61841801:+
chr11:61842040-61842062:-	2.039929761	chr11:61841200-61842900	0.766515214	targeting	chr11:61842043-61842062:-
chr11:61842040-61842062:-	1.162227952	chr11:61841500-61842400	0.766515214	targeting	chr11:61842043-61842062:-
chr11:61842040-61842062:-	0.892564381	chr11:61841500-61842900	0.766515214	targeting	chr11:61842043-61842062:-
chr11:61871471-61871493:+	1.899700873	chr11:61868900-61871800	1.170995489	targeting	chr11:61871471-61871490:+
chr11:61871471-61871493:+	-1.355925556	chr11:61870100-61873100	1.170995489	targeting	chr11:61871471-61871490:+
