chrom	start	end	num	list	figure4_tcells/screen_data/gitr.perturbationregion.mm10.bed	figure4_tcells/deseq2_peakcalls/gitr.deseq2.removemostsig.peakcalls.fdr01.sorted.merge.mm10.bed	figure4_tcells/other_peakcalls/gitr_casa_peaks_mm10.bed
chr4	155991500	155991530	1	2	0	1	0
chr4	155991530	155992300	2	1,2	1	1	0
chr4	155992300	155993200	1	1	1	0	0
chr4	155993200	155993500	2	1,2	1	1	0
chr4	155993500	156013600	1	1	1	0	0
chr4	156013600	156014600	2	1,2	1	1	0
chr4	156014600	156021700	1	1	1	0	0
chr4	156021700	156022200	2	1,2	1	1	0
chr4	156022200	156022800	3	1,2,3	1	1	1
chr4	156022800	156022900	2	1,2	1	1	0
chr4	156022900	156025900	1	1	1	0	0
chr4	156025900	156026800	2	1,2	1	1	0
chr4	156026800	156030500	1	1	1	0	0
chr4	156030500	156031300	2	1,2	1	1	0
chr4	156031300	156032000	1	1	1	0	0
chr4	156032000	156032500	2	1,2	1	1	0
chr4	156032500	156032600	1	1	1	0	0
chr4	156032600	156034000	2	1,2	1	1	0
chr4	156034000	156035049	1	1	1	0	0
