chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	48812505	48813005	chr19:48812505-48813005:.	0.00058135	.	chr19:48812505-48813005:.	chr19	49403306	49403307	+	-0.029405674606973724	0.030568374606973727	NUCB1	ENSG00000104805	NA	NA	False	0.9773614448595588	0.990054450636956	0.9999667355486709	1.0	1	TRUE	NA
chr19	48824385	48824925	chr19:48824385-48824925:.	0.012627913000000001	.	chr19:48824385-48824925:.	chr19	49403306	49403307	+	-0.003935913269058077	0.02919173926905808	NUCB1	ENSG00000104805	NA	NA	False	0.20251671888392872	0.725543734668476	1.0	1.0	1	TRUE	NA
chr19	48824985	48825585	chr19:48824985-48825585:.	0.003415193	.	chr19:48824985-48825585:.	chr19	49403306	49403307	+	-0.010454399504479987	0.017284785504479986	NUCB1	ENSG00000104805	NA	NA	False	0.6855476124310631	0.9548698887432671	1.0	1.0	1	TRUE	NA
chr19	48828425	48829005	chr19:48828425-48829005:.	-0.001446311	.	chr19:48828425-48829005:.	chr19	49403306	49403307	+	-0.018614494153071832	0.015721872153071834	NUCB1	ENSG00000104805	NA	NA	False	0.8916714388343058	0.990054450636956	1.0	1.0	1	TRUE	NA
chr19	48829105	48829625	chr19:48829105-48829625:.	0.016029792	.	chr19:48829105-48829625:.	chr19	49403306	49403307	+	0.0018972903113493797	0.030162293688650622	NUCB1	ENSG00000104805	NA	NA	False	0.08989471115918196	0.539368266955092	1.0	1.0	1	TRUE	NA
chr19	48835885	48836625	chr19:48835885-48836625:.	0.013351653	.	chr19:48835885-48836625:.	chr19	49403306	49403307	+	-0.0003943981855601547	0.027097704185560154	NUCB1	ENSG00000104805	NA	NA	False	0.12945217990708865	0.618794314567246	1.0	1.0	1	TRUE	NA
chr19	48837085	48837585	chr19:48837085-48837585:.	0.012745071	.	chr19:48837085-48837585:.	chr19	49403306	49403307	+	-0.001763098111126793	0.027253240111126793	NUCB1	ENSG00000104805	NA	NA	False	0.14609792008088662	0.618794314567246	1.0	1.0	1	TRUE	NA
chr19	48842585	48843105	chr19:48842585-48843105:.	0.017454881999999998	.	chr19:48842585-48843105:.	chr19	49403306	49403307	+	-0.0004303830510577235	0.035340147051057716	NUCB1	ENSG00000104805	NA	NA	False	0.13471601820711593	0.618794314567246	0.9999999999999979	1.0	1	TRUE	NA
chr19	48848065	48848565	chr19:48848065-48848565:.	-0.000241731	.	chr19:48848065-48848565:.	chr19	49403306	49403307	+	-0.01717176884869404	0.016688306848694042	NUCB1	ENSG00000104805	NA	NA	False	0.9764173854318092	0.990054450636956	1.0	1.0	1	TRUE	NA
chr19	48854445	48854985	chr19:48854445-48854985:.	0.000492411	.	chr19:48854445-48854985:.	chr19	49403306	49403307	+	-0.017848655305706475	0.01883347730570648	NUCB1	ENSG00000104805	NA	NA	False	0.9679053521450665	0.990054450636956	0.999999999999999	1.0	1	TRUE	NA
chr19	48857765	48858285	chr19:48857765-48858285:.	0.010689764	.	chr19:48857765-48858285:.	chr19	49403306	49403307	+	-0.025873210492587458	0.04725273849258745	NUCB1	ENSG00000104805	NA	NA	False	0.5254678842194591	0.9008020872333579	0.9996478822515601	1.0	1	TRUE	NA
chr19	48866225	48866745	chr19:48866225-48866745:.	-0.001304499	.	chr19:48866225-48866745:.	chr19	49403306	49403307	+	-0.01738048591463908	0.01477148791463908	NUCB1	ENSG00000104805	NA	NA	False	0.8780529752271578	0.990054450636956	1.0	1.0	1	TRUE	NA
chr19	48867065	48867585	chr19:48867065-48867585:.	-0.0023013120000000002	.	chr19:48867065-48867585:.	chr19	49403306	49403307	+	-0.017804458983497896	0.013201834983497897	NUCB1	ENSG00000104805	NA	NA	False	0.7988268738672787	0.9643898941151551	1.0	1.0	1	TRUE	NA
chr19	48882305	48882825	chr19:48882305-48882825:.	-0.002462928	.	chr19:48882305-48882825:.	chr19	49403306	49403307	+	-0.03596827199519463	0.03104241599519463	NUCB1	ENSG00000104805	NA	NA	False	0.8649842112427598	0.9877097685429691	0.999953137809229	1.0	1	TRUE	NA
chr19	48888265	48888845	chr19:48888265-48888845:.	-0.003162775	.	chr19:48888265-48888845:.	chr19	49403306	49403307	+	-0.022159893023707234	0.015834343023707235	NUCB1	ENSG00000104805	NA	NA	False	0.7701324235560902	0.9637418112032929	0.999999999999977	1.0	1	TRUE	NA
chr19	48893765	48894265	chr19:48893765-48894265:.	-0.000759218	.	chr19:48893765-48894265:.	chr19	49403306	49403307	+	-0.015906434204913278	0.014387998204913278	NUCB1	ENSG00000104805	NA	NA	False	0.9288945596800152	0.990054450636956	1.0	1.0	1	TRUE	NA
chr19	48894605	48895125	chr19:48894605-48895125:.	-0.007107952	.	chr19:48894605-48895125:.	chr19	49403306	49403307	+	-0.024649499631477015	0.010433595631477013	NUCB1	ENSG00000104805	NA	NA	False	0.4399196142437254	0.886709015436932	1.0	1.0	1	TRUE	NA
chr19	48901785	48902565	chr19:48901785-48902565:.	0.012293841000000002	.	chr19:48901785-48902565:.	chr19	49403306	49403307	+	-0.0006562192716368376	0.02524390127163684	NUCB1	ENSG00000104805	NA	NA	False	0.12658559169911998	0.618794314567246	1.0	1.0	1	TRUE	NA
