chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr12	54089985	54090485	chr12:54089985-54090485:.	0.017861901	.	chr12:54089985-54090485:.	chr12	54718873	54718874	+	-0.005304149903678928	0.04102795190367893	COPZ1	ENSG00000111481	NA	NA	False	0.21251620272004856	0.635083682079805	0.9999999920177158	1.0	1	TRUE	NA
chr12	54095465	54096005	chr12:54095465-54096005:.	-0.001058535	.	chr12:54095465-54096005:.	chr12	54718873	54718874	+	-0.020398052546193726	0.018280982546193727	COPZ1	ENSG00000111481	NA	NA	False	0.9270056093310052	0.975055486867244	0.999999999999714	1.0	1	TRUE	NA
chr12	54113365	54113885	chr12:54113365-54113885:.	0.019186809	.	chr12:54113365-54113885:.	chr12	54718873	54718874	+	-0.006329015499476391	0.04470263349947639	COPZ1	ENSG00000111481	NA	NA	False	0.20912187079962266	0.635083682079805	0.9999997238820079	1.0	1	TRUE	NA
chr12	54120005	54120525	chr12:54120005-54120525:.	-0.004626325	.	chr12:54120005-54120525:.	chr12	54718873	54718874	+	-0.030128678445443056	0.020876028445443055	COPZ1	ENSG00000111481	NA	NA	False	0.7767286543027393	0.975055486867244	0.999999311637491	1.0	1	TRUE	NA
chr12	54121145	54121645	chr12:54121145-54121645:.	0.003325345	.	chr12:54121145-54121645:.	chr12	54718873	54718874	+	-0.013936196770735411	0.02058688677073541	COPZ1	ENSG00000111481	NA	NA	False	0.7885615175390822	0.975055486867244	0.9999999999999979	1.0	1	TRUE	NA
chr12	54137285	54137825	chr12:54137285-54137825:.	0.009597823	.	chr12:54137285-54137825:.	chr12	54718873	54718874	+	-0.015058732348508777	0.03425437834850878	COPZ1	ENSG00000111481	NA	NA	False	0.4363919820926919	0.801859630851	0.9999999925765641	1.0	1	TRUE	NA
chr12	54140345	54140845	chr12:54140345-54140845:.	0.012524538	.	chr12:54140345-54140845:.	chr12	54718873	54718874	+	-0.004501580427885241	0.029550656427885243	COPZ1	ENSG00000111481	NA	NA	False	0.31035739713146554	0.7042725550290949	0.999999999999999	1.0	1	TRUE	NA
chr12	54145285	54145785	chr12:54145285-54145785:.	-0.009424631	.	chr12:54145285-54145785:.	chr12	54718873	54718874	+	-0.029875491809364045	0.011026229809364047	COPZ1	ENSG00000111481	NA	NA	False	0.4152532309941063	0.8009942852201909	0.9999999999970419	1.0	1	TRUE	NA
chr12	54150865	54151385	chr12:54150865-54151385:.	0.009382920999999999	.	chr12:54150865-54151385:.	chr12	54718873	54718874	+	-0.006286520553382049	0.025052362553382047	COPZ1	ENSG00000111481	NA	NA	False	0.4430601310070075	0.801859630851	1.0	1.0	1	TRUE	NA
chr12	54161385	54161905	chr12:54161385-54161905:.	0.014248386000000002	.	chr12:54161385-54161905:.	chr12	54718873	54718874	+	-0.02067045032894166	0.04916722232894166	COPZ1	ENSG00000111481	NA	NA	False	0.4660719899424798	0.8208432061673521	0.999305607580374	1.0	1	TRUE	NA
chr12	54185445	54185945	chr12:54185445-54185945:.	-0.032132907999999995	.	chr12:54185445-54185945:.	chr12	54718873	54718874	+	-0.051995846506535874	-0.012269969493464115	COPZ1	ENSG00000111481	NA	NA	False	0.02284265584385044	0.245039399052214	0.999999999972124	1.0	1	TRUE	NA
chr12	54202705	54203225	chr12:54202705-54203225:.	0.025278441000000002	.	chr12:54202705-54203225:.	chr12	54718873	54718874	+	-0.002424982059745076	0.05298186405974508	COPZ1	ENSG00000111481	NA	NA	False	0.14517818313576614	0.5389004785599071	0.999992247119475	1.0	1	TRUE	NA
chr12	54332165	54332665	chr12:54332165-54332665:.	0.0017656870000000002	.	chr12:54332165-54332665:.	chr12	54718873	54718874	+	-0.018512567140292535	0.02204394114029254	COPZ1	ENSG00000111481	NA	NA	False	0.890366761157404	0.975055486867244	0.999999999990814	1.0	1	TRUE	NA
chr12	54335385	54335985	chr12:54335385-54335985:.	-0.014955303	.	chr12:54335385-54335985:.	chr12	54718873	54718874	+	-0.041242736990176124	0.011332130990176128	COPZ1	ENSG00000111481	NA	NA	False	0.3737310073476133	0.760349290810662	0.999998089051487	1.0	1	TRUE	NA
chr12	54338465	54338985	chr12:54338465-54338985:.	0.01533722	.	chr12:54338465-54338985:.	chr12	54718873	54718874	+	-0.008115725152949142	0.03879016515294914	COPZ1	ENSG00000111481	NA	NA	False	0.22699132331643104	0.635083682079805	0.9999999978385091	1.0	1	TRUE	NA
chr12	54342605	54343125	chr12:54342605-54343125:.	-0.032865423	.	chr12:54342605-54343125:.	chr12	54718873	54718874	+	-0.05620515900606645	-0.009525686993933545	COPZ1	ENSG00000111481	NA	NA	False	0.009087663526281686	0.10723442961012401	0.999999998328368	1.0	1	TRUE	NA
