chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	0.01525097	.	chr19:12313025-12313565:.	chr19	12992335	12992336	-	-0.00860601740042929	0.03910795740042929	DNASE2	ENSG00000105612	NA	NA	False	0.25580939129197483	0.927309043433409	0.9999999947250808	1.0	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	0.00741625	.	chr19:12404485-12405065:.	chr19	12992335	12992336	-	-0.013081643947852693	0.02791414394785269	DNASE2	ENSG00000105612	NA	NA	False	0.6017427501204193	0.961170824753044	0.999999999933316	1.0	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	0.01276914	.	chr19:12405465-12405965:.	chr19	12992335	12992336	-	-0.008366590990078094	0.03390487099007809	DNASE2	ENSG00000105612	NA	NA	False	0.2713665402906437	0.9382773164135079	0.999999999991668	1.0	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	0.0045428	.	chr19:12441885-12442945:.	chr19	12992335	12992336	-	-0.021819932417022625	0.030905532417022624	DNASE2	ENSG00000105612	NA	NA	False	0.7615138881897247	0.961170824753044	0.9999996520096719	1.0	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	-0.00805865	.	chr19:12444345-12444845:.	chr19	12992335	12992336	-	-0.032592638706900594	0.016475338706900593	DNASE2	ENSG00000105612	NA	NA	False	0.5403027807659728	0.961170824753044	0.9999999910804119	1.0	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	0.0056409	.	chr19:12476305-12476805:.	chr19	12992335	12992336	-	-0.022144251369003727	0.03342605136900373	DNASE2	ENSG00000105612	NA	NA	False	0.6442318407584188	0.961170824753044	0.999999847703612	1.0	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	-0.01894538	.	chr19:12511905-12512405:.	chr19	12992335	12992336	-	-0.04091984886257224	0.003029088862572235	DNASE2	ENSG00000105612	NA	NA	False	0.17194101560044148	0.8026219284213241	0.9999999994932909	1.0	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	-0.03427181	.	chr19:12522625-12523145:.	chr19	12992335	12992336	-	-0.06617996221712723	-0.0023636577828727717	DNASE2	ENSG00000105612	NA	NA	False	0.024830897635039418	0.45103022941869697	0.9999810764621719	1.0	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	0.00309512	.	chr19:12551685-12552205:.	chr19	12992335	12992336	-	-0.02062687369823153	0.026817113698231528	DNASE2	ENSG00000105612	NA	NA	False	0.8226451266784985	0.9670145519054281	0.999999992563404	1.0	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	-0.00059363	.	chr19:12595405-12595925:.	chr19	12992335	12992336	-	-0.025127864281092985	0.023940604281092983	DNASE2	ENSG00000105612	NA	NA	False	0.9625986990150116	0.9972118396904309	0.999999997400883	1.0	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	0.00083639	.	chr19:12605985-12606485:.	chr19	12992335	12992336	-	-0.021554792264472027	0.023227572264472026	DNASE2	ENSG00000105612	NA	NA	False	0.9414520447033388	0.9972118396904309	0.99999999987892	1.0	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	0.01429876	.	chr19:12632705-12633245:.	chr19	12992335	12992336	-	-0.015913869320895783	0.04451138932089578	DNASE2	ENSG00000105612	NA	NA	False	0.4514666823380569	0.9585563722812609	0.999938725933295	1.0	1	TRUE	NA
chr19	12654525	12655045	chr19:12654525-12655045:.	0.03604965	.	chr19:12654525-12655045:.	chr19	12992335	12992336	-	0.004909933983459236	0.06718936601654077	DNASE2	ENSG00000105612	NA	NA	False	0.09061089380918373	0.6980212598171329	0.999710266712693	1.0	1	TRUE	NA
chr19	12655125	12655625	chr19:12655125-12655625:.	-0.00521424	.	chr19:12655125-12655625:.	chr19	12992335	12992336	-	-0.03531540720071395	0.02488692720071395	DNASE2	ENSG00000105612	NA	NA	False	0.7545406388869875	0.961170824753044	0.999985682752212	1.0	1	TRUE	NA
chr19	12662165	12662665	chr19:12662165-12662665:.	0.00754455	.	chr19:12662165-12662665:.	chr19	12992335	12992336	-	-0.010848127034943113	0.025937227034943115	DNASE2	ENSG00000105612	NA	NA	False	0.5042953394992782	0.961170824753044	0.9999999999999929	1.0	1	TRUE	NA
chr19	12674785	12675285	chr19:12674785-12675285:.	-0.00131453	.	chr19:12674785-12675285:.	chr19	12992335	12992336	-	-0.019880451526905357	0.017251391526905354	DNASE2	ENSG00000105612	NA	NA	False	0.9281372957001509	0.9972118396904309	0.999999999999154	1.0	1	TRUE	NA
chr19	12721385	12721885	chr19:12721385-12721885:.	0.00685961	.	chr19:12721385-12721885:.	chr19	12992335	12992336	-	-0.012613819548567771	0.02633303954856777	DNASE2	ENSG00000105612	NA	NA	False	0.5762593734634166	0.961170824753044	0.9999999999994351	1.0	1	TRUE	NA
chr19	12750825	12751345	chr19:12750825-12751345:.	0.00340084	.	chr19:12750825-12751345:.	chr19	12992335	12992336	-	-0.014145829698033083	0.020947509698033082	DNASE2	ENSG00000105612	NA	NA	False	0.7600628170726303	0.961170824753044	1.0	1.0	1	TRUE	NA
chr19	12758305	12758885	chr19:12758305-12758885:.	0.01025651	.	chr19:12758305-12758885:.	chr19	12992335	12992336	-	-0.005401819394835864	0.025914839394835864	DNASE2	ENSG00000105612	NA	NA	False	0.33434745276362604	0.9585563722812609	1.0	1.0	1	TRUE	NA
chr19	12777325	12777845	chr19:12777325-12777845:.	-0.01473827	.	chr19:12777325-12777845:.	chr19	12992335	12992336	-	-0.03387849660707143	0.004401956607071428	DNASE2	ENSG00000105612	NA	NA	False	0.17989801843926229	0.8026219284213241	0.9999999999999691	1.0	1	TRUE	NA
chr19	12780145	12780725	chr19:12780145-12780725:.	0.01487753	.	chr19:12780145-12780725:.	chr19	12992335	12992336	-	-0.006376773285386501	0.0361318332853865	DNASE2	ENSG00000105612	NA	NA	False	0.20521096537082756	0.8501597136791429	0.9999999999876089	1.0	1	TRUE	NA
