chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	0.016009942	.	chr19:12313025-12313565:.	chr19	13056627	13056628	+	-0.010897906319040137	0.04291779031904014	RAD23A	ENSG00000179262	NA	NA	False	0.13150120216744146	0.6575060108372071	0.999999985901682	1	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	0.003749025	.	chr19:12404485-12405065:.	chr19	13056627	13056628	+	-0.015371518743245535	0.022869568743245534	RAD23A	ENSG00000179262	NA	NA	False	0.7368623104795716	0.882699642761987	0.9999999999999929	1	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	-0.005653251999999999	.	chr19:12405465-12405965:.	chr19	13056627	13056628	+	-0.01990467932006368	0.008598175320063678	RAD23A	ENSG00000179262	NA	NA	False	0.5065196405623895	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	0.017889629	.	chr19:12441885-12442945:.	chr19	13056627	13056628	+	-0.002898194549952004	0.038677452549952	RAD23A	ENSG00000179262	NA	NA	False	0.11195060214287897	0.640969902882803	0.999999999998582	1	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.0008509660000000001	.	chr19:12444345-12444845:.	chr19	13056627	13056628	+	-0.013332875635100602	0.015034807635100601	RAD23A	ENSG00000179262	NA	NA	False	0.9482902085821916	0.999938501697831	1.0	1	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	0.00526227	.	chr19:12476305-12476805:.	chr19	13056627	13056628	+	-0.011070197075105943	0.02159473707510594	RAD23A	ENSG00000179262	NA	NA	False	0.5815093741215298	0.8359197252996992	1.0	1	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	0.001883313	.	chr19:12511905-12512405:.	chr19	13056627	13056628	+	-0.014920165165997945	0.018686791165997946	RAD23A	ENSG00000179262	NA	NA	False	0.8731172151562479	0.971920099120826	1.0	1	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	0.00231703	.	chr19:12522625-12523145:.	chr19	13056627	13056628	+	-0.020048921103950915	0.024682981103950917	RAD23A	ENSG00000179262	NA	NA	False	0.8520035192714533	0.9605922031001679	0.999999999961821	1	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	0.007681916	.	chr19:12551685-12552205:.	chr19	13056627	13056628	+	-0.007783519789830451	0.02314735178983045	RAD23A	ENSG00000179262	NA	NA	False	0.4723959011445231	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	-0.004084313	.	chr19:12595405-12595925:.	chr19	13056627	13056628	+	-0.02305234812786528	0.014883722127865283	RAD23A	ENSG00000179262	NA	NA	False	0.6289414040710446	0.867603082046504	1.0	1	1	TRUE	NA
chr19	12605985	12606485	chr19:12605985-12606485:.	0.0064810480000000005	.	chr19:12605985-12606485:.	chr19	13056627	13056628	+	-0.010032273755227958	0.022994369755227957	RAD23A	ENSG00000179262	NA	NA	False	0.4778615458738463	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12632705	12633245	chr19:12632705-12633245:.	0.009669829	.	chr19:12632705-12633245:.	chr19	13056627	13056628	+	-0.010840549246307571	0.030180207246307572	RAD23A	ENSG00000179262	NA	NA	False	0.5040469388725718	0.8205597608883292	0.99999999995049	1	1	TRUE	NA
chr19	12654525	12655045	chr19:12654525-12655045:.	-0.014598141	.	chr19:12654525-12655045:.	chr19	13056627	13056628	+	-0.06681393112777657	0.03761764912777658	RAD23A	ENSG00000179262	NA	NA	False	0.35504940908451144	0.8205597608883292	0.992698994115034	1	1	TRUE	NA
chr19	12655125	12655625	chr19:12655125-12655625:.	0.005271537	.	chr19:12655125-12655625:.	chr19	13056627	13056628	+	-0.023817786745024785	0.034360860745024785	RAD23A	ENSG00000179262	NA	NA	False	0.6866975974909264	0.8692305562996689	0.9999994014183771	1	1	TRUE	NA
chr19	12662165	12662665	chr19:12662165-12662665:.	-0.003598193	.	chr19:12662165-12662665:.	chr19	13056627	13056628	+	-0.020241279115524567	0.013044893115524567	RAD23A	ENSG00000179262	NA	NA	False	0.6556794682154365	0.867603082046504	1.0	1	1	TRUE	NA
chr19	12674785	12675285	chr19:12674785-12675285:.	0.00588237	.	chr19:12674785-12675285:.	chr19	13056627	13056628	+	-0.013208931123237214	0.024973671123237215	RAD23A	ENSG00000179262	NA	NA	False	0.5923300525073573	0.8409624202264949	0.9999999999999929	1	1	TRUE	NA
chr19	12721385	12721885	chr19:12721385-12721885:.	0.0027196	.	chr19:12721385-12721885:.	chr19	13056627	13056628	+	-0.013426541816817326	0.018865741816817324	RAD23A	ENSG00000179262	NA	NA	False	0.7826703517472433	0.9023431242606701	1.0	1	1	TRUE	NA
chr19	12750825	12751345	chr19:12750825-12751345:.	-0.002042342	.	chr19:12750825-12751345:.	chr19	13056627	13056628	+	-0.017825169239959485	0.013740485239959487	RAD23A	ENSG00000179262	NA	NA	False	0.7846461950092781	0.9023431242606701	1.0	1	1	TRUE	NA
chr19	12758305	12758885	chr19:12758305-12758885:.	0.003967707	.	chr19:12758305-12758885:.	chr19	13056627	13056628	+	-0.011403272199654469	0.019338686199654467	RAD23A	ENSG00000179262	NA	NA	False	0.6421306371264829	0.867603082046504	1.0	1	1	TRUE	NA
chr19	12777325	12777845	chr19:12777325-12777845:.	-0.004552865	.	chr19:12777325-12777845:.	chr19	13056627	13056628	+	-0.016933594376945367	0.007827864376945368	RAD23A	ENSG00000179262	NA	NA	False	0.5453087679769231	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12780145	12780725	chr19:12780145-12780725:.	0.006749417	.	chr19:12780145-12780725:.	chr19	13056627	13056628	+	-0.00913942163572588	0.02263825563572588	RAD23A	ENSG00000179262	NA	NA	False	0.4658937731697645	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12782725	12783305	chr19:12782725-12783305:.	0.021549066000000002	.	chr19:12782725-12783305:.	chr19	13056627	13056628	+	-0.009751543888632922	0.05284967588863293	RAD23A	ENSG00000179262	NA	NA	False	0.1659466986001815	0.690160690505342	0.9999821162469169	1	1	TRUE	NA
chr19	12787065	12787585	chr19:12787065-12787585:.	-0.01098263	.	chr19:12787065-12787585:.	chr19	13056627	13056628	+	-0.03525179235149585	0.013286532351495853	RAD23A	ENSG00000179262	NA	NA	False	0.22117429457469426	0.770758905336056	0.999999999895122	1	1	TRUE	NA
chr19	12791925	12792425	chr19:12791925-12792425:.	0.000238713	.	chr19:12791925-12792425:.	chr19	13056627	13056628	+	-0.015548960218075473	0.016026386218075474	RAD23A	ENSG00000179262	NA	NA	False	0.9999385016978312	0.999938501697831	1.0	1	1	TRUE	NA
chr19	12792485	12792985	chr19:12792485-12792985:.	-0.011312963	.	chr19:12792485-12792985:.	chr19	13056627	13056628	+	-0.03137977902937309	0.008753853029373091	RAD23A	ENSG00000179262	NA	NA	False	0.27428569548013315	0.8205597608883292	0.9999999999998871	1	1	TRUE	NA
chr19	12807205	12807765	chr19:12807205-12807765:.	0.021796789	.	chr19:12807205-12807765:.	chr19	13056627	13056628	+	0.0024681011802538573	0.04112547681974614	RAD23A	ENSG00000179262	NA	NA	False	0.04705691370632816	0.49195864329343103	0.999999999999976	1	1	TRUE	NA
chr19	12813805	12814305	chr19:12813805-12814305:.	0.016085539	.	chr19:12813805-12814305:.	chr19	13056627	13056628	+	-0.002916811182819206	0.0350878891828192	RAD23A	ENSG00000179262	NA	NA	False	0.08020893077897928	0.640969902882803	1.0	1	1	TRUE	NA
chr19	12827685	12828205	chr19:12827685-12828205:.	0.019825858000000002	.	chr19:12827685-12828205:.	chr19	13056627	13056628	+	0.0014079981888599075	0.038243717811140096	RAD23A	ENSG00000179262	NA	NA	False	0.1059512379213703	0.640969902882803	0.999999999999986	1	1	TRUE	NA
chr19	12832705	12833225	chr19:12832705-12833225:.	0.014048083000000001	.	chr19:12832705-12833225:.	chr19	13056627	13056628	+	-0.0017432523656824312	0.029839418365682435	RAD23A	ENSG00000179262	NA	NA	False	0.10364081460020518	0.640969902882803	1.0	1	1	TRUE	NA
chr19	12833305	12833805	chr19:12833305-12833805:.	0.012161925	.	chr19:12833305-12833805:.	chr19	13056627	13056628	+	-0.004453344921951933	0.028777194921951934	RAD23A	ENSG00000179262	NA	NA	False	0.188616044838519	0.690160690505342	1.0	1	1	TRUE	NA
chr19	12834545	12835045	chr19:12834545-12835045:.	-0.005533666	.	chr19:12834545-12835045:.	chr19	13056627	13056628	+	-0.02226522102699664	0.01119788902699664	RAD23A	ENSG00000179262	NA	NA	False	0.529714004462324	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12845325	12845825	chr19:12845325-12845825:.	0.050377789000000006	.	chr19:12845325-12845825:.	chr19	13056627	13056628	+	0.0309761726255529	0.06977940537444711	RAD23A	ENSG00000179262	NA	NA	True	4.110441517528968e-08	1.18175193628958e-06	0.9999999999999979	1	1	TRUE	NA
chr19	12847665	12848165	chr19:12847665-12848165:.	0.007282534	.	chr19:12847665-12848165:.	chr19	13056627	13056628	+	-0.011124360572585458	0.02568942857258546	RAD23A	ENSG00000179262	NA	NA	False	0.4776898709293145	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12868285	12868805	chr19:12868285-12868805:.	0.002560651	.	chr19:12868285-12868805:.	chr19	13056627	13056628	+	-0.009514930945028222	0.014636232945028223	RAD23A	ENSG00000179262	NA	NA	False	0.7681056369885217	0.901348451568163	1.0	1	1	TRUE	NA
chr19	12871305	12871845	chr19:12871305-12871845:.	0.025878646	.	chr19:12871305-12871845:.	chr19	13056627	13056628	+	0.00738168862651109	0.04437560337348891	RAD23A	ENSG00000179262	NA	NA	False	0.0422009378980547	0.485310785827629	0.999999999999958	1	1	TRUE	NA
chr19	12876785	12877345	chr19:12876785-12877345:.	-0.008194912	.	chr19:12876785-12877345:.	chr19	13056627	13056628	+	-0.02446629843375539	0.008076474433755391	RAD23A	ENSG00000179262	NA	NA	False	0.30242867182734945	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12886305	12886825	chr19:12886305-12886825:.	0.011668211999999999	.	chr19:12886305-12886825:.	chr19	13056627	13056628	+	-0.005594969294295949	0.02893139329429595	RAD23A	ENSG00000179262	NA	NA	False	0.25152516683680165	0.782013126169246	1.0	1	1	TRUE	NA
chr19	12888325	12888845	chr19:12888325-12888845:.	0.004345718	.	chr19:12888325-12888845:.	chr19	13056627	13056628	+	-0.01191855389738033	0.020609989897380332	RAD23A	ENSG00000179262	NA	NA	False	0.6521809608039587	0.867603082046504	1.0	1	1	TRUE	NA
chr19	12889945	12890545	chr19:12889945-12890545:.	0.017484165	.	chr19:12889945-12890545:.	chr19	13056627	13056628	+	0.002940948629350841	0.03202738137064916	RAD23A	ENSG00000179262	NA	NA	False	0.05868650079644255	0.528032181807786	1.0	1	1	TRUE	NA
chr19	12893105	12893985	chr19:12893105-12893985:.	0.004205073	.	chr19:12893105-12893985:.	chr19	13056627	13056628	+	-0.008048212947608269	0.01645835894760827	RAD23A	ENSG00000179262	NA	NA	False	0.5454396394809577	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12895265	12895785	chr19:12895265-12895785:.	-0.009809869	.	chr19:12895265-12895785:.	chr19	13056627	13056628	+	-0.03034951748623218	0.010729779486232176	RAD23A	ENSG00000179262	NA	NA	False	0.4265633535753656	0.8205597608883292	0.9999999999929179	1	1	TRUE	NA
chr19	12900645	12901165	chr19:12900645-12901165:.	0.00952627	.	chr19:12900645-12901165:.	chr19	13056627	13056628	+	-0.0012859735806325517	0.02033851358063255	RAD23A	ENSG00000179262	NA	NA	False	0.19043366683603025	0.690160690505342	1.0	1	1	TRUE	NA
chr19	12902005	12902545	chr19:12902005-12902545:.	0.017419787	.	chr19:12902005-12902545:.	chr19	13056627	13056628	+	0.005388163405414509	0.02945141059458549	RAD23A	ENSG00000179262	NA	NA	False	0.030031101225099582	0.38373073787627204	1.0	1	1	TRUE	NA
chr19	12904165	12904665	chr19:12904165-12904665:.	-0.004154785	.	chr19:12904165-12904665:.	chr19	13056627	13056628	+	-0.016661664236732338	0.00835209423673234	RAD23A	ENSG00000179262	NA	NA	False	0.5722598673246373	0.8359197252996992	1.0	1	1	TRUE	NA
chr19	12906845	12907745	chr19:12906845-12907745:.	0.0071611190000000005	.	chr19:12906845-12907745:.	chr19	13056627	13056628	+	-0.00475252339445399	0.019074761394453993	RAD23A	ENSG00000179262	NA	NA	False	0.3656791301470996	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12912425	12912945	chr19:12912425-12912945:.	0.019206094	.	chr19:12912425-12912945:.	chr19	13056627	13056628	+	0.004060415922980759	0.03435177207701924	RAD23A	ENSG00000179262	NA	NA	False	0.02087791774695573	0.300120067612489	1.0	1	1	TRUE	NA
chr19	12916645	12917605	chr19:12916645-12917605:.	0.002761208	.	chr19:12916645-12917605:.	chr19	13056627	13056628	+	-0.008931666387625894	0.014454082387625893	RAD23A	ENSG00000179262	NA	NA	False	0.712094617139911	0.8711795847988271	1.0	1	1	TRUE	NA
chr19	12935945	12936745	chr19:12935945-12936745:.	0.003851426	.	chr19:12935945-12936745:.	chr19	13056627	13056628	+	-0.008889090327740493	0.016591942327740493	RAD23A	ENSG00000179262	NA	NA	False	0.6299679623412742	0.867603082046504	1.0	1	1	TRUE	NA
chr19	12939125	12939705	chr19:12939125-12939705:.	0.008404989	.	chr19:12939125-12939705:.	chr19	13056627	13056628	+	-0.0073166152477443635	0.02412659324774436	RAD23A	ENSG00000179262	NA	NA	False	0.3994240638896856	0.8205597608883292	1.0	1	1	TRUE	NA
chr19	12941285	12941805	chr19:12941285-12941805:.	1.8499e-05	.	chr19:12941285-12941805:.	chr19	13056627	13056628	+	-0.015868809556810356	0.01590580755681036	RAD23A	ENSG00000179262	NA	NA	False	0.981009899257301	0.999938501697831	1.0	1	1	TRUE	NA
