chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr10	80697270	80697770	chr10:80697270-80697770:.	0.024806400000000003	.	chr10:80697270-80697770:.	chr10	81107219	81107220	+	-0.006571622161091247	0.05618442216109125	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.23634690346333895	0.36877561426975397	0.999772728667928	1.0	1	TRUE	NA
chr10	80712845	80713345	chr10:80712845-80713345:.	-0.0093741	.	chr10:80712845-80713345:.	chr10	81107219	81107220	+	-0.03434113411044007	0.015592934110440073	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5362897354679659	0.618810366842809	0.999998444847375	1.0	1	TRUE	NA
chr10	80720189	80720689	chr10:80720189-80720689:.	0.0325394	.	chr10:80720189-80720689:.	chr10	81107219	81107220	+	-0.007598969118623414	0.07267776911862342	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.16359460035572465	0.290008609721512	0.9944993608381221	1.0	1	TRUE	NA
chr10	80733231	80733731	chr10:80733231-80733731:.	0.0395708	.	chr10:80733231-80733731:.	chr10	81107219	81107220	+	0.009457566488043696	0.06968403351195632	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.048331189201742834	0.12160750831406301	0.9998914359948591	1.0	1	TRUE	NA
chr10	80734241	80734741	chr10:80734241-80734741:.	0.0133113	.	chr10:80734241-80734741:.	chr10	81107219	81107220	+	-0.02203124431020933	0.048653844310209325	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5394757044270642	0.618810366842809	0.9992580957989371	1.0	1	TRUE	NA
chr10	80737583	80738083	chr10:80737583-80738083:.	-0.0265384	.	chr10:80737583-80738083:.	chr10	81107219	81107220	+	-0.06063311794959157	0.0075563179495915685	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.15556022498577074	0.282179012764886	0.999469793700379	1.0	1	TRUE	NA
chr10	80741165	80741665	chr10:80741165-80741665:.	0.0208785	.	chr10:80741165-80741665:.	chr10	81107219	81107220	+	-0.014374224956509425	0.05613122495650943	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3039008504069428	0.453062121058276	0.9994064770804221	1.0	1	TRUE	NA
chr10	80760987	80761487	chr10:80760987-80761487:.	0.0185736	.	chr10:80760987-80761487:.	chr10	81107219	81107220	+	-0.022027337868227272	0.05917453786822727	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4131018041499648	0.5461345885372421	0.99590016851712	1.0	1	TRUE	NA
chr10	80767538	80768038	chr10:80767538-80768038:.	0.0224831	.	chr10:80767538-80768038:.	chr10	81107219	81107220	+	-0.013091070411346613	0.05805727041134661	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3078499027703669	0.453062121058276	0.998760518292927	1.0	1	TRUE	NA
chr10	80779532	80780032	chr10:80779532-80780032:.	0.038368599999999996	.	chr10:80779532-80780032:.	chr10	81107219	81107220	+	-0.0016133742455252606	0.07835057424552525	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.07865198591575885	0.180436908865564	0.9963639216658381	1.0	1	TRUE	NA
chr10	80782300	80782800	chr10:80782300-80782800:.	0.0066982	.	chr10:80782300-80782800:.	chr10	81107219	81107220	+	-0.032977592218892085	0.04637399221889209	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7880012621003071	0.798235044724986	0.997530354640747	1.0	1	TRUE	NA
chr10	80806717	80807217	chr10:80806717-80807217:.	0.028835500000000003	.	chr10:80806717-80807217:.	chr10	81107219	81107220	+	0.0008119353465853539	0.05685906465341466	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.09703622381443347	0.20456285020339998	0.999992194215877	1.0	1	TRUE	NA
chr10	80812093	80812593	chr10:80812093-80812593:.	0.0225412	.	chr10:80812093-80812593:.	chr10	81107219	81107220	+	-0.004432125158666148	0.04951452515866615	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.23336192899134256	0.36877561426975397	0.9999912584754659	1.0	1	TRUE	NA
chr10	80826955	80827670	chr10:80826955-80827670:.	0.013385900000000001	.	chr10:80826955-80827670:.	chr10	81107219	81107220	+	-0.015126436890112374	0.04189823689011238	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4653578187408614	0.5691579531782851	0.999989848470073	1.0	1	TRUE	NA
chr10	80827792	80828292	chr10:80827792-80828292:.	0.025364400000000002	.	chr10:80827792-80828292:.	chr10	81107219	81107220	+	-0.0030418836659148116	0.053770683665914816	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.13508641651057365	0.25699367043474997	0.999992680623485	1.0	1	TRUE	NA
chr10	80828351	80829041	chr10:80828351-80829041:.	-0.040792199999999994	.	chr10:80828351-80829041:.	chr10	81107219	81107220	+	-0.08020497074532493	-0.0013794292546750672	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.01984187819941106	0.0675789671520011	0.9987243493901059	1.0	1	TRUE	NA
chr10	80829255	80829755	chr10:80829255-80829755:.	0.011237700000000002	.	chr10:80829255-80829755:.	chr10	81107219	81107220	+	-0.030024049621513955	0.05249944962151396	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7158356765352551	0.7648655173938341	0.978229742474222	1.0	1	TRUE	NA
chr10	80830704	80831204	chr10:80830704-80831204:.	0.0153297	.	chr10:80830704-80831204:.	chr10	81107219	81107220	+	-0.01698127093784843	0.047640670937848434	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4317505124216866	0.5612756661481929	0.999871401123032	1.0	1	TRUE	NA
chr10	80838742	80839242	chr10:80838742-80839242:.	0.0140255	.	chr10:80838742-80839242:.	chr10	81107219	81107220	+	-0.014533221188806678	0.04258422118880668	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.4670013974796182	0.5691579531782851	0.999981859884633	1.0	1	TRUE	NA
chr10	80843902	80844402	chr10:80843902-80844402:.	-0.0610632	.	chr10:80843902-80844402:.	chr10	81107219	81107220	+	-0.10895846314413665	-0.013167936855863344	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	0.003508220338250218	0.016096540375501	0.987420644144463	1.0	1	TRUE	NA
chr10	80853471	80853971	chr10:80853471-80853971:.	-0.051924	.	chr10:80853471-80853971:.	chr10	81107219	81107220	+	-0.08981042121909888	-0.014037578780901123	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	0.006045408590178798	0.0261967705574415	0.9986340743921159	1.0	1	TRUE	NA
chr10	80861552	80862052	chr10:80861552-80862052:.	0.0391675	.	chr10:80861552-80862052:.	chr10	81107219	81107220	+	0.008225013551415049	0.07010998644858496	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.03625988231377085	0.0975265800163492	0.99991851314448	1.0	1	TRUE	NA
chr10	80862082	80862582	chr10:80862082-80862582:.	0.0121009	.	chr10:80862082-80862582:.	chr10	81107219	81107220	+	-0.02534410583826926	0.049545905838269254	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.5827087830669923	0.658714276510513	0.998668377677456	1.0	1	TRUE	NA
chr10	80876565	80877065	chr10:80876565-80877065:.	0.007894499999999999	.	chr10:80876565-80877065:.	chr10	81107219	81107220	+	-0.02669303879058013	0.04248203879058013	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7436389729068942	0.7795181500163259	0.999264819950128	1.0	1	TRUE	NA
chr10	80883197	80883697	chr10:80883197-80883697:.	-0.015249200000000003	.	chr10:80883197-80883697:.	chr10	81107219	81107220	+	-0.042373302463007065	0.011874902463007058	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.36334131369519584	0.506082544075451	0.999987317795234	1.0	1	TRUE	NA
chr10	80886999	80887499	chr10:80886999-80887499:.	-0.0386848	.	chr10:80886999-80887499:.	chr10	81107219	81107220	+	-0.07072147101667264	-0.006648128983327353	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.019300109756773192	0.0675789671520011	0.999918519699569	1.0	1	TRUE	NA
chr10	80892363	80892863	chr10:80892363-80892863:.	-0.054285599999999996	.	chr10:80892363-80892863:.	chr10	81107219	81107220	+	-0.09508059485086698	-0.013490605149133014	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	0.002709348574590207	0.0140886125878691	0.998002925133788	1.0	1	TRUE	NA
chr10	80897389	80897889	chr10:80897389-80897889:.	-0.083354	.	chr10:80897389-80897889:.	chr10	81107219	81107220	+	-0.11900025490386501	-0.04770774509613499	PPIF	ENSEMBL:ENSG00000108179	NA	NA	True	1.5492665184489976e-06	1.2084278843902199e-05	0.9996269986767141	1.0	1	TRUE	NA
chr10	80898747	80899247	chr10:80898747-80899247:.	-0.0238763	.	chr10:80898747-80899247:.	chr10	81107219	81107220	+	-0.06434835087582773	0.016595750875827733	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.22411485710805776	0.36877561426975397	0.996363381506592	1.0	1	TRUE	NA
chr10	80902705	80903205	chr10:80902705-80903205:.	-0.0187767	.	chr10:80902705-80903205:.	chr10	81107219	81107220	+	-0.05318963107555965	0.01563623107555965	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.3569255880806603	0.506082544075451	0.9986373727718539	1.0	1	TRUE	NA
chr10	80909639	80910139	chr10:80909639-80910139:.	-0.0122445	.	chr10:80909639-80910139:.	chr10	81107219	81107220	+	-0.04581557624806073	0.02132657624806073	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.44474822998917696	0.568694458018948	0.9997954610273759	1.0	1	TRUE	NA
chr10	80915037	80915537	chr10:80915037-80915537:.	-0.013189	.	chr10:80915037-80915537:.	chr10	81107219	81107220	+	-0.04357765617791662	0.017199656177916623	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.412553384405882	0.5461345885372421	0.99994636084289	1.0	1	TRUE	NA
chr10	80940434	80940934	chr10:80940434-80940934:.	-0.0026349	.	chr10:80940434-80940934:.	chr10	81107219	81107220	+	-0.03978537948083394	0.03451557948083393	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.8535964231638128	0.853596423163813	0.997648345953728	1.0	1	TRUE	NA
chr10	80947910	80948410	chr10:80947910-80948410:.	-0.0041033	.	chr10:80947910-80948410:.	chr10	81107219	81107220	+	-0.03958892589202772	0.031382325892027725	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.7669909569350171	0.7871749294859391	0.9995079316863971	1.0	1	TRUE	NA
chr10	80954904	80955625	chr10:80954904-80955625:.	0.0341736	.	chr10:80954904-80955625:.	chr10	81107219	81107220	+	0.0050621071390508435	0.06328509286094916	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.03776718503828342	0.0981946810995369	0.9999905629621241	1.0	1	TRUE	NA
chr10	80956550	80957050	chr10:80956550-80957050:.	0.030919799999999997	.	chr10:80956550-80957050:.	chr10	81107219	81107220	+	0.0030773447244856825	0.05876225527551431	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.07550033863358119	0.17845534586119197	0.9999927129700841	1.0	1	TRUE	NA
chr10	80962206	80962706	chr10:80962206-80962706:.	0.0219932	.	chr10:80962206-80962706:.	chr10	81107219	81107220	+	-0.004222515346142531	0.048208915346142536	PPIF	ENSEMBL:ENSG00000108179	NA	NA	False	0.2477839376835701	0.378963669398401	0.999994359262472	1.0	1	TRUE	NA
