chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	0.014886921000000001	.	chr19:12313025-12313565:.	chr19	13213974	13213975	-	-0.007415668108596913	0.03718951010859692	LYL1	ENSG00000104903	NA	NA	False	0.3671349742948676	0.689469886133039	0.9999999951467871	1.0	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	0.01947421	.	chr19:12404485-12405065:.	chr19	13213974	13213975	-	-0.0031676325557316726	0.04211605255573167	LYL1	ENSG00000104903	NA	NA	False	0.2561755200276005	0.689469886133039	0.9999999813366601	1.0	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	0.003843418	.	chr19:12405465-12405965:.	chr19	13213974	13213975	-	-0.017352599306960495	0.025039435306960497	LYL1	ENSG00000104903	NA	NA	False	0.8463473043676787	0.905503461750439	0.999999999808193	1.0	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	0.033293277	.	chr19:12441885-12442945:.	chr19	13213974	13213975	-	0.005216970904070247	0.061369583095929756	LYL1	ENSG00000104903	NA	NA	False	0.0527436535457896	0.485270426826031	0.9999956664812378	1.0	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.010096918	.	chr19:12444345-12444845:.	chr19	13213974	13213975	-	-0.01420445333088742	0.03439828933088742	LYL1	ENSG00000104903	NA	NA	False	0.5354252704397761	0.723662559369036	0.9999999721721691	1.0	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	-0.007453285	.	chr19:12476305-12476805:.	chr19	13213974	13213975	-	-0.03929083262692241	0.02438426262692241	LYL1	ENSG00000104903	NA	NA	False	0.5456117749525662	0.723662559369036	0.99998855764221	1.0	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	-0.011292766999999999	.	chr19:12511905-12512405:.	chr19	13213974	13213975	-	-0.05419352449485078	0.031607990494850774	LYL1	ENSG00000104903	NA	NA	False	0.4325261599944712	0.689469886133039	0.998769398663164	1.0	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	-0.008065603000000001	.	chr19:12522625-12523145:.	chr19	13213974	13213975	-	-0.0359110549021152	0.0197798489021152	LYL1	ENSG00000104903	NA	NA	False	0.585222765402786	0.723662559369036	0.999995340746842	1.0	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	-0.032986812000000004	.	chr19:12551685-12552205:.	chr19	13213974	13213975	-	-0.09591448763699693	0.029940863636996926	LYL1	ENSG00000104903	NA	NA	False	0.04701015876614094	0.485270426826031	0.9770639154676309	0.999999999984121	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	0.030929092000000002	.	chr19:12595405-12595925:.	chr19	13213974	13213975	-	0.00557464835331711	0.0562835356466829	LYL1	ENSG00000104903	NA	NA	False	0.029477724718071894	0.42374229282228404	0.9999999532605942	1.0	1	TRUE	NA
