chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	12313025	12313565	chr19:12313025-12313565:.	-0.01455809	.	chr19:12313025-12313565:.	chr19	12902309	12902310	+	-0.053356459776057505	0.024240279776057503	JUNB	ENSG00000171223	NA	NA	False	0.3487374075988994	0.7425399802052979	0.999593023707834	1.0	1	TRUE	NA
chr19	12404485	12405065	chr19:12404485-12405065:.	0.02178828	.	chr19:12404485-12405065:.	chr19	12902309	12902310	+	-0.004992881176870155	0.048569441176870155	JUNB	ENSG00000171223	NA	NA	False	0.18148627663388794	0.580928422197515	0.999998710392757	1.0	1	TRUE	NA
chr19	12405465	12405965	chr19:12405465-12405965:.	-0.01295031	.	chr19:12405465-12405965:.	chr19	12902309	12902310	+	-0.03761427067271396	0.011713650672713963	JUNB	ENSG00000171223	NA	NA	False	0.34197712961497595	0.7425399802052979	0.999999973567013	1.0	1	TRUE	NA
chr19	12441885	12442945	chr19:12441885-12442945:.	0.00081822	.	chr19:12441885-12442945:.	chr19	12902309	12902310	+	-0.031982293414511385	0.03361873341451139	JUNB	ENSG00000171223	NA	NA	False	0.9699748115365112	0.989935277180803	0.999935597200654	1.0	1	TRUE	NA
chr19	12444345	12444845	chr19:12444345-12444845:.	0.01064527	.	chr19:12444345-12444845:.	chr19	12902309	12902310	+	-0.016332013927429695	0.0376225539274297	JUNB	ENSG00000171223	NA	NA	False	0.4824182214907018	0.828031275692996	0.999999398610183	1.0	1	TRUE	NA
chr19	12476305	12476805	chr19:12476305-12476805:.	0.00952927	.	chr19:12476305-12476805:.	chr19	12902309	12902310	+	-0.021768158236479915	0.040826698236479914	JUNB	ENSG00000171223	NA	NA	False	0.5005235526843419	0.8343113589097221	0.9999932176901519	1.0	1	TRUE	NA
chr19	12511905	12512405	chr19:12511905-12512405:.	-0.02226292	.	chr19:12511905-12512405:.	chr19	12902309	12902310	+	-0.048214607609537136	0.003688767609537142	JUNB	ENSG00000171223	NA	NA	False	0.15303398823740058	0.580928422197515	0.9999995412724291	1.0	1	TRUE	NA
chr19	12522625	12523145	chr19:12522625-12523145:.	-0.02060359	.	chr19:12522625-12523145:.	chr19	12902309	12902310	+	-0.051898072677803095	0.010690892677803095	JUNB	ENSG00000171223	NA	NA	False	0.22306828597538852	0.6413213221792421	0.9999603382978509	1.0	1	TRUE	NA
chr19	12551685	12552205	chr19:12551685-12552205:.	0.01816429	.	chr19:12551685-12552205:.	chr19	12902309	12902310	+	-0.01111203510228146	0.04744061510228146	JUNB	ENSG00000171223	NA	NA	False	0.2678764103477087	0.7111820418124509	0.9999920970466021	1.0	1	TRUE	NA
chr19	12595405	12595925	chr19:12595405-12595925:.	-0.01312221	.	chr19:12595405-12595925:.	chr19	12902309	12902310	+	-0.047992753487829616	0.02174833348782961	JUNB	ENSG00000171223	NA	NA	False	0.3403311614840644	0.7425399802052979	0.9999543594243809	1.0	1	TRUE	NA
