chrom	chromStart	chromEnd	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr2	46616497	46617342	MSH2/MSH6|chr2:46616497-46617342:.	3.544	.	chr2:46616497-46617342:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	46940390	46941878	MSH2/MSH6|chr2:46940390-46941878:.	3.107	.	chr2:46940390-46941878:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	47191521	47193363	MSH2/MSH6|chr2:47191521-47193363:.	3.25	.	chr2:47191521-47193363:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	47368918	47370143	MSH2/MSH6|chr2:47368918-47370143:.	3.506	.	chr2:47368918-47370143:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	46698689	46699696	MSH2/MSH6|chr2:46698689-46699696:.	3.11	.	chr2:46698689-46699696:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	47175627	47177035	MSH2/MSH6|chr2:47175627-47177035:.	3.303	.	chr2:47175627-47177035:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	46541698	46544265	MSH2/MSH6|chr2:46541698-46544265:.	3.242	.	chr2:46541698-46544265:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr2	48314106	48315728	MSH2/MSH6|chr2:48314106-48315728:.	3.422	.	chr2:48314106-48315728:.	NA	NA	NA	+	NA	NA	MSH2/MSH6	ENSG00000095002.15/ENSG00000116062.18	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr20	4760486	4761348	PCNA|chr20:4760486-4761348:.	2.825	.	chr20:4760486-4761348:.	NA	NA	NA	-	NA	NA	PCNA	ENSG00000132646.11	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr20	5911126	5911906	PCNA|chr20:5911126-5911906:.	3.473	.	chr20:5911126-5911906:.	NA	NA	NA	-	NA	NA	PCNA	ENSG00000132646.11	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr20	5112821	5113595	PCNA|chr20:5112821-5113595:.	3.437	.	chr20:5112821-5113595:.	NA	NA	NA	-	NA	NA	PCNA	ENSG00000132646.11	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr20	4148481	4149850	PCNA|chr20:4148481-4149850:.	3.14	.	chr20:4148481-4149850:.	NA	NA	NA	-	NA	NA	PCNA	ENSG00000132646.11	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr3	37998914	37999449	MLH1|chr3:37998914-37999449:.	3.5	.	chr3:37998914-37999449:.	NA	NA	NA	+	NA	NA	MLH1	ENSG00000076242.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	6602328	6602521	PMS2|chr7:6602328-6602521:.	2.957	.	chr7:6602328-6602521:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	6525977	6526746	PMS2|chr7:6525977-6526746:.	3.11	.	chr7:6525977-6526746:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	5486761	5488068	PMS2|chr7:5486761-5488068:.	3.643	.	chr7:5486761-5488068:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
chr7	6348332	6349203	PMS2|chr7:6348332-6349203:.	4.173	.	chr7:6348332-6349203:.	NA	NA	NA	-	NA	NA	PMS2	ENSG00000122512.16	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
