chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	48812505	48813005	chr19:48812505-48813005:.	0.010603911	.	chr19:48812505-48813005:.	chr19	49458116	49458117	+	-0.01057093372384173	0.03177875572384173	BAX	ENSG00000087088	NA	NA	False	0.4251580542375244	0.98837258602493	0.999999999959493	1	1	TRUE	NA
chr19	48824385	48824925	chr19:48824385-48824925:.	-0.002296415	.	chr19:48824385-48824925:.	chr19	49458116	49458117	+	-0.014292870746619783	0.009700040746619783	BAX	ENSG00000087088	NA	NA	False	0.7620036808656526	0.98837258602493	1.0	1	1	TRUE	NA
chr19	48824985	48825585	chr19:48824985-48825585:.	-0.00455386	.	chr19:48824985-48825585:.	chr19	49458116	49458117	+	-0.013454927071401947	0.004347207071401947	BAX	ENSG00000087088	NA	NA	False	0.4611734904982853	0.98837258602493	1.0	1	1	TRUE	NA
chr19	48828425	48829005	chr19:48828425-48829005:.	-0.0055346219999999995	.	chr19:48828425-48829005:.	chr19	49458116	49458117	+	-0.023621635650872864	0.012552391650872866	BAX	ENSG00000087088	NA	NA	False	0.5262466330791068	0.98837258602493	1.0	1	1	TRUE	NA
chr19	48829105	48829625	chr19:48829105-48829625:.	0.00804641	.	chr19:48829105-48829625:.	chr19	49458116	49458117	+	-0.0030033122806319527	0.019096132280631953	BAX	ENSG00000087088	NA	NA	False	0.2534572201678927	0.935190375681477	1.0	1	1	TRUE	NA
chr19	48835885	48836625	chr19:48835885-48836625:.	0.006820554	.	chr19:48835885-48836625:.	chr19	49458116	49458117	+	-0.007378303984915606	0.021019411984915606	BAX	ENSG00000087088	NA	NA	False	0.3132634510918004	0.935190375681477	1.0	1	1	TRUE	NA
chr19	48837085	48837585	chr19:48837085-48837585:.	0.008185919	.	chr19:48837085-48837585:.	chr19	49458116	49458117	+	-0.003033337141115585	0.019405175141115585	BAX	ENSG00000087088	NA	NA	False	0.21076650107984832	0.8993166786006691	1.0	1	1	TRUE	NA
chr19	48842585	48843105	chr19:48842585-48843105:.	0.010681656000000001	.	chr19:48842585-48843105:.	chr19	49458116	49458117	+	-0.004035280923242865	0.02539859292324287	BAX	ENSG00000087088	NA	NA	False	0.22198780087476885	0.9113183404332621	1.0	1	1	TRUE	NA
chr19	48848065	48848565	chr19:48848065-48848565:.	-0.007377583	.	chr19:48848065-48848565:.	chr19	49458116	49458117	+	-0.02231742138106088	0.007562255381060881	BAX	ENSG00000087088	NA	NA	False	0.3785429448215697	0.9684457762674309	1.0	1	1	TRUE	NA
chr19	48854445	48854985	chr19:48854445-48854985:.	0.0008285539999999999	.	chr19:48854445-48854985:.	chr19	49458116	49458117	+	-0.012298809537241606	0.013955917537241607	BAX	ENSG00000087088	NA	NA	False	0.9104476747216472	0.98837258602493	1.0	1	1	TRUE	NA
chr19	48857765	48858285	chr19:48857765-48858285:.	-6.086e-05	.	chr19:48857765-48858285:.	chr19	49458116	49458117	+	-0.023409896394483407	0.02328817639448341	BAX	ENSG00000087088	NA	NA	False	0.9985962017064474	0.998938525517917	0.9999999992184191	1	1	TRUE	NA
chr19	48866225	48866745	chr19:48866225-48866745:.	-0.003751482	.	chr19:48866225-48866745:.	chr19	49458116	49458117	+	-0.016993739193715027	0.009490775193715028	BAX	ENSG00000087088	NA	NA	False	0.5912516182061818	0.98837258602493	1.0	1	1	TRUE	NA
chr19	48867065	48867585	chr19:48867065-48867585:.	0.0012904910000000002	.	chr19:48867065-48867585:.	chr19	49458116	49458117	+	-0.011505634538272894	0.014086616538272893	BAX	ENSG00000087088	NA	NA	False	0.8510549566304352	0.98837258602493	1.0	1	1	TRUE	NA
chr19	48882305	48882825	chr19:48882305-48882825:.	0.005712516	.	chr19:48882305-48882825:.	chr19	49458116	49458117	+	-0.016757897735777866	0.028182929735777868	BAX	ENSG00000087088	NA	NA	False	0.6066021474354724	0.98837258602493	0.999999999968256	1	1	TRUE	NA
chr19	48888265	48888845	chr19:48888265-48888845:.	0.003463538	.	chr19:48888265-48888845:.	chr19	49458116	49458117	+	-0.01146512693839265	0.018392202938392648	BAX	ENSG00000087088	NA	NA	False	0.6721429715757878	0.98837258602493	1.0	1	1	TRUE	NA
