gene_name	chr	TSS	TSS_POL2_sig
AADAC	chr3	151814115	0.039281
MIR4660	chr8	9048444	1.1914
PPWD1	chr5	65563238	288.286
KSR2	chr12	117968990	0.00173516
ASPRV1	chr2	69962265	0.105473
FAM138F	chr9	35864	0.00372672
CAPG	chr2	85414074	12.44
LINC01134	chr1	3900403	86.0626
OR2A14	chr7	144123175	0.0126102
DCST1	chr1	155033823	0.0452356
MYL6B	chr12	56152586	125.922
TMEM219	chr16	29962078	58.7912
MMP28	chr17	35795641	0.0374445
CTSE	chr1	206023895	0.0152337
DAB2	chr5	39424980	115.96
LOC100128398	chr19	58002893	1.19145
MIR181A2HG	chr9	124658435	19.1656
DZANK1	chr20	18467185	24.6896
RPP25	chr15	74956772	23.6701
MIR6818	chr22	30007048	0.615057
JKAMP	chr14	59484442	199.058
SNORD9	chr14	21392253	1.20963
KRTAP11-1	chr21	30881580	0.0108191
TRIM50	chr7	73325575	0.00196547
ANXA5	chr4	121696980	70.731
SBDS	chr7	66995586	323.716
OLIG1	chr21	33070140	0.00081165
CHST3	chr10	71964394	0.856647
ST20-MTHFS	chr15	79923106	84.3959
MIR583	chr5	96079137	0.10799
LRRC25	chr19	18397622	0.0376866
MRGPRG-AS1	chr11	3218331	0.0521258
NME6	chr3	48301411	178.151
FLJ31356	chr2	28394672	0.015016
STXBP5-AS1	chr6	147204614	21.9261
GTF3C4	chr9	132670034	143.106
PPID	chr4	158723396	199.358
SLC2A14	chr12	7872915	0.0186908
CD37	chr19	49335405	6.94427
LOC105373656	chr2	144524444	11.7839
GPR83	chr11	94401419	0.096763
MIR4276	chr4	174423794	0.00158506
CLEC2L	chr7	139523684	0.251754
TATDN3	chr1	212791893	366.757
LINC02252	chr15	34655764	2.195
FLNB	chr3	58008421	18.6928
GALK2	chr15	49170246	196.232
C1R	chr12	7092445	7.18291
PPP2CB	chr8	30812818	40.4948
DNM3OS	chr1	172144835	0.0705989
NCKAP5	chr2	133568463	0.0127565
ZNF826P	chr19	20424965	6.70185
PLA2G2E	chr1	19923617	0.00106987
IYD	chr6	150369011	0.0109652
MIR7973-1	chr15	51314033	0.073004
LOC100130987	chr11	67317838	78.001
LOC107984703	chr14	95715482	0.00050264
TMEFF1	chr9	100473148	0.0216475
EFNB3	chr17	7705201	0.318928
ATP6V1FNB	chr7	128866329	12.3436
LINC02433	chr4	157572489	0.0484063
