chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chr19	48812505	48813005	chr19:48812505-48813005:.	0.01025179	.	chr19:48812505-48813005:.	chr19	49375648	49375649	+	-0.028606434575039263	0.04911001457503926	PPP1R15A	ENSG00000087074	NA	NA	False	0.6888911826805015	0.9568823235625251	0.9841479322746959	1.0	1	TRUE	NA
chr19	48824385	48824925	chr19:48824385-48824925:.	0.01715484	.	chr19:48824385-48824925:.	chr19	49375648	49375649	+	-0.008619245084325391	0.042928925084325394	PPP1R15A	ENSG00000087074	NA	NA	False	0.23846662491137854	0.865134732236629	0.99999961448824	1.0	1	TRUE	NA
chr19	48824985	48825585	chr19:48824985-48825585:.	-0.01304701	.	chr19:48824985-48825585:.	chr19	49375648	49375649	+	-0.03814476425748766	0.01205074425748766	PPP1R15A	ENSG00000087074	NA	NA	False	0.29475720264542515	0.872242907814285	0.9999999722887639	1.0	1	TRUE	NA
chr19	48828425	48829005	chr19:48828425-48829005:.	-0.00788025	.	chr19:48828425-48829005:.	chr19	49375648	49375649	+	-0.03725199039246107	0.021491490392461066	PPP1R15A	ENSG00000087074	NA	NA	False	0.6398504730814307	0.9568823235625251	0.9999790267566259	1.0	1	TRUE	NA
chr19	48829105	48829625	chr19:48829105-48829625:.	0.00299036	.	chr19:48829105-48829625:.	chr19	49375648	49375649	+	-0.018719927721787783	0.024700647721787785	PPP1R15A	ENSG00000087074	NA	NA	False	0.8250424081990895	0.977921425071702	0.99999999810424	1.0	1	TRUE	NA
chr19	48835885	48836625	chr19:48835885-48836625:.	0.01126822	.	chr19:48835885-48836625:.	chr19	49375648	49375649	+	-0.012373913142504465	0.034910353142504465	PPP1R15A	ENSG00000087074	NA	NA	False	0.3837847494235736	0.8863003639754871	0.999999990311835	1.0	1	TRUE	NA
chr19	48837085	48837585	chr19:48837085-48837585:.	0.02424809	.	chr19:48837085-48837585:.	chr19	49375648	49375649	+	0.004482140817263825	0.04401403918273618	PPP1R15A	ENSG00000087074	NA	NA	False	0.056588284510863736	0.6305551702639101	0.9999999999837809	1.0	1	TRUE	NA
chr19	48842585	48843105	chr19:48842585-48843105:.	-0.01384621	.	chr19:48842585-48843105:.	chr19	49375648	49375649	+	-0.0449480721970625	0.0172556521970625	PPP1R15A	ENSG00000087074	NA	NA	False	0.424444586570142	0.899103976596217	0.9999294413933851	1.0	1	TRUE	NA
chr19	48848065	48848565	chr19:48848065-48848565:.	0.00808709	.	chr19:48848065-48848565:.	chr19	49375648	49375649	+	-0.019672942645658373	0.035847122645658376	PPP1R15A	ENSG00000087074	NA	NA	False	0.6144311404562037	0.9568823235625251	0.9999939928789291	1.0	1	TRUE	NA
chr19	48854445	48854985	chr19:48854445-48854985:.	0.01204712	.	chr19:48854445-48854985:.	chr19	49375648	49375649	+	-0.014051075741884309	0.03814531574188431	PPP1R15A	ENSG00000087074	NA	NA	False	0.4175861594381911	0.899103976596217	0.9999993233483728	1.0	1	TRUE	NA
chr19	48857765	48858285	chr19:48857765-48858285:.	0.02530932	.	chr19:48857765-48858285:.	chr19	49375648	49375649	+	-0.023996368690401924	0.07461500869040193	PPP1R15A	ENSG00000087074	NA	NA	False	0.3006946626400205	0.872242907814285	0.9654267397883659	0.9999999999999929	1	TRUE	NA
chr19	48866225	48866745	chr19:48866225-48866745:.	-0.02803144	.	chr19:48866225-48866745:.	chr19	49375648	49375649	+	-0.05401178646272704	-0.0020510935372729557	PPP1R15A	ENSG00000087074	NA	NA	False	0.037668541799194204	0.534208410970391	0.9999998263480451	1.0	1	TRUE	NA
chr19	48867065	48867585	chr19:48867065-48867585:.	-0.00560099	.	chr19:48867065-48867585:.	chr19	49375648	49375649	+	-0.03374230698103334	0.02254032698103334	PPP1R15A	ENSG00000087074	NA	NA	False	0.6968636862357975	0.9568823235625251	0.9999981711755942	1.0	1	TRUE	NA
chr19	48882305	48882825	chr19:48882305-48882825:.	0.02244812	.	chr19:48882305-48882825:.	chr19	49375648	49375649	+	-0.027134389201268764	0.07203062920126876	PPP1R15A	ENSG00000087074	NA	NA	False	0.3069302086517482	0.872242907814285	0.9782827569350999	0.9999999999999979	1	TRUE	NA
chr19	48888265	48888845	chr19:48888265-48888845:.	0.01341469	.	chr19:48888265-48888845:.	chr19	49375648	49375649	+	-0.015593285256672074	0.04242266525667207	PPP1R15A	ENSG00000087074	NA	NA	False	0.4065859248588175	0.8933437222250071	0.9999864853057021	1.0	1	TRUE	NA
