chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	name	EffectSize	strandPerturbationTarget	PerturbationTargetID	chrTSS	startTSS	endTSS	strandGene	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	measuredGeneSymbol	measuredEnsemblID	guideSpacerSeq	guideSeq	Significant	pValue	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	Notes
chrX	46696085	46696605	chrX:46696085-46696605:.	0.03979961	.	chrX:46696085-46696605:.	chrX	48776413	48776414	-	0.011752626374412555	0.06784659362558744	PIM2	ENSG00000102096	NA	NA	False	0.4319694552594636	0.832768065502655	0.9998965946717819	1.0	1.0	TRUE	NA
chrX	46696685	46697185	chrX:46696685-46697185:.	-0.08057116	.	chrX:46696685-46697185:.	chrX	48776413	48776414	-	-0.21714893158687065	0.05600661158687065	PIM2	ENSG00000102096	NA	NA	True	0.00030493899472139915	0.00497050561395881	0.7075137798298891	0.996499070752713	0.9999999998319309	TRUE	NA
chrX	46771525	46772025	chrX:46771525-46772025:.	0.03541002	.	chrX:46771525-46772025:.	chrX	48776413	48776414	-	-0.02350263881915638	0.09432267881915637	PIM2	ENSG00000102096	NA	NA	False	0.6076381596843133	0.9455443785091899	0.945587391109396	0.9999999999747009	1.0	TRUE	NA
chrX	46773165	46773765	chrX:46773165-46773765:.	0.03010424	.	chrX:46773165-46773765:.	chrX	48776413	48776414	-	-0.005987283777134169	0.06619576377713417	PIM2	ENSG00000102096	NA	NA	False	0.8270111085414112	0.9654996276011228	0.953037051086799	1.0	1.0	TRUE	NA
chrX	46988405	46988905	chrX:46988405-46988905:.	0.05658792	.	chrX:46988405-46988905:.	chrX	48776413	48776414	-	0.02550023582505495	0.08767560417494505	PIM2	ENSG00000102096	NA	NA	False	0.3047892885159189	0.741502298926788	0.9669500030591309	1.0	1.0	TRUE	NA
chrX	47003725	47004825	chrX:47003725-47004825:.	0.03575839	.	chrX:47003725-47004825:.	chrX	48776413	48776414	-	0.011583212240982039	0.05993356775901797	PIM2	ENSG00000102096	NA	NA	False	0.4251182542706913	0.832768065502655	0.9999998938031299	1.0	1.0	TRUE	NA
chrX	47049905	47050425	chrX:47049905-47050425:.	0.01570584	.	chrX:47049905-47050425:.	chrX	48776413	48776414	-	-0.01116924822116104	0.04258092822116104	PIM2	ENSG00000102096	NA	NA	False	0.73617399720156	0.9505350648757142	0.99990418443118	1.0	1.0	TRUE	NA
chrX	47050785	47051285	chrX:47050785-47051285:.	-0.01078325	.	chrX:47050785-47051285:.	chrX	48776413	48776414	-	-0.08417980743477665	0.06261330743477667	PIM2	ENSG00000102096	NA	NA	False	0.2415947439918701	0.6908761977311378	0.8407644733583841	0.9999996987287919	1.0	TRUE	NA
chrX	47052845	47053345	chrX:47052845-47053345:.	0.03107685	.	chrX:47052845-47053345:.	chrX	48776413	48776414	-	-0.020415576769089994	0.08256927676909	PIM2	ENSG00000102096	NA	NA	False	0.7794314131073754	0.9654996276011228	0.9291598954310909	0.9999999999995409	1.0	TRUE	NA
chrX	47056545	47057085	chrX:47056545-47057085:.	-0.00847569	.	chrX:47056545-47057085:.	chrX	48776413	48776414	-	-0.08386621600021177	0.06691483600021178	PIM2	ENSG00000102096	NA	NA	False	0.1944162698881169	0.6479058254911949	0.890466684824913	0.999999844664317	1.0	TRUE	NA
